sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_142038_1,2026-07-22,14:22:01,X,-20.000000,20.000000,180.000000,1.000000,7.207680,7.207608,0.002152,1000,1000
20260722_142038_2,2026-07-22,14:22:05,X,-19.500000,19.500000,180.000000,1.000000,7.284726,7.284605,0.001955,1000,1000
20260722_142038_3,2026-07-22,14:22:09,X,-19.000000,19.000000,180.000000,1.000000,7.355355,7.355349,0.002045,1000,1000
20260722_142038_4,2026-07-22,14:22:13,X,-18.500000,18.500000,180.000000,1.000000,7.412714,7.412932,0.001837,1000,1000
20260722_142038_5,2026-07-22,14:22:17,X,-18.000000,18.000000,180.000000,1.000000,7.470130,7.470186,0.002046,1000,1000
20260722_142038_6,2026-07-22,14:22:21,X,-17.500000,17.500000,180.000000,1.000000,7.532977,7.533033,0.001904,1000,1000
20260722_142038_7,2026-07-22,14:22:25,X,-17.000000,17.000000,180.000000,1.000000,7.581546,7.581403,0.002259,1000,1000
20260722_142038_8,2026-07-22,14:22:29,X,-16.500000,16.500000,180.000000,1.000000,7.623830,7.624179,0.002894,1000,1000
20260722_142038_9,2026-07-22,14:22:33,X,-16.000000,16.000000,180.000000,1.000000,7.682217,7.682091,0.002260,1000,1000
20260722_142038_10,2026-07-22,14:22:37,X,-15.500000,15.500000,180.000000,1.000000,7.744115,7.744280,0.001923,1000,1000
20260722_142038_11,2026-07-22,14:22:41,X,-15.000000,15.000000,180.000000,1.000000,7.805956,7.806141,0.002055,1000,1000
20260722_142038_12,2026-07-22,14:22:45,X,-14.500000,14.500000,180.000000,1.000000,7.851746,7.851878,0.001959,1000,1000
20260722_142038_13,2026-07-22,14:22:49,X,-14.000000,14.000000,180.000000,1.000000,7.899924,7.899919,0.002054,1000,1000
20260722_142038_14,2026-07-22,14:22:53,X,-13.500000,13.500000,180.000000,1.000000,7.957562,7.957502,0.001948,1000,1000
20260722_142038_15,2026-07-22,14:22:57,X,-13.000000,13.000000,180.000000,1.000000,8.010155,8.010149,0.002748,1000,1000
20260722_142038_16,2026-07-22,14:23:01,X,-12.500000,12.500000,180.000000,1.000000,8.058166,8.058848,0.002905,1000,1000
20260722_142038_17,2026-07-22,14:23:05,X,-12.000000,12.000000,180.000000,1.000000,8.103084,8.102612,0.003185,1000,1000
20260722_142038_18,2026-07-22,14:23:09,X,-11.500000,11.500000,180.000000,1.000000,8.151843,8.151969,0.002007,1000,1000
20260722_142038_19,2026-07-22,14:23:13,X,-11.000000,11.000000,180.000000,1.000000,8.180243,8.180267,0.001742,1000,1000
20260722_142038_20,2026-07-22,14:23:17,X,-10.500000,10.500000,180.000000,1.000000,8.237627,8.238179,0.003859,1000,1000
20260722_142038_21,2026-07-22,14:23:21,X,-10.000000,10.000000,180.000000,1.000000,8.271770,8.272071,0.003876,1000,1000
20260722_142038_22,2026-07-22,14:23:25,X,-9.500000,9.500000,180.000000,1.000000,8.310784,8.310240,0.003304,1000,1000
20260722_142038_23,2026-07-22,14:23:29,X,-9.000000,9.000000,180.000000,1.000000,8.360209,8.361243,0.004549,1000,1000
20260722_142038_24,2026-07-22,14:23:33,X,-8.500000,8.500000,180.000000,1.000000,8.401052,8.401058,0.002637,1000,1000
20260722_142038_25,2026-07-22,14:23:37,X,-8.000000,8.000000,180.000000,1.000000,8.440406,8.440214,0.002802,1000,1000
20260722_142038_26,2026-07-22,14:23:40,X,-7.500000,7.500000,180.000000,1.000000,8.464240,8.464564,0.005719,1000,1000
20260722_142038_27,2026-07-22,14:23:44,X,-7.000000,7.000000,180.000000,1.000000,8.495589,8.496482,0.003598,1000,1000
20260722_142038_28,2026-07-22,14:23:48,X,-6.500000,6.500000,180.000000,1.000000,8.532720,8.533335,0.002677,1000,1000
20260722_142038_29,2026-07-22,14:23:52,X,-6.000000,6.000000,180.000000,1.000000,8.570406,8.570189,0.003158,1000,1000
20260722_142038_30,2026-07-22,14:23:56,X,-5.500000,5.500000,180.000000,1.000000,8.592376,8.592399,0.003505,1000,1000
20260722_142038_31,2026-07-22,14:24:00,X,-5.000000,5.000000,180.000000,1.000000,8.613365,8.613294,0.002073,1000,1000
20260722_142038_32,2026-07-22,14:24:04,X,-4.500000,4.500000,180.000000,1.000000,8.638048,8.637973,0.002740,1000,1000
20260722_142038_33,2026-07-22,14:24:08,X,-4.000000,4.000000,180.000000,1.000000,8.656873,8.657057,0.002035,1000,1000
20260722_142038_34,2026-07-22,14:24:12,X,-3.500000,3.500000,180.000000,1.000000,8.681621,8.681736,0.001867,1000,1000
20260722_142038_35,2026-07-22,14:24:16,X,-3.000000,3.000000,180.000000,1.000000,8.693947,8.693911,0.001888,1000,1000
20260722_142038_36,2026-07-22,14:24:20,X,-2.500000,2.500000,180.000000,1.000000,8.695775,8.695556,0.002264,1000,1000
20260722_142038_37,2026-07-22,14:24:24,X,-2.000000,2.000000,180.000000,1.000000,8.705529,8.705428,0.001796,1000,1000
20260722_142038_38,2026-07-22,14:24:28,X,-1.500000,1.500000,180.000000,1.000000,8.720863,8.720893,0.003062,1000,1000
20260722_142038_39,2026-07-22,14:24:32,X,-1.000000,1.000000,180.000000,1.000000,8.724548,8.724513,0.002376,1000,1000
20260722_142038_40,2026-07-22,14:24:36,X,-0.500000,0.500000,180.000000,1.000000,8.732462,8.733068,0.002128,1000,1000
20260722_142038_41,2026-07-22,14:24:40,X,0.000000,0.000000,0.000000,1.000000,8.736488,8.736687,0.001624,1000,1000
20260722_142038_42,2026-07-22,14:24:44,X,0.500000,0.500000,0.000000,1.000000,8.727849,8.727803,0.001822,1000,1000
20260722_142038_43,2026-07-22,14:24:48,X,1.000000,1.000000,0.000000,1.000000,8.728151,8.728132,0.001776,1000,1000
20260722_142038_44,2026-07-22,14:24:52,X,1.500000,1.500000,0.000000,1.000000,8.721007,8.720893,0.002008,1000,1000
20260722_142038_45,2026-07-22,14:24:56,X,2.000000,2.000000,0.000000,1.000000,8.718714,8.718590,0.002210,1000,1000
20260722_142038_46,2026-07-22,14:25:00,X,2.500000,2.500000,0.000000,1.000000,8.696298,8.695556,0.002788,1000,1000
20260722_142038_47,2026-07-22,14:25:04,X,3.000000,3.000000,0.000000,1.000000,8.676311,8.676142,0.002388,1000,1000
20260722_142038_48,2026-07-22,14:25:08,X,3.500000,3.500000,0.000000,1.000000,8.675016,8.675155,0.001964,1000,1000
20260722_142038_49,2026-07-22,14:25:12,X,4.000000,4.000000,0.000000,1.000000,8.648810,8.648831,0.001981,1000,1000
20260722_142038_50,2026-07-22,14:25:16,X,4.500000,4.500000,0.000000,1.000000,8.613354,8.613294,0.002187,1000,1000
20260722_142038_51,2026-07-22,14:25:20,X,5.000000,5.000000,0.000000,1.000000,8.588488,8.588944,0.002050,1000,1000
20260722_142038_52,2026-07-22,14:25:24,X,5.500000,5.500000,0.000000,1.000000,8.557015,8.557027,0.001937,1000,1000
20260722_142038_53,2026-07-22,14:25:28,X,6.000000,6.000000,0.000000,1.000000,8.531654,8.532677,0.003141,1000,1000
20260722_142038_54,2026-07-22,14:25:32,X,6.500000,6.500000,0.000000,1.000000,8.520753,8.520502,0.003377,1000,1000
20260722_142038_55,2026-07-22,14:25:36,X,7.000000,7.000000,0.000000,1.000000,8.474768,8.475094,0.002881,1000,1000
20260722_142038_56,2026-07-22,14:25:40,X,7.500000,7.500000,0.000000,1.000000,8.435760,8.436266,0.003174,1000,1000
20260722_142038_57,2026-07-22,14:25:44,X,8.000000,8.000000,0.000000,1.000000,8.403042,8.403032,0.001977,1000,1000
20260722_142038_58,2026-07-22,14:25:48,X,8.500000,8.500000,0.000000,1.000000,8.361369,8.361572,0.001960,1000,1000
20260722_142038_59,2026-07-22,14:25:52,X,9.000000,9.000000,0.000000,1.000000,8.324968,8.325048,0.002222,1000,1000
20260722_142038_60,2026-07-22,14:25:56,X,9.500000,9.500000,0.000000,1.000000,8.284954,8.284904,0.003422,1000,1000
20260722_142038_61,2026-07-22,14:26:00,X,10.000000,10.000000,0.000000,1.000000,8.252525,8.252986,0.002859,1000,1000
20260722_142038_62,2026-07-22,14:26:03,X,10.500000,10.500000,0.000000,1.000000,8.219203,8.219423,0.002716,1000,1000
20260722_142038_63,2026-07-22,14:26:07,X,11.000000,11.000000,0.000000,1.000000,8.168517,8.168750,0.002600,1000,1000
20260722_142038_64,2026-07-22,14:26:11,X,11.500000,11.500000,0.000000,1.000000,8.123035,8.123012,0.002441,1000,1000
20260722_142038_65,2026-07-22,14:26:15,X,12.000000,12.000000,0.000000,1.000000,8.082524,8.081553,0.004525,1000,1000
20260722_142038_66,2026-07-22,14:26:19,X,12.500000,12.500000,0.000000,1.000000,8.019689,8.019692,0.004077,1000,1000
20260722_142038_67,2026-07-22,14:26:23,X,13.000000,13.000000,0.000000,1.000000,7.978766,7.978890,0.002815,1000,1000
20260722_142038_68,2026-07-22,14:26:27,X,13.500000,13.500000,0.000000,1.000000,7.929231,7.929204,0.001942,1000,1000
20260722_142038_69,2026-07-22,14:26:31,X,14.000000,14.000000,0.000000,1.000000,7.891119,7.891693,0.002461,1000,1000
20260722_142038_70,2026-07-22,14:26:35,X,14.500000,14.500000,0.000000,1.000000,7.846783,7.846284,0.002767,1000,1000
20260722_142038_71,2026-07-22,14:26:39,X,15.000000,15.000000,0.000000,1.000000,7.784337,7.784753,0.002858,1000,1000
