radii_mm,K,half_width_m,gain_mode,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
"15",1,0.45,known,0.00556607718749473,0.0185571241843311,0.0248943221296435,0.861728395061728,1,1,2
"15",1,0.6,known,0.00926521965179413,535.930595085608,998.906877386326,0.545679012345679,0.604938271604938,1,1
"15",1,0.833333333333333,known,956.033230174422,Inf,Inf,0.308641975308642,0.308641975308642,0.753086419753086,0
"15",1,0.45,common,3.14901787191074,105.502553956533,1106.80739079415,0,0.00246913580246914,1,2
"15",1,0.6,common,114.983212848796,Inf,Inf,0,0.00246913580246914,0.851851851851852,1
"15",1,0.833333333333333,common,Inf,Inf,Inf,0,0.00246913580246914,0.45679012345679,0
"15",1,0.45,per_state,3.14901787191074,105.502553956533,1106.80739079415,0,0.00246913580246914,1,2
"15",1,0.6,per_state,114.983212848796,Inf,Inf,0,0.00246913580246914,0.851851851851852,1
"15",1,0.833333333333333,per_state,Inf,Inf,Inf,0,0.00246913580246914,0.45679012345679,0
"15,15",2,0.45,known,0.00435323941386008,0.0182383613156931,0.0246700986955661,0.861728395061728,1,1,4
"15,15",2,0.6,known,0.00862708427454475,535.930594707626,998.906877139165,0.545679012345679,0.604938271604938,1,2
"15,15",2,0.833333333333333,known,956.033230156711,Inf,Inf,0.308641975308642,0.308641975308642,0.753086419753086,0
"15,15",2,0.45,common,2.57066088161728,105.47331149884,1106.80715831169,0,0.00246913580246914,1,4
"15,15",2,0.6,common,114.973280703016,Inf,Inf,0,0.00246913580246914,0.851851851851852,2
"15,15",2,0.833333333333333,common,Inf,Inf,Inf,0,0.00246913580246914,0.45679012345679,0
"15,15",2,0.45,per_state,2.57066088161727,105.47331149884,1106.80715831171,0,0.00246913580246914,1,4
"15,15",2,0.6,per_state,114.973280703039,Inf,Inf,0,0.00246913580246914,0.851851851851852,2
"15,15",2,0.833333333333333,per_state,Inf,Inf,Inf,0,0.00246913580246914,0.45679012345679,0
"12,15",2,0.45,known,0.00467299185127524,0.00759354379177053,0.0121130899431296,0.990123456790123,1,1,3
"12,15",2,0.6,known,0.00511804274983433,0.0456647977707299,0.102615128698445,0.822222222222222,0.990123456790123,1,2
"12,15",2,0.833333333333333,known,0.0274245588388025,4356.55948524316,Inf,0.328395061728395,0.555555555555556,0.950617283950617,1
"12,15",2,0.45,common,0.556296949797408,2.57639053310818,5.27782300628875,0,0,1,3
"12,15",2,0.6,common,0.848753079349058,106.299813512457,216.720155801753,0,0,1,2
"12,15",2,0.833333333333333,common,107.667110490727,Inf,Inf,0,0,0.851851851851852,1
"12,15",2,0.45,per_state,1.41533831508547,6.6816112831738,9.76433832881983,0,0,1,3
"12,15",2,0.6,per_state,4.89292785758265,2476.77588808188,16094.6462881068,0,0,1,2
"12,15",2,0.833333333333333,per_state,2273.65789224208,Inf,Inf,0,0,0.753086419753086,1
"15,15,15,15,15,15,15,15",8,0.45,known,0.00289820398031281,0.0179955829364976,0.0245005746541057,0.861728395061728,1,1,16
"15,15,15,15,15,15,15,15",8,0.6,known,0.00804493134518699,535.930594424142,998.906876849554,0.545679012345679,0.604938271604938,1,8
"15,15,15,15,15,15,15,15",8,0.833333333333333,known,956.033230143433,Inf,Inf,0.308641975308642,0.308641975308642,0.753086419753086,0
"15,15,15,15,15,15,15,15",8,0.45,common,2.50874319118101,105.45137419497,1106.8069839503,0,0.00246913580246914,1,16
"15,15,15,15,15,15,15,15",8,0.6,common,114.965830941493,Inf,Inf,0,0.00246913580246914,0.851851851851852,8
"15,15,15,15,15,15,15,15",8,0.833333333333333,common,Inf,Inf,Inf,0,0.00246913580246914,0.45679012345679,0
"15,15,15,15,15,15,15,15",8,0.45,per_state,2.50874319118064,105.451374194919,1106.8069839498,0,0.00246913580246914,1,16
"15,15,15,15,15,15,15,15",8,0.6,per_state,114.965830941657,Inf,Inf,0,0.00246913580246914,0.851851851851852,8
"15,15,15,15,15,15,15,15",8,0.833333333333333,per_state,Inf,Inf,Inf,0,0.00246913580246914,0.45679012345679,0
"10,11,12,13,15,17,20,25",8,0.45,known,0.00215992706196784,0.00348942113481594,0.00467121936146111,1,1,1,12
"10,11,12,13,15,17,20,25",8,0.6,known,0.00295479071810656,0.0115093992360925,0.129867893052009,0.940740740740741,0.980246913580247,1,4
"10,11,12,13,15,17,20,25",8,0.833333333333333,known,0.0316779823158621,303.127895661248,Inf,0.417283950617284,0.614814814814815,0.950617283950617,1
"10,11,12,13,15,17,20,25",8,0.45,common,0.139375737383107,0.435308691335391,0.593216550669047,0,0.306172839506173,1,12
"10,11,12,13,15,17,20,25",8,0.6,common,0.237164432808556,1.26829422508557,2.45855511428836,0,0.207407407407407,1,4
"10,11,12,13,15,17,20,25",8,0.833333333333333,common,1.03417945668461,306.389638785451,Inf,0,0.108641975308642,0.950617283950617,1
"10,11,12,13,15,17,20,25",8,0.45,per_state,0.216837288430891,1.08004278583661,6.74607690745777,0,0.165432098765432,1,12
"10,11,12,13,15,17,20,25",8,0.6,per_state,0.608428665473742,114.791413332189,1995.13377528969,0,0.135802469135802,1,4
"10,11,12,13,15,17,20,25",8,0.833333333333333,per_state,254.378145373941,235982374.620646,Inf,0,0.0666666666666667,0.980246913580247,1
