radii_mm,separation_m,gain_on_second_position,calibrated_distance_sigma,free_gain_distance_sigma
"15",0.602432568840696,0.613147930885039,174.648400741324,1.89262318416068
"12,15",0.602432568840696,0.605665591315027,222.301087704442,6.63596821509266
"-10,-11",0.602432568840696,0.619709674475028,261.247730856136,1.01162420372524
