case_name,perturbation,count,median_m,p95_m,max_m,rmse_m,rmse_x_m,rmse_y_m,rmse_z_m,fraction_error_1cm,fraction_error_10cm,failure_10cm_wilson95_low,failure_10cm_wilson95_high
tile_baseline_core_3d,matched,8,0.004070624589297,0.0162685465170086,0.0204568110302197,0.00848864862678258,0.000541884316056609,0.000776176710492695,0.00843570190387725,0.875,1,0,0.324407564883868
tile_baseline_core_3d,global_gain_plus2pct,8,0.0191535544359476,0.0287465941547234,0.0300729543156962,0.0208170639180524,0.00232540274948424,0.00245020547925827,0.0205411573512883,0.125,1,0,0.324407564883868
tile_baseline_core_3d,vcsel_calibration_1pct,8,0.00705709920795084,0.0280592230347182,0.0347645151392921,0.014434896794477,0.0009983739567732,0.000759274357519758,0.0143802989315123,0.75,1,0,0.324407564883868
tile_baseline_core_3d,residual_background_0p1nW,8,0.0110242727754478,0.034678259534859,0.041315913711599,0.0181495487899195,0.000908944217063813,0.00236756089042672,0.0179714940146349,0.375,1,0,0.324407564883868
tile_baseline_core_3d,pd_tilt_3deg,8,0.00845590739567492,0.0219008040753129,0.0255687835593722,0.0123296198814628,0.00069707522672911,0.00114145212885604,0.0122568633665867,0.75,1,0,0.324407564883868
tile_baseline_core_3d,curvature_error_0.1pct,8,0.00640648208603613,0.0140466832763298,0.0159227946678139,0.008619091772501,0.000742196791778945,0.000836376121133112,0.00854624841021286,0.625,1,0,0.324407564883868
tile_baseline_core_3d,curvature_error_1pct,8,0.0717844805386604,0.104806249465753,0.111949359903069,0.0765314193733211,0.00581122277812244,0.00473746341896452,0.0761632738363587,0,0.875,0.0224174914500576,0.470888182212844
tile_baseline_core_3d,edge_thickness_plus0p1mm,8,0.0149351654756041,0.0257333414050143,0.0266376673139425,0.017107553027881,0.00159412074287252,0.00154309903140634,0.0169630774047098,0.125,1,0,0.324407564883868
tile_convex_core_3d,matched,8,0.00383113039228693,0.0113420989697216,0.0126691318047489,0.0061914035091044,0.000789508699990584,0.000896769226942491,0.00607502743852227,0.875,1,0,0.324407564883868
tile_convex_core_3d,global_gain_plus2pct,8,0.0244627551774919,0.0395568573126713,0.0410690804378477,0.0284653407990443,0.00344131338685687,0.00368069335458797,0.0280158077771937,0,1,0,0.324407564883868
tile_convex_core_3d,vcsel_calibration_1pct,8,0.00981547717807148,0.0194271121626359,0.0203449497987491,0.0128132355948229,0.00170941438998003,0.00166865408713454,0.0125885861950124,0.5,1,0,0.324407564883868
tile_convex_core_3d,residual_background_0p1nW,8,0.0148959558077517,0.0372751367879045,0.0419305073165375,0.0209899546730077,0.00347501548901003,0.00298103706370954,0.0204845278820589,0.375,1,0,0.324407564883868
tile_convex_core_3d,pd_tilt_3deg,8,0.00434193448599355,0.0208870830838824,0.0214582160688416,0.0112433092483073,0.00155679527169745,0.00133118475279034,0.011055149862803,0.625,1,0,0.324407564883868
tile_convex_core_3d,curvature_error_0.1pct,8,0.00758410382463277,0.0225208040830915,0.0249589909425609,0.01296445325471,0.00121296778645202,0.00130230256471908,0.0128417197202133,0.625,1,0,0.324407564883868
tile_convex_core_3d,curvature_error_1pct,8,0.08548919150036,0.128879152104164,0.13620342008296,0.0903850411864765,0.00748281309652203,0.00684611788924395,0.0898142185196205,0,0.625,0.136844285823601,0.694257605397366
tile_convex_core_3d,edge_thickness_plus0p1mm,8,0.00537027439169806,0.0182689499524649,0.0204945465974763,0.0103562159406195,0.0012917344558363,0.00132370894164086,0.0101897215537112,0.625,1,0,0.324407564883868
tile_diverging_ninth_3d,matched,8,0.0036238398155511,0.018720491786947,0.0219708238058485,0.00975030480955641,0.00199432312771154,0.00225238807769506,0.00927458177434384,0.75,1,0,0.324407564883868
tile_diverging_ninth_3d,global_gain_plus2pct,8,0.0202019548657694,0.0290195348501551,0.0302958240074895,0.0213948954788458,0.00361816914734148,0.00324343647988093,0.0208357991056965,0.125,1,0,0.324407564883868
tile_diverging_ninth_3d,vcsel_calibration_1pct,8,0.00769012653954842,0.0170880700768381,0.0176483061740645,0.0106166452498493,0.00237722502204285,0.00177654751925511,0.0101934212346763,0.625,1,0,0.324407564883868
tile_diverging_ninth_3d,residual_background_0p1nW,8,0.00724151059303322,0.0273371994574309,0.0317798526726875,0.0148235557093581,0.00202430240750932,0.00289845444721161,0.0143957967979836,0.625,1,0,0.324407564883868
tile_diverging_ninth_3d,pd_tilt_3deg,8,0.0115787994511634,0.0315691428980873,0.0369201530307681,0.0173989381731359,0.00278726409445863,0.00382154831297004,0.0167436548253953,0.5,1,0,0.324407564883868
tile_diverging_ninth_3d,curvature_error_0.1pct,8,0.00736645076162084,0.010165557051762,0.0105849038933708,0.00719101591977826,0.00193759738610539,0.00158387209502893,0.00674149653374165,0.875,1,0,0.324407564883868
tile_diverging_ninth_3d,curvature_error_1pct,8,0.0508813335572534,0.101980841598259,0.105796311944322,0.0646249917014027,0.00547158638182153,0.00667277732365887,0.0640462749710043,0,0.875,0.0224174914500576,0.470888182212844
tile_diverging_ninth_3d,edge_thickness_plus0p1mm,8,0.00796720934847529,0.0111828881579539,0.0113988054229867,0.00776382738681687,0.00198840936323048,0.00152430251568055,0.0073484519279366,0.75,1,0,0.324407564883868
grid_diverging_full_3d,matched,8,0.0035955454922691,0.0115350434474815,0.0120394837335477,0.00685889761650059,0.00308496089798418,0.00251268629487193,0.00558694016033007,0.75,1,0,0.324407564883868
grid_diverging_full_3d,global_gain_plus2pct,8,0.032751892084421,0.043903339219796,0.0454531636100851,0.0331851940393439,0.0155794539953432,0.0119645498076205,0.0267467243702262,0,1,0,0.324407564883868
grid_diverging_full_3d,vcsel_calibration_1pct,8,0.00598040360676819,0.0244947364884104,0.0275709261809421,0.0138325027245843,0.00504105523124741,0.00671177429080128,0.0109944522214835,0.625,1,0,0.324407564883868
grid_diverging_full_3d,residual_background_0p1nW,8,0.0175459001969502,0.0357107422070881,0.0372926040063912,0.0236835237756558,0.0120176732224199,0.00938848869115948,0.0181201851217684,0.125,1,0,0.324407564883868
grid_diverging_full_3d,pd_tilt_3deg,8,0.0536993701424439,0.0653359885250793,0.0683203448743081,0.0481696217976872,0.0240116966242233,0.0170828759704498,0.0381041498781526,0,1,0,0.324407564883868
grid_diverging_full_3d,curvature_error_0.1pct,8,0.00882404747957308,0.0429889872830623,0.0550919830100688,0.0223580520487139,0.00554511835241003,0.0119503080877788,0.01806444824726,0.5,1,0,0.324407564883868
grid_diverging_full_3d,curvature_error_1pct,8,0.0714436138763611,0.371958763427415,0.499626103501589,0.190750495930671,0.0347813828367147,0.107246523062109,0.153864194655064,0.125,0.75,0.0714792127521113,0.590724569689823
