Case,K,Budget,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,1,per_orientation,Inf,NaN,0
1,2,per_orientation,Inf,NaN,0
1,3,per_orientation,Inf,329.932603596184,53.7946428571429
1,4,per_orientation,Inf,13172.2123037997,71.4285714285714
1,5,per_orientation,Inf,990179.028308821,88.5044642857143
1,6,per_orientation,Inf,10106729.3232937,95.9821428571429
1,7,per_orientation,Inf,393186328.392898,98.8839285714286
1,8,per_orientation,732950900.146616,732950900.146616,100
1,9,per_orientation,913833933.963942,913833933.963942,100
1,10,per_orientation,1123241468.22028,1123241468.22028,100
1,11,per_orientation,1050637542.79752,1050637542.79752,100
1,12,per_orientation,687981640.183348,687981640.183348,100
1,13,per_orientation,786675419.39321,786675419.39321,100
1,14,per_orientation,501292045.684136,501292045.684136,100
1,15,per_orientation,570111759.066731,570111759.066731,100
2,1,per_orientation,Inf,NaN,0
2,2,per_orientation,Inf,NaN,0
2,3,per_orientation,Inf,2.97034359554214,53.7946428571429
2,4,per_orientation,Inf,5.17445213303687,71.4285714285714
2,5,per_orientation,Inf,17.7503586883012,88.5044642857143
2,6,per_orientation,Inf,38.1443137549438,95.9821428571429
2,7,per_orientation,Inf,93.0805957640893,98.8839285714286
2,8,per_orientation,151.218219062239,151.218219062239,100
2,9,per_orientation,168.524204353044,168.524204353044,100
2,10,per_orientation,185.246052514778,185.246052514778,100
2,11,per_orientation,171.894778434373,171.894778434373,100
2,12,per_orientation,132.026342854198,132.026342854198,100
2,13,per_orientation,132.916764625168,132.916764625168,100
2,14,per_orientation,98.5699105017257,98.5699105017257,100
2,15,per_orientation,104.34281763688,104.34281763688,100
3,1,per_orientation,Inf,NaN,0
3,2,per_orientation,Inf,NaN,0
3,3,per_orientation,Inf,2.00184552383849,53.7946428571429
3,4,per_orientation,Inf,2.40592347156006,71.4285714285714
3,5,per_orientation,Inf,4.19703623261245,88.5044642857143
3,6,per_orientation,Inf,5.84893373260904,95.9821428571429
3,7,per_orientation,Inf,8.52229441709563,98.8839285714286
3,8,per_orientation,11.1711812182803,11.1711812182803,100
3,9,per_orientation,11.3240103460906,11.3240103460906,100
3,10,per_orientation,11.4268430506794,11.4268430506794,100
3,11,per_orientation,10.5702378341111,10.5702378341111,100
3,12,per_orientation,8.89260026836695,8.89260026836695,100
3,13,per_orientation,8.52337854771133,8.52337854771133,100
3,14,per_orientation,6.98246558189585,6.98246558189585,100
3,15,per_orientation,7.05214265176638,7.05214265176638,100
4,1,per_orientation,Inf,NaN,0
4,2,per_orientation,Inf,NaN,0
4,3,per_orientation,Inf,2.16436639830382,53.7946428571429
4,4,per_orientation,Inf,2.30674977438253,71.4285714285714
4,5,per_orientation,Inf,3.15309428915154,88.5044642857143
4,6,per_orientation,Inf,3.67103321626983,95.9821428571429
4,7,per_orientation,Inf,4.41623177826491,98.8839285714286
4,8,per_orientation,5.04752017955386,5.04752017955386,100
4,9,per_orientation,4.9046116526383,4.9046116526383,100
4,10,per_orientation,4.73273451069153,4.73273451069153,100
4,11,per_orientation,4.38948923719582,4.38948923719582,100
4,12,per_orientation,3.87412046207935,3.87412046207935,100
4,13,per_orientation,3.66505239647213,3.66505239647213,100
4,14,per_orientation,3.19497807608915,3.19497807608915,100
4,15,per_orientation,3.14378657474019,3.14378657474019,100
1,1,fixed_total,Inf,NaN,0
1,2,fixed_total,Inf,NaN,0
1,3,fixed_total,Inf,190.486677500691,53.7946428571429
1,4,fixed_total,Inf,8781.4748691998,71.4285714285714
1,5,fixed_total,Inf,738035.872397766,88.5044642857143
1,6,fixed_total,Inf,8252109.93683049,95.9821428571429
1,7,fixed_total,Inf,346772883.935744,98.8839285714286
1,8,fixed_total,691032735.694342,691032735.694342,100
1,9,fixed_total,913833933.963942,913833933.963942,100
1,10,fixed_total,1184000467.30909,1184000467.30909,100
1,11,fixed_total,1161611247.53016,1161611247.53016,100
1,12,fixed_total,794412770.314781,794412770.314781,100
1,13,fixed_total,945407271.15467,945407271.15467,100
1,14,fixed_total,625189281.617252,625189281.617252,100
1,15,fixed_total,736011116.114331,736011116.114331,100
2,1,fixed_total,Inf,NaN,0
2,2,fixed_total,Inf,NaN,0
2,3,fixed_total,Inf,1.71492867447194,53.7946428571429
2,4,fixed_total,Inf,3.44963475535792,71.4285714285714
2,5,fixed_total,Inf,13.2303362173485,88.5044642857143
2,6,fixed_total,Inf,31.1447017627459,95.9821428571429
2,7,fixed_total,Inf,82.0909107114671,98.8839285714286
2,8,fixed_total,142.569904183816,142.569904183816,100
2,9,fixed_total,168.524204353044,168.524204353044,100
2,10,fixed_total,195.266484500617,195.266484500617,100
2,11,fixed_total,190.047857627491,190.047857627491,100
2,12,fixed_total,152.450889173985,152.450889173985,100
2,13,fixed_total,159.739061988552,159.739061988552,100
2,14,fixed_total,122.933704598794,122.933704598794,100
2,15,fixed_total,134.705998334665,134.705998334665,100
3,1,fixed_total,Inf,NaN,0
3,2,fixed_total,Inf,NaN,0
3,3,fixed_total,Inf,1.1557660520642,53.7946428571429
3,4,fixed_total,Inf,1.60394898104004,71.4285714285714
3,5,fixed_total,Inf,3.12828610671702,88.5044642857143
3,6,fixed_total,Inf,4.77563439474812,95.9821428571429
3,7,fixed_total,Inf,7.51600479509692,98.8839285714286
3,8,fixed_total,10.5322906577464,10.5322906577464,100
3,9,fixed_total,11.3240103460906,11.3240103460906,100
3,10,fixed_total,12.0449501684711,12.0449501684711,100
3,11,fixed_total,11.6863101140172,11.6863101140172,100
3,12,fixed_total,10.2682903174748,10.2682903174748,100
3,13,fixed_total,10.2435603818462,10.2435603818462,100
3,14,fixed_total,8.70849527785443,8.70849527785443,100
3,15,fixed_total,9.10427701512339,9.10427701512339,100
4,1,fixed_total,Inf,NaN,0
4,2,fixed_total,Inf,NaN,0
4,3,fixed_total,Inf,1.24959752268569,53.7946428571429
4,4,fixed_total,Inf,1.53783318292168,71.4285714285714
4,5,fixed_total,Inf,2.35017772333641,88.5044642857143
4,6,fixed_total,Inf,2.99738606955643,95.9821428571429
4,7,fixed_total,Inf,3.89476382432647,98.8839285714286
4,8,fixed_total,4.75884766285129,4.75884766285129,100
4,9,fixed_total,4.9046116526383,4.9046116526383,100
4,10,fixed_total,4.98874020488925,4.98874020488925,100
4,11,fixed_total,4.85289809419604,4.85289809419604,100
4,12,fixed_total,4.4734489833091,4.4734489833091,100
4,13,fixed_total,4.40478450688266,4.40478450688266,100
4,14,fixed_total,3.98480666449693,3.98480666449693,100
4,15,fixed_total,4.05861101599973,4.05861101599973,100
