
============================================================
PEB_B ORIENTATION OPTIMIZATION LOG (Coverage / REAL params)
============================================================
Date: 27-Jul-2026 06:18:40
Metric: rms
K = 9 orientations
Testbed: 11789 positions (FOV-filtered=1)
Room: 3x3x2.0 m^3
LED: Pt=0.670 W, Phi_half=36.7 deg, m=3.14
PD: A=7.02e-06 m^2, FOV=60 deg
Noise: sigma2=3.00e-14 W^2, N=1000 samples
Constraint: min pairwise beam separation = 10.0 deg
GA: pop=400, gen=400, parallel=24 workers
============================================================

Starting GA optimization for PEB_B (K=9)...

Single objective optimization:
18 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              800       0.0006188           6.741        0
    2             1180       0.0001073           6.201        0
    3             1560       0.0001073           5.356        1
    4             1940       2.249e-05            4.45        0
    5             2320       2.245e-05            4.77        0
    6             2700       2.205e-05            4.44        0
    7             3080       2.205e-05           4.536        1
    8             3460       2.157e-05           4.271        0
    9             3840       2.151e-05           4.802        0
   10             4220       2.148e-05           4.272        0
   11             4600       2.146e-05           4.432        0
   12             4980       2.141e-05           3.932        0
   13             5360       2.137e-05           2.975        0
   14             5740       2.134e-05           2.456        0
   15             6120       2.127e-05             1.5        0
   16             6500       2.123e-05          0.9096        0
   17             6880       2.116e-05          0.8109        0
   18             7260       2.115e-05          0.5914        0
   19             7640       2.113e-05          0.5519        0
   20             8020       2.109e-05          0.3821        0
   21             8400       2.108e-05          0.3174        0
   22             8780       2.104e-05          0.1859        0
   23             9160       2.102e-05          0.1556        0
   24             9540       2.101e-05          0.2045        0
   25             9920       2.099e-05          0.1033        0
   26            10300       2.099e-05         0.07537        0
   27            10680       2.097e-05         0.07618        0
   28            11060       2.095e-05         0.07559        0
   29            11440       2.095e-05         0.07603        0
   30            11820       2.094e-05         0.07603        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31            12200       2.094e-05       2.097e-05        0
   32            12580       2.092e-05       2.096e-05        0
   33            12960       2.092e-05         0.02519        0
   34            13340       2.092e-05         0.02541        0
   35            13720       2.091e-05         0.05057        0
   36            14100        2.09e-05         0.02519        0
   37            14480        2.09e-05         0.02563        1
   38            14860       2.089e-05         0.02552        0
   39            15240       2.089e-05         0.07601        0
   40            15620       2.089e-05         0.02541        0
   41            16000       2.088e-05         0.02541        0
   42            16380       2.088e-05        2.09e-05        0
   43            16760       2.087e-05        2.09e-05        0
   44            17140       2.087e-05       2.089e-05        1
   45            17520       2.087e-05       2.089e-05        0
   46            17900       2.087e-05       2.088e-05        1
   47            18280       2.086e-05       2.088e-05        0
   48            18660       2.086e-05       2.087e-05        0
   49            19040       2.085e-05       2.087e-05        0
   50            19420       2.085e-05       2.087e-05        0
   51            19800       2.084e-05       2.086e-05        0
   52            20180       2.084e-05       2.086e-05        0
   53            20560       2.084e-05       2.086e-05        0
   54            20940       2.083e-05       2.085e-05        0
   55            21320       2.083e-05       2.085e-05        0
   56            21700       2.082e-05       2.084e-05        0
   57            22080       2.081e-05       2.084e-05        0
   58            22460        2.08e-05       2.083e-05        0
   59            22840        2.08e-05       2.083e-05        0
   60            23220       2.079e-05       2.082e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            23600       2.079e-05       2.082e-05        0
   62            23980       2.078e-05       2.081e-05        0
   63            24360       2.077e-05       2.081e-05        0
   64            24740       2.077e-05        2.08e-05        0
   65            25120       2.076e-05       2.079e-05        0
   66            25500       2.075e-05       2.079e-05        0
   67            25880       2.074e-05       2.078e-05        0
   68            26260       2.073e-05       2.077e-05        0
   69            26640       2.072e-05       2.076e-05        0
   70            27020        2.07e-05       2.075e-05        0
   71            27400        2.07e-05       2.075e-05        1
   72            27780        2.07e-05       2.074e-05        0
   73            28160       2.069e-05       2.073e-05        0
   74            28540       2.067e-05       2.072e-05        0
   75            28920       2.067e-05       2.071e-05        0
   76            29300       2.065e-05        2.07e-05        0
   77            29680       2.064e-05       2.069e-05        0
   78            30060       2.063e-05       2.068e-05        0
   79            30440       2.062e-05       2.067e-05        0
   80            30820       2.061e-05       2.066e-05        0
   81            31200       2.059e-05       2.065e-05        0
   82            31580       2.059e-05       2.064e-05        1
   83            31960       2.059e-05       2.062e-05        0
   84            32340       2.058e-05       2.062e-05        0
   85            32720       2.056e-05       2.061e-05        0
   86            33100       2.055e-05        2.06e-05        0
   87            33480       2.055e-05       2.059e-05        0
   88            33860       2.053e-05       2.058e-05        0
   89            34240       2.053e-05       2.057e-05        0
   90            34620       2.052e-05       2.056e-05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            35000       2.051e-05       2.055e-05        0
   92            35380       2.051e-05       2.055e-05        0
   93            35760       2.049e-05       2.054e-05        0
   94            36140       2.047e-05       2.053e-05        0
   95            36520       2.047e-05       2.052e-05        0
