HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
45,46,0,Inf,NaN,0,0
45,46,1,Inf,13.1188752457795,97.7272727272727,0
45,46,2,Inf,6.95562193815085,98.3471074380165,0
45,46,3,Inf,5.51118002370919,98.7603305785124,0
45,46,4,Inf,3.89208701865664,98.7603305785124,0
45,46,5,Inf,3.22761812742917,98.9669421487603,0
45,46,6,Inf,2.96710901476693,99.3801652892562,0
45,46,7,Inf,2.51681770182835,99.5867768595041,0
45,46,8,Inf,2.15371583348926,99.5867768595041,0
45,46,9,Inf,1.93767617480118,99.5867768595041,0
45,46,10,Inf,1.90830026960171,99.7933884297521,0
45,46,11,Inf,1.75817910900348,99.7933884297521,0
45,46,12,1.7018945484121,1.7018945484121,100,0
45,46,13,1.60876274576749,1.60876274576749,100,0
45,46,14,1.52664449688588,1.52664449688588,100,0
45,46,15,1.45570425499952,1.45570425499952,100,0
45,46,16,1.38983380125845,1.38983380125845,100,0
45,46,17,1.3344246178075,1.3344246178075,100,0
45,46,18,1.26039800836173,1.26039800836173,100,0
45,46,19,1.2370848736574,1.2370848736574,100,0
45,46,20,1.20000881660523,1.20000881660523,100,0
45,46,21,1.17736077687323,1.17736077687323,100,0
45,46,22,1.16058228258622,1.16058228258622,100,0
45,46,23,1.13206961988801,1.13206961988801,100,0
45,46,24,1.12076204236928,1.12076204236928,100,0
45,46,25,1.14987759721143,1.14987759721143,100,0
45,46,26,1.14158260276621,1.14158260276621,100,0
45,46,27,1.13831064338576,1.13831064338576,100,0
45,46,28,1.15366845385033,1.15366845385033,100,0
45,46,29,1.15358179526167,1.15358179526167,100,0
45,46,30,1.16569159923959,1.16569159923959,100,0
45,46,31,1.1804880233852,1.1804880233852,100,0
45,46,32,1.17819305102544,1.17819305102544,100,0
45,46,33,1.20380233067503,1.20380233067503,100,0
45,46,34,1.22352931494589,1.22352931494589,100,0
45,46,35,1.27756064945983,1.27756064945983,100,0
45,46,36,1.32120030467753,1.32120030467753,100,0
45,46,37,1.34914880842138,1.34914880842138,100,0
45,46,38,1.36581571967303,1.36581571967303,100,0
45,46,39,1.39501876783117,1.39501876783117,100,0
45,46,40,1.45168787860213,1.45168787860213,100,0
45,46,41,1.50118294714047,1.50118294714047,100,0
45,46,42,1.54155780745226,1.54155780745226,100,0
45,46,43,1.61385627927267,1.61385627927267,100,0
45,46,44,1.67374140993022,1.67374140993022,100,0
45,46,45,1.78846376533233,1.78846376533233,100,0
45,46,46,Inf,1.92785900835243,99.1735537190083,0.826446280991736
45,46,47,Inf,2.04126831982109,99.1735537190083,0
45,46,48,Inf,2.19931622732028,99.1735537190083,0
45,46,49,Inf,2.39005810502472,98.5537190082645,0
45,46,50,Inf,2.54900425713366,97.004132231405,0
45,46,51,Inf,2.69882783244185,94.8347107438017,0
45,46,52,Inf,2.80966243914996,92.1487603305785,0
45,46,53,Inf,2.94397711838017,88.7396694214876,0
45,46,54,Inf,3.02997777168974,84.6074380165289,0
45,46,55,Inf,3.15675320981423,79.2355371900827,0
45,46,56,Inf,3.19322128031985,70.1446280991736,0
45,46,57,Inf,3.21462148843003,62.1900826446281,0
45,46,58,Inf,3.28795909438671,52.995867768595,0
45,46,59,Inf,3.30959591851892,46.900826446281,0
45,46,60,Inf,3.31357389903208,39.0495867768595,0
45,46,61,Inf,3.31624347109551,34.0909090909091,0
45,46,62,Inf,3.25445060875022,27.8925619834711,0
45,46,63,Inf,3.32972252768629,22.9338842975207,0
45,46,64,Inf,3.40537948852857,18.4917355371901,0
45,46,65,Inf,3.41787901945314,15.599173553719,0
45,46,66,Inf,3.50295410510585,11.5702479338843,0
45,46,67,Inf,3.54881486035607,8.78099173553719,0
45,46,68,Inf,3.74446232020414,6.81818181818182,0
45,46,69,Inf,4.02588080995224,4.95867768595041,0
45,46,70,Inf,4.14031020763275,3.82231404958678,0
45,46,71,Inf,4.48243282621203,3.09917355371901,0
45,46,72,Inf,4.67769354713115,2.37603305785124,0
45,46,73,Inf,5.15223503484248,1.75619834710744,0
45,46,74,Inf,5.48412182984574,1.13636363636364,0
45,46,75,Inf,6.72482971089075,0.619834710743802,0
45,46,76,Inf,5.50532883237389,0.413223140495868,0
45,46,77,Inf,6.69302712810495,0.206611570247934,0
45,46,78,Inf,NaN,0,0
45,46,79,Inf,NaN,0,0
45,46,80,Inf,NaN,0,0
45,46,81,Inf,NaN,0,0
45,46,82,Inf,NaN,0,0
45,46,83,Inf,NaN,0,0
45,46,84,Inf,NaN,0,0
45,46,85,Inf,NaN,0,0
