variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch1.5,tile_core,1.5,"11,15",2,0.460961880447734,5017.42996649114,6300.01974605105,0.36,0.36,1,1
pitch1.5,tile_ninth,1.5,"11,15",2,467261523.484916,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_prism,1.5,"11,15",2,Inf,Inf,Inf,0.2,0.264,0.424,0
pitch1.5,tile_core,1.5,"11,17",2,1.37096992248241,5710.69846785037,7146.37828893345,0.36,0.36,1,1
pitch1.5,tile_ninth,1.5,"11,17",2,3498746551.35242,Inf,Inf,0.36,0.36,0.52,0
pitch1.5,tile_prism,1.5,"11,17",2,Inf,Inf,Inf,0.2,0.232,0.36,0
pitch1.5,tile_core,1.5,"11,20",2,13.3351047523468,Inf,Inf,0.296,0.36,0.936,1
pitch1.5,tile_ninth,1.5,"11,20",2,3692164109.97761,Inf,Inf,0.264,0.36,0.52,0
pitch1.5,tile_prism,1.5,"11,20",2,Inf,Inf,Inf,0.104,0.2,0.36,0
pitch1.5,tile_core,1.5,"11,25",2,118.995726434675,Inf,Inf,0.2,0.36,0.872,1
pitch1.5,tile_ninth,1.5,"11,25",2,3696215845.67707,Inf,Inf,0.232,0.36,0.52,0
pitch1.5,tile_prism,1.5,"11,25",2,Inf,Inf,Inf,0.072,0.2,0.36,0
pitch1.5,tile_core,1.5,"12,13",2,0.310821003402556,28771.8520259746,36076.8856818465,0.36,0.36,1,1
pitch1.5,tile_ninth,1.5,"12,13",2,280361667.087544,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_prism,1.5,"12,13",2,Inf,Inf,Inf,0.136,0.232,0.456,0
pitch1.5,tile_core,1.5,"12,15",2,0.582888671567751,29284.4386619508,36720.2606199061,0.36,0.36,1,1
pitch1.5,tile_ninth,1.5,"12,15",2,984976710.893072,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_prism,1.5,"12,15",2,Inf,Inf,Inf,0.168,0.232,0.424,0
pitch1.5,tile_core,1.5,"12,17",2,2.52457420434928,30096.829333577,37713.1481827569,0.36,0.36,1,1
pitch1.5,tile_ninth,1.5,"12,17",2,3786573667.35934,Inf,Inf,0.36,0.36,0.84,0
pitch1.5,tile_prism,1.5,"12,17",2,Inf,Inf,Inf,0.168,0.2,0.424,0
pitch1.5,tile_core,1.5,"12,20",2,18.4102163311647,Inf,Inf,0.36,0.36,0.84,1
