sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_112748_5,0.68,0.54,0.75,20,0,4.27384512,4.27491
20251029_112748_5,0.68,0.54,0.75,20,120,4.0946473,4.09592
20251029_112748_5,0.68,0.54,0.75,20,240,3.76531537,3.765745
20251029_112748_6,0.68,0.54,0.75,20,0,4.26866389,4.26965
20251029_112748_6,0.68,0.54,0.75,20,120,4.09059391,4.09131
20251029_112748_6,0.68,0.54,0.75,20,240,3.75940658,3.76032
20251029_112748_7,0.68,0.54,0.75,20,0,4.09540047,4.09559
20251029_112748_7,0.68,0.54,0.75,20,120,3.94485743,3.94589
20251029_112748_7,0.68,0.54,0.75,20,240,3.60887388,3.60962
20251029_112748_8,0.68,0.54,0.75,20,0,4.22786506,4.228685
20251029_112748_8,0.68,0.54,0.75,20,120,4.07136576,4.07157
20251029_112748_8,0.68,0.54,0.75,20,240,3.74162127,3.74222
20251029_112748_9,0.68,0.54,0.75,20,0,4.39362314,4.394515
20251029_112748_9,0.68,0.54,0.75,20,120,4.20569932,4.2068
20251029_112748_9,0.68,0.54,0.75,20,240,3.88182969,3.88189
20251029_115502_1,0.45,0.2,0.75,20,0,4.13285632,4.13376
20251029_115502_1,0.45,0.2,0.75,20,120,3.96078068,3.96135
20251029_115502_1,0.45,0.2,0.75,20,240,4.67256234,4.67369
20251029_115502_2,0.45,0.2,0.75,20,0,4.21365451,4.2147
20251029_115502_2,0.45,0.2,0.75,20,120,4.04779191,4.04887
20251029_115502_2,0.45,0.2,0.75,20,240,4.77066991,4.77174
20251029_120128_1,0.45,0.2,0.75,20,0,4.2632082,4.26405
20251029_120128_1,0.45,0.2,0.75,20,120,4.09039143,4.09131
20251029_120128_1,0.45,0.2,0.75,20,240,4.83443954,4.835405
20251029_120128_10,0.51,0.22,0.75,20,0,4.33117411,4.33183
20251029_120128_10,0.51,0.22,0.75,20,120,4.06531856,4.06598
20251029_120128_10,0.51,0.22,0.75,20,240,4.74501908,4.74542
20251029_120128_11,0.51,0.22,0.75,20,0,4.37681772,4.37757
20251029_120128_11,0.51,0.22,0.75,20,120,4.07684302,4.0775
20251029_120128_11,0.51,0.22,0.75,20,240,4.7832076,4.78391
20251029_120128_12,0.51,0.22,0.75,20,0,4.19692916,4.19759
20251029_120128_12,0.51,0.22,0.75,20,120,3.92940639,3.92976
20251029_120128_12,0.51,0.22,0.75,20,240,4.58517044,4.58551
20251029_120128_13,0.51,0.22,0.75,20,0,4.3521433,4.35289
20251029_120128_13,0.51,0.22,0.75,20,120,4.05676287,4.05743
20251029_120128_13,0.51,0.22,0.75,20,240,4.7577333,4.75891
