x,y,z,b_k2,b_k3
0.25,-0.25,0.75,0.993753304187171,1.19880929848214
0.5,0,0.75,0.91223880376157,1.09122019994594
0.75,0.25,0.75,0.816073310659153,1.00334179615916
0.75,0.5,0.75,0.827035996906167,0.899993877373675
0.75,0.75,0.75,0.813927597422489,0.715882374072004
