Case,Area_mm2,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,5,318.834189277906,318.834189277906,100
1,5.38884577076006,295.827903451889,295.827903451889,100
1,5.80793174820771,274.481694259144,274.481694259144,100
1,6.25960968763844,254.675774679325,254.675774679325,100
1,6.74641423836782,236.29900122694,236.29900122694,100
1,7.27107716724477,219.248250255279,219.248250255279,100
1,7.8365426883154,203.427839264692,203.427839264692,100
1,8.44598398466182,188.748989967847,188.748989967847,100
1,9.1028210151304,175.12933009885,175.12933009885,100
1,9.81073970587425,162.492431170608,162.492431170608,100
1,10.5737126344056,150.767379586455,150.767379586455,100
1,11.3960213222298,139.888378699313,139.888378699313,100
1,12.2822802611579,129.79437958528,129.79437958528,100
1,13.2374628081261,120.428738459677,120.428738459677,100
1,14.2669290938328,111.738898813105,111.738898813105,100
1,15.3764561018069,103.676096483779,103.676096483779,100
1,16.5722700866999,96.1950860111149,96.1950860111149,100
1,17.8610815137213,89.2538867349577,89.2538867349577,100
1,19.2501227152835,82.8135472156676,82.8135472156676,100
1,20.7471884761735,76.8379266530645,76.8379266530645,100
1,22.3606797749979,71.2934920776431,71.2934920776431,100
1,24.0996509273635,66.1491301759668,66.1491301759668,100
1,25.9738603953433,61.375972694276,61.375972694276,100
1,26.4,60.3852631208154,60.3852631208154,100
1,27.9938255483516,56.947234440539,56.947234440539,100
1,30.1708816827258,52.8380629758746,52.8380629758746,100
1,32.5172456312118,49.0253991518689,49.0253991518689,100
1,35.0460843193044,45.4878477111753,45.4878477111753,100
1,37.7715886531567,42.2055572252531,42.2055572252531,100
1,40.7090531536905,39.160108695503,39.160108695503,100
1,43.8749617837822,36.3344121926686,36.3344121926686,100
1,47.2870804501588,33.7126109544826,33.7126109544826,100
1,50.9645566990858,31.2799924033897,31.2799924033897,100
1,54.9280271653059,29.0229055850098,29.0229055850098,100
1,59.1997333771905,26.9286845640382,26.9286845640382,100
1,63.8036465679591,24.9855773477074,24.9855773477074,100
1,68.7656021933632,23.1826799379557,23.1826799379557,100
1,74.1134449106948,21.5098751422292,21.5098751422292,100
1,79.8771848326912,19.9577757995432,19.9577757995432,100
1,86.0891659331735,18.5176721032121,18.5176721032121,100
1,92.7842475494485,17.1814827246395,17.1814827246395,100
1,100,15.9417094638953,15.9417094638953,100
2,5,24.6467759880369,24.6467759880369,100
2,5.38884577076006,22.8683256456982,22.8683256456982,100
2,5.80793174820771,21.2182038775187,21.2182038775187,100
2,6.25960968763844,19.6871508112636,19.6871508112636,100
2,6.74641423836782,18.2665747441561,18.2665747441561,100
2,7.27107716724477,16.9485039294228,16.9485039294228,100
2,7.8365426883154,15.7255418418037,15.7255418418037,100
2,8.44598398466182,14.5908256709913,14.5908256709913,100
2,9.1028210151304,13.537987810081,13.537987810081,100
2,9.81073970587425,12.5611201229197,12.5611201229197,100
2,10.5737126344056,11.6547407898334,11.6547407898334,100
2,11.3960213222298,10.8137635456856,10.8137635456856,100
2,12.2822802611579,10.033469137641,10.033469137641,100
2,13.2374628081261,9.30947884246631,9.30947884246631,100
2,14.2669290938328,8.63772989475748,8.63772989475748,100
2,15.3764561018069,8.0144526882045,8.0144526882045,100
2,16.5722700866999,7.4361496219571,7.4361496219571,100
2,17.8610815137213,6.89957547338406,6.89957547338406,100
2,19.2501227152835,6.4017191870857,6.4017191870857,100
2,20.7471884761735,5.93978697796614,5.93978697796614,100
2,22.3606797749979,5.51118665354601,5.51118665354601,100
2,24.0996509273635,5.1135130675383,5.1135130675383,100
2,25.9738603953433,4.74453462305813,4.74453462305813,100
2,26.4,4.66794999773427,4.66794999773427,100
2,27.9938255483516,4.40218074972756,4.40218074972756,100
2,30.1708816827258,4.08453028440139,4.08453028440139,100
2,32.5172456312118,3.78980069031118,3.78980069031118,100
2,35.0460843193044,3.51633805412903,3.51633805412903,100
2,37.7715886531567,3.26260780481854,3.26260780481854,100
2,40.7090531536905,3.02718610219046,3.02718610219046,100
2,43.8749617837822,2.8087518468389,2.8087518468389,100
2,47.2870804501588,2.60607926662072,2.60607926662072,100
2,50.9645566990858,2.41803103807622,2.41803103807622,100
2,54.9280271653059,2.24355190419114,2.24355190419114,100
2,59.1997333771905,2.08166275268507,2.08166275268507,100
2,63.8036465679591,1.93145512159598,1.93145512159598,100
2,68.7656021933632,1.79208610132812,1.79208610132812,100
2,74.1134449106948,1.66277360455554,1.66277360455554,100
2,79.8771848326912,1.5427919774377,1.5427919774377,100
2,86.0891659331735,1.43146792751883,1.43146792751883,100
2,92.7842475494485,1.32817674546003,1.32817674546003,100
2,100,1.23233879940185,1.23233879940185,100
3,5,13.5847487943448,13.5847487943448,100
3,5.38884577076006,12.6045069503156,12.6045069503156,100
3,5.80793174820771,11.6949969311683,11.6949969311683,100
3,6.25960968763844,10.8511149035156,10.8511149035156,100
3,6.74641423836782,10.068125313953,10.068125313953,100
3,7.27107716724477,9.34163431488684,9.34163431488684,100
3,7.8365426883154,8.66756510788884,8.66756510788884,100
3,8.44598398466182,8.0421350662132,8.0421350662132,100
