Case,Area_mm2,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,5,161.863797555831,161.863797555831,100
1,5.38884577076006,150.184106617141,150.184106617141,100
1,5.80793174820771,139.347193263575,139.347193263575,100
1,6.25960968763844,129.292244750884,129.292244750884,100
1,6.74641423836782,119.962836431899,119.962836431899,100
1,7.27107716724477,111.306615122314,111.306615122314,100
1,7.8365426883154,103.275005313999,103.275005313999,100
1,8.44598398466182,95.8229365872473,95.8229365872473,100
1,9.1028210151304,88.9085906922626,88.9085906922626,100
1,9.81073970587425,82.4931668806349,82.4931668806349,100
1,10.5737126344056,76.540664169908,76.540664169908,100
1,11.3960213222298,71.0176793193995,71.0176793193995,100
1,12.2822802611579,65.8932193835851,65.8932193835851,100
1,13.2374628081261,61.1385277911669,61.1385277911669,100
1,14.2669290938328,56.7269229738446,56.7269229738446,100
1,15.3764561018069,52.633648639237,52.633648639237,100
1,16.5722700866999,48.8357348477366,48.8357348477366,100
1,17.8610815137213,45.3118691137162,45.3118691137162,100
1,19.2501227152835,42.0422768077526,42.0422768077526,100
1,20.7471884761735,39.0086101887296,39.0086101887296,100
1,22.3606797749979,36.1938454431103,36.1938454431103,100
1,24.0996509273635,33.5821871536002,33.5821871536002,100
1,25.9738603953433,31.1589796611155,31.1589796611155,100
1,26.4,30.656022264362,30.656022264362,100
1,27.9938255483516,28.9106248226518,28.9106248226518,100
1,30.1708816827258,26.8245057035415,26.8245057035415,100
1,32.5172456312118,24.8889157758899,24.8889157758899,100
1,35.0460843193044,23.0929932258755,23.0929932258755,100
1,37.7715886531567,21.4266600012736,21.4266600012736,100
1,40.7090531536905,19.8805652571604,19.8805652571604,100
1,43.8749617837822,18.4460328824334,18.4460328824334,100
1,47.2870804501588,17.1150128126897,17.1150128126897,100
1,50.9645566990858,15.8800358562458,15.8800358562458,100
1,54.9280271653059,14.7341717798003,14.7341717798003,100
1,59.1997333771905,13.6709904185309,13.6709904185309,100
1,63.8036465679591,12.6845255923911,12.6845255923911,100
1,68.7656021933632,11.7692416261173,11.7692416261173,100
1,74.1134449106948,10.9200022850694,10.9200022850694,100
1,79.8771848326912,10.1320419525843,10.1320419525843,100
1,86.0891659331735,9.40093888709976,9.40093888709976,100
1,92.7842475494485,8.72259040897903,8.72259040897903,100
1,100,8.09318987779156,8.09318987779156,100
2,5,17.0785034251275,17.0785034251275,100
2,5.38884577076006,15.8461608957114,15.8461608957114,100
2,5.80793174820771,14.7027411525608,14.7027411525608,100
2,6.25960968763844,13.6418277475466,13.6418277475466,100
2,6.74641423836782,12.657467227553,12.657467227553,100
2,7.27107716724477,11.7441357259031,11.7441357259031,100
2,7.8365426883154,10.8967079644652,10.8967079644652,100
2,8.44598398466182,10.1104284924898,10.1104284924898,100
2,9.1028210151304,9.38088500078175,9.38088500078175,100
2,9.81073970587425,8.70398356145443,8.70398356145443,100
2,10.5737126344056,8.07592565432319,8.07592565432319,100
2,11.3960213222298,7.49318685101665,7.49318685101665,100
2,12.2822802611579,6.95249703719001,6.95249703719001,100
2,13.2374628081261,6.45082206185446,6.45082206185446,100
2,14.2669290938328,5.98534671084548,5.98534671084548,100
2,15.3764561018069,5.55345890888365,5.55345890888365,100
2,16.5722700866999,5.15273506157551,5.15273506157551,100
2,17.8610815137213,4.78092645509945,4.78092645509945,100
2,19.2501227152835,4.43594663725654,4.43594663725654,100
2,20.7471884761735,4.11585970907355,4.11585970907355,100
2,22.3606797749979,3.81886946125482,3.81886946125482,100
2,24.0996509273635,3.54330929452096,3.54330929452096,100
2,25.9738603953433,3.28763286727095,3.28763286727095,100
2,26.4,3.23456504263779,3.23456504263779,100
2,27.9938255483516,3.05040541808571,3.05040541808571,100
2,30.1708816827258,2.83029571437844,2.83029571437844,100
2,32.5172456312118,2.62606858201032,2.62606858201032,100
2,35.0460843193044,2.43657797395075,2.43657797395075,100
2,37.7715886531567,2.2607605390858,2.2607605390858,100
2,40.7090531536905,2.09762965508562,2.09762965508562,100
2,43.8749617837822,1.94626989184528,1.94626989184528,100
2,47.2870804501588,1.80583187443011,1.80583187443011,100
2,50.9645566990858,1.67552751669808,1.67552751669808,100
2,54.9280271653059,1.55462559885228,1.55462559885228,100
2,59.1997333771905,1.44244766410619,1.44244766410619,100
2,63.8036465679591,1.33836421143553,1.33836421143553,100
2,68.7656021933632,1.24179116305156,1.24179116305156,100
2,74.1134449106948,1.15218658677294,1.15218658677294,100
2,79.8771848326912,1.06904765490295,1.06904765490295,100
2,86.0891659331735,0.991907822546724,0.991907822546724,100
2,92.7842475494485,0.920334209534097,0.920334209534097,100
2,100,0.853925171256377,0.853925171256377,100
3,5,11.5802350390154,11.5802350390154,100
3,5.38884577076006,10.744633945408,10.744633945408,100
3,5.80793174820771,9.96932775818946,9.96932775818946,100
3,6.25960968763844,9.2499657461744,9.2499657461744,100
3,6.74641423836782,8.58251111616965,8.58251111616965,100
3,7.27107716724477,7.96321835998578,7.96321835998578,100
3,7.8365426883154,7.38861223603235,7.38861223603235,100
3,8.44598398466182,6.85546826754909,6.85546826754909,100
3,9.1028210151304,6.36079464803665,6.36079464803665,100
3,9.81073970587425,5.9018154523464,5.9018154523464,100
3,10.5737126344056,5.47595505921668,5.47595505921668,100
3,11.3960213222298,5.08082369784016,5.08082369784016,100
3,12.2822802611579,4.71420403735506,4.71420403735506,100
3,13.2374628081261,4.37403874400562,4.37403874400562,100
3,14.2669290938328,4.05841893614696,4.05841893614696,100
3,15.3764561018069,3.76557347230829,3.76557347230829,100
3,16.5722700866999,3.49385901220289,3.49385901220289,100
3,17.8610815137213,3.24175079491105,3.24175079491105,100
3,19.2501227152835,3.00783408248648,3.00783408248648,100
3,20.7471884761735,2.79079622097094,2.79079622097094,100
3,22.3606797749979,2.58941927426633,2.58941927426633,100
3,24.0996509273635,2.40257318952841,2.40257318952841,100
3,25.9738603953433,2.22920945572872,2.22920945572872,100
3,26.4,2.19322633314685,2.19322633314685,100
3,27.9938255483516,2.06835521979905,2.06835521979905,100
3,30.1708816827258,1.91910782734029,1.91910782734029,100
3,32.5172456312118,1.78062975726026,1.78062975726026,100
3,35.0460843193044,1.6521439219155,1.6521439219155,100
3,37.7715886531567,1.53292930638325,1.53292930638325,100
3,40.7090531536905,1.42231692239268,1.42231692239268,100
3,43.8749617837822,1.31968605421052,1.31968605421052,100
3,47.2870804501588,1.22446077541424,1.22446077541424,100
3,50.9645566990858,1.13610671700624,1.13610671700624,100
3,54.9280271653059,1.05412806873299,1.05412806873299,100
3,59.1997333771905,0.978064796781436,0.978064796781436,100
3,63.8036465679591,0.907490062239699,0.907490062239699,100
3,68.7656021933632,0.842007825835126,0.842007825835126,100
3,74.1134449106948,0.781250625508593,0.781250625508593,100
3,79.8771848326912,0.724877514353508,0.724877514353508,100
3,86.0891659331735,0.672572147348048,0.672572147348048,100
3,92.7842475494485,0.624041006144056,0.624041006144056,100
3,100,0.57901175195077,0.57901175195077,100
4,5,11.3496486367154,11.3496486367154,100
4,5.38884577076006,10.5306860870826,10.5306860870826,100
4,5.80793174820771,9.77081784769409,9.77081784769409,100
4,6.25960968763844,9.06577981941017,9.06577981941017,100
4,6.74641423836782,8.41161558992949,8.41161558992949,100
4,7.27107716724477,7.80465423186818,7.80465423186818,100
4,7.8365426883154,7.24148970287509,7.24148970287509,100
4,8.44598398466182,6.71896173218345,6.71896173218345,100
4,9.1028210151304,6.23413808634181,6.23413808634181,100
4,9.81073970587425,5.78429811460583,5.78429811460583,100
4,10.5737126344056,5.36691748165396,5.36691748165396,100
4,11.3960213222298,4.97965400195244,4.97965400195244,100
4,12.2822802611579,4.62033449627757,4.62033449627757,100
4,13.2374628081261,4.28694259663875,4.28694259663875,100
4,14.2669290938328,3.97760743116806,3.97760743116806,100
4,15.3764561018069,3.69059312548023,3.69059312548023,100
4,16.5722700866999,3.42428906158851,3.42428906158851,100
4,17.8610815137213,3.17720083971297,3.17720083971297,100
4,19.2501227152835,2.94794189226244,2.94794189226244,100
4,20.7471884761735,2.73522570293068,2.73522570293068,100
4,22.3606797749979,2.53785858724335,2.53785858724335,100
4,24.0996509273635,2.3547329940428,2.3547329940428,100
4,25.9738603953433,2.18482129032121,2.18482129032121,100
4,26.4,2.14955466604458,2.14955466604458,100
4,27.9938255483516,2.02716999452469,2.02716999452469,100
4,30.1708816827258,1.88089442596793,1.88089442596793,100
4,32.5172456312118,1.74517374033387,1.74517374033387,100
4,35.0460843193044,1.61924632339934,1.61924632339934,100
4,37.7715886531567,1.50240551713819,1.50240551713819,100
4,40.7090531536905,1.39399565421807,1.39399565421807,100
4,43.8749617837822,1.29340837863825,1.29340837863825,100
4,47.2870804501588,1.20007923186102,1.20007923186102,100
4,50.9645566990858,1.11348448527945,1.11348448527945,100
4,54.9280271653059,1.03313820124639,1.03313820124639,100
4,59.1997333771905,0.95858950617237,0.95858950617237,100
4,63.8036465679591,0.889420060390009,0.889420060390009,100
4,68.7656021933632,0.825241710586721,0.825241710586721,100
4,74.1134449106948,0.765694311632087,0.765694311632087,100
4,79.8771848326912,0.710443705576761,0.710443705576761,100
4,86.0891659331735,0.659179846481817,0.659179846481817,100
4,92.7842475494485,0.611615060555764,0.611615060555764,100
4,100,0.56748243183577,0.56748243183577,100
