HalfAngle_deg,FOV_deg,K,Pattern,Budget,Area_mm2,TotalSamples,RMS_full_cm,Worst_cm,TargetCoverage_percent,RequiredArea_mm2
60,70,49,uniform_cone,per_orientation,125,49000,1.05578975087539,2.73671711324562,96.6187658495351,114.942252696843
60,70,81,uniform_cone,per_orientation,100,81000,1.02646225779552,2.66069719343324,96.6187658495351,89.3995298753222
60,70,121,uniform_cone,per_orientation,75.4,121000,1.11383654692063,2.88718046068231,95.6043956043956,73.1450698979909
