Orientation,Tilt_deg,Azimuth_deg,Samples,nx,ny,nz
1,3.00000000000004,0,1000,0.0523359562429446,0,0.998629534754574
2,3.00000000000004,7.3469387755102,1000,0.0519062787656428,0.00669257353839226,0.998629534754574
3,3.00000000000004,14.6938775510204,1000,0.0506243016260357,0.0132752552043103,0.998629534754574
4,3.00000000000004,22.0408163265306,1000,0.0485110748533135,0.0196399575467878,0.998629534754574
5,3.00000000000004,29.3877551020408,1000,0.0456012975726609,0.025682172329323,0.998629534754574
6,3.00000000000004,36.734693877551,1000,0.0419427482465811,0.0313026865522327,0.998629534754574
7,3.00000000000004,44.0816326530612,1000,0.0375955001538624,0.0364092115273642,0.998629534754574
8,3.00000000000004,51.4285714285714,1000,0.0326309349880009,0.0409178982558033,0.998629534754574
9,3.00000000000004,58.7755102040816,1000,0.0271305707717673,0.0447547142261185,0.998629534754574
10,3.00000000000004,66.1224489795919,1000,0.0211847233335264,0.0478566590261518,0.998629534754574
11,3.00000000000004,73.4693877551021,1000,0.0148910233238323,0.0501727988080443,0.998629534754574
12,3.00000000000004,80.8163265306122,1000,0.00835281312284549,0.0516651026206107,0.998629534754574
13,3.00000000000004,88.1632653061225,1000,0.00167744996130748,0.0523090668765055,0.998629534754574
14,3.00000000000004,95.5102040816327,1000,-0.00502545688221957,0.0520941177004502,0.998629534754574
15,3.00000000000004,102.857142857143,1000,-0.0116458458626768,0.0510237845519733,0.998629534754574
16,3.00000000000004,110.204081632653,1000,-0.0180750103760357,0.0491156422717815,0.998629534754574
17,3.00000000000004,117.551020408163,1000,-0.0242073837187308,0.0464010225033624,0.998629534754574
18,3.00000000000004,124.897959183673,1000,-0.0299422724900135,0.0429244992282635,0.998629534754574
19,3.00000000000004,132.244897959184,1000,-0.035185509974809,0.0387431568625484,0.998629534754574
20,3.00000000000004,139.591836734694,1000,-0.039851002358574,0.0339256529322626,0.998629534754574
21,3.00000000000004,146.938775510204,1000,-0.0438621423853518,0.0285510907187543,0.998629534754574
22,3.00000000000004,154.285714285714,1000,-0.0471530672467963,0.0227077203849817,0.998629534754574
23,3.00000000000004,161.632653061224,1000,-0.0496697400476655,0.0164914899102765,0.998629534754574
24,3.00000000000004,168.979591836735,1000,-0.051370837090146,0.0100044696271763,0.998629534754574
25,3.00000000000004,176.326530612245,1000,-0.0522284264078298,0.00335317622938642,0.998629534754574
26,3.00000000000004,183.673469387755,1000,-0.0522284264078298,-0.00335317622938642,0.998629534754574
27,3.00000000000004,191.020408163265,1000,-0.051370837090146,-0.0100044696271763,0.998629534754574
28,3.00000000000004,198.367346938776,1000,-0.0496697400476655,-0.0164914899102765,0.998629534754574
29,3.00000000000004,205.714285714286,1000,-0.0471530672467963,-0.0227077203849817,0.998629534754574
30,3.00000000000004,213.061224489796,1000,-0.0438621423853518,-0.0285510907187543,0.998629534754574
31,3.00000000000004,220.408163265306,1000,-0.039851002358574,-0.0339256529322626,0.998629534754574
32,3.00000000000004,227.755102040816,1000,-0.035185509974809,-0.0387431568625484,0.998629534754574
33,3.00000000000004,235.102040816327,1000,-0.0299422724900135,-0.0429244992282635,0.998629534754574
34,3.00000000000004,242.448979591837,1000,-0.0242073837187308,-0.0464010225033624,0.998629534754574
35,3.00000000000004,249.795918367347,1000,-0.0180750103760357,-0.0491156422717815,0.998629534754574
36,3.00000000000004,257.142857142857,1000,-0.0116458458626768,-0.0510237845519733,0.998629534754574
37,3.00000000000004,264.489795918367,1000,-0.00502545688221957,-0.0520941177004502,0.998629534754574
38,3.00000000000004,271.836734693878,1000,0.00167744996130747,-0.0523090668765055,0.998629534754574
39,3.00000000000004,279.183673469388,1000,0.0083528131228455,-0.0516651026206107,0.998629534754574
40,3.00000000000004,286.530612244898,1000,0.0148910233238323,-0.0501727988080443,0.998629534754574
41,3.00000000000004,293.877551020408,1000,0.0211847233335265,-0.0478566590261517,0.998629534754574
42,3.00000000000004,301.224489795918,1000,0.0271305707717673,-0.0447547142261185,0.998629534754574
43,3.00000000000004,308.571428571429,1000,0.0326309349880009,-0.0409178982558033,0.998629534754574
44,3.00000000000004,315.918367346939,1000,0.0375955001538624,-0.0364092115273641,0.998629534754574
45,3.00000000000004,323.265306122449,1000,0.0419427482465811,-0.0313026865522327,0.998629534754574
46,3.00000000000004,330.612244897959,1000,0.0456012975726609,-0.025682172329323,0.998629534754574
47,3.00000000000004,337.959183673469,1000,0.0485110748533135,-0.0196399575467878,0.998629534754574
48,3.00000000000004,345.30612244898,1000,0.0506243016260357,-0.0132752552043103,0.998629534754574
49,3.00000000000004,352.65306122449,1000,0.0519062787656428,-0.00669257353839224,0.998629534754574
