x,y,z,inclinacion,azimuth,mode,medida_daq
0.65,-0.1,0.75,20,0,r_vertical,-3.41089
0.65,-0.1,0.75,20,0,r_vertical,-3.3895
0.65,-0.1,0.75,20,0,r_vertical,-3.39674
0.65,-0.1,0.75,20,0,r_vertical,-3.41418
0.65,-0.1,0.75,20,0,r_vertical,-3.40628
0.65,-0.1,0.75,20,0,r_vertical,-3.38556
0.65,-0.1,0.75,20,0,r_vertical,-3.44939
0.65,-0.1,0.75,20,0,r_vertical,-3.41056
0.65,-0.1,0.75,20,0,r_vertical,-3.40563
0.65,-0.1,0.75,20,0,r_vertical,-3.39707
0.65,-0.1,0.75,20,0,r_vertical,-3.4076
0.65,-0.1,0.75,20,0,r_vertical,-3.41023
0.65,-0.1,0.75,20,0,r_vertical,-3.40365
0.65,-0.1,0.75,20,0,r_vertical,-3.39115
0.65,-0.1,0.75,20,0,r_vertical,-3.41319
0.65,-0.1,0.75,20,0,r_vertical,-3.39806
0.65,-0.1,0.75,20,0,r_vertical,-3.41155
0.65,-0.1,0.75,20,0,r_vertical,-3.40957
0.65,-0.1,0.75,20,0,r_vertical,-3.39872
0.65,-0.1,0.75,20,0,r_vertical,-3.41451
0.65,-0.1,0.75,20,0,r_vertical,-3.40036
0.65,-0.1,0.75,20,0,r_vertical,-3.40859
0.65,-0.1,0.75,20,0,r_vertical,-3.42997
0.65,-0.1,0.75,20,0,r_vertical,-3.40727
0.65,-0.1,0.75,20,0,r_vertical,-3.39411
0.65,-0.1,0.75,20,0,r_vertical,-3.40266
0.65,-0.1,0.75,20,0,r_vertical,-3.40595
0.65,-0.1,0.75,20,0,r_vertical,-3.3793
0.65,-0.1,0.75,20,0,r_vertical,-3.40299
0.65,-0.1,0.75,20,0,r_vertical,-3.41352
0.65,-0.1,0.75,20,0,r_vertical,-3.41254
0.65,-0.1,0.75,20,0,r_vertical,-3.40661
0.65,-0.1,0.75,20,0,r_vertical,-3.40628
0.65,-0.1,0.75,20,0,r_vertical,-3.41484
0.65,-0.1,0.75,20,0,r_vertical,-3.41221
0.65,-0.1,0.75,20,0,r_vertical,-3.40563
0.65,-0.1,0.75,20,0,r_vertical,-3.40332
0.65,-0.1,0.75,20,0,r_vertical,-3.41056
0.65,-0.1,0.75,20,0,r_vertical,-3.40102
0.65,-0.1,0.75,20,0,r_vertical,-3.40957
0.65,-0.1,0.75,20,0,r_vertical,-3.41221
0.65,-0.1,0.75,20,0,r_vertical,-3.41977
0.65,-0.1,0.75,20,0,r_vertical,-3.40234
0.65,-0.1,0.75,20,0,r_vertical,-3.39543
0.65,-0.1,0.75,20,0,r_vertical,-3.39543
0.65,-0.1,0.75,20,0,r_vertical,-3.41714
0.65,-0.1,0.75,20,0,r_vertical,-3.43063
0.65,-0.1,0.75,20,0,r_vertical,-3.44149
0.65,-0.1,0.75,20,0,r_vertical,-3.3997
0.65,-0.1,0.75,20,0,r_vertical,-3.41451
0.65,-0.1,0.75,20,0,r_vertical,-3.39444
0.65,-0.1,0.75,20,0,r_vertical,-3.40793
0.65,-0.1,0.75,20,0,r_vertical,-3.40135
0.65,-0.1,0.75,20,0,r_vertical,-3.41023
0.65,-0.1,0.75,20,0,r_vertical,-3.40925
0.65,-0.1,0.75,20,0,r_vertical,-3.3997
0.65,-0.1,0.75,20,0,r_vertical,-3.41056
0.65,-0.1,0.75,20,0,r_vertical,-3.40925
0.65,-0.1,0.75,20,0,r_vertical,-3.40595
0.65,-0.1,0.75,20,0,r_vertical,-3.3974
0.65,-0.1,0.75,20,0,r_vertical,-3.41188
0.65,-0.1,0.75,20,0,r_vertical,-3.41352
0.65,-0.1,0.75,20,0,r_vertical,-3.41319
0.65,-0.1,0.75,20,0,r_vertical,-3.4099
0.65,-0.1,0.75,20,0,r_vertical,-3.41221
0.65,-0.1,0.75,20,0,r_vertical,-3.41451
0.65,-0.1,0.75,20,0,r_vertical,-3.38556
0.65,-0.1,0.75,20,0,r_vertical,-3.41648
0.65,-0.1,0.75,20,0,r_vertical,-3.40925
0.65,-0.1,0.75,20,0,r_vertical,-3.39543
0.65,-0.1,0.75,20,0,r_vertical,-3.41023
0.65,-0.1,0.75,20,0,r_vertical,-3.41122
0.65,-0.1,0.75,20,0,r_vertical,-3.40069
0.65,-0.1,0.75,20,0,r_vertical,-3.41385
0.65,-0.1,0.75,20,0,r_vertical,-3.40563
0.65,-0.1,0.75,20,0,r_vertical,-3.40069
0.65,-0.1,0.75,20,0,r_vertical,-3.40201
0.65,-0.1,0.75,20,0,r_vertical,-3.4053
0.65,-0.1,0.75,20,0,r_vertical,-3.41155
0.65,-0.1,0.75,20,0,r_vertical,-3.39773
0.65,-0.1,0.75,20,0,r_vertical,-3.40628
0.65,-0.1,0.75,20,0,r_vertical,-3.39444
0.65,-0.1,0.75,20,0,r_vertical,-3.42306
0.65,-0.1,0.75,20,0,r_vertical,-3.40168
0.65,-0.1,0.75,20,0,r_vertical,-3.41517
0.65,-0.1,0.75,20,0,r_vertical,-3.38161
0.65,-0.1,0.75,20,0,r_vertical,-3.41122
0.65,-0.1,0.75,20,0,r_vertical,-3.38161
0.65,-0.1,0.75,20,0,r_vertical,-3.40398
0.65,-0.1,0.75,20,0,r_vertical,-3.41056
0.65,-0.1,0.75,20,0,r_vertical,-3.39806
0.65,-0.1,0.75,20,0,r_vertical,-3.41056
0.65,-0.1,0.75,20,0,r_vertical,-3.40234
0.65,-0.1,0.75,20,0,r_vertical,-3.39773
0.65,-0.1,0.75,20,0,r_vertical,-3.40168
0.65,-0.1,0.75,20,0,r_vertical,-3.41056
0.65,-0.1,0.75,20,0,r_vertical,-3.40266
0.65,-0.1,0.75,20,0,r_vertical,-3.4099
0.65,-0.1,0.75,20,0,r_vertical,-3.41188
