label,x,y,z,d_true,ang_GLS_deg,pos_GLS_m,d_GLS_m,ang_WLS_deg,pos_WLS_m,d_WLS_m,ang_NLS_deg,pos_NLS_m,d_NLS_m
P1.t1,-0.2,-1.2,1.1,1.51327459504216,2.92112468760091,0.078812777859939,1.52756353923683,2.84459658905649,0.0768812697549551,1.52786554659906,2.74135710677653,0.072554266439769,1.51662472653114
P1.t2,-0.2,-1.2,1.1,1.51327459504216,2.74875379683897,0.0776850337475645,1.5392532144633,2.68976937820818,0.0764963227911192,1.54004229892757,2.67670945635142,0.0719841816229563,1.5253128784384
P1.t3,-0.2,-1.2,1.1,1.51327459504216,2.39972457616138,0.0641821263149192,1.52217443890008,2.32009654174875,0.0622584974255765,1.52313536897261,2.3814387108862,0.063000044131143,1.50807316020346
P2.t1,-0.4,-1.2,1.1,1.552417469626,4.72486673359632,0.19721944234075,1.69728747928532,4.72451376119554,0.196032720996587,1.69573424749703,4.15620979542494,0.171055263146932,1.67717874009488
P2.t2,-0.4,-1.2,1.1,1.552417469626,4.8043186591043,0.320561308430006,1.83997246078124,4.78834017377675,0.320819765479158,1.84048227047843,4.50493470544645,0.284100708308427,1.80422453504903
P2.t3,-0.4,-1.2,1.1,1.552417469626,4.15528372135895,0.163159924138796,1.66652142371863,4.14732230440853,0.162235656640173,1.66546436870497,3.66253644885564,0.137066677388261,1.6438668951265
P3.t1,0,-1,1.1,1.34536240470737,1.51055810395778,0.0426140688473972,1.36852050339974,1.50677739668073,0.0438292700784802,1.37077197103862,1.65446070313101,0.0433469003830535,1.36404149184492
P3.t2,0,-1,1.1,1.34536240470737,1.06364115138018,0.0314621636910472,1.32599500218695,1.06342765372024,0.030389874820388,1.32780735213088,1.37452592016629,0.0401346125750884,1.32111537149848
P3.t3,0,-1,1.1,1.34536240470737,1.27291293627507,0.0317891891753484,1.33419846322456,1.26861305655488,0.0310413365336585,1.33629385875991,1.47891821187715,0.038031133817306,1.32939953879228
P4.t1,0.2,-0.8,1.1,1.22065556157337,0.851545203265789,0.100259084123453,1.31912494196311,0.836079998881234,0.100118249862976,1.3190467216668,1.36917149952925,0.0939058780776084,1.30956857165996
P4.t2,0.2,-0.8,1.1,1.22065556157337,0.806535896211197,0.0327232972424041,1.24838394629464,0.7800487011366,0.0323032794557614,1.24824341011281,1.08019064589437,0.0305246135674199,1.24049411832957
P4.t3,0.2,-0.8,1.1,1.22065556157337,0.55578241227795,0.015570891790234,1.23071031591619,0.517841952757711,0.0145780445144463,1.23013514070514,0.937604011072885,0.0203011817421786,1.22412078188344
