
==================================
Iniciando optimización para 10 orientaciones
==================================


Single objective optimization:
20 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300          0.8057           1.116        0
    2              450          0.7247           1.045        0
    3              600          0.7155           1.019        0
    4              750          0.7029          0.9737        0
    5              900          0.6928          0.9083        0
    6             1050          0.6862          0.8695        0
    7             1200          0.6776          0.8357        0
    8             1350          0.6445          0.7963        0
    9             1500          0.6311          0.7633        0
   10             1650          0.6273          0.7466        0
   11             1800          0.6121          0.7267        0
   12             1950           0.606          0.6935        0
   13             2100          0.5951          0.6749        0
   14             2250          0.5927          0.6561        0
   15             2400          0.5886            0.64        0
   16             2550          0.5735          0.6307        0
   17             2700          0.5734          0.6187        0
   18             2850          0.5682          0.6087        0
   19             3000          0.5615             0.6        0
   20             3150          0.5634          0.5942        1
   21             3300          0.5609          0.5875        0
   22             3450          0.5576          0.5833        0
   23             3600          0.5552            0.58        0
   24             3750          0.5603          0.5779        1
   25             3900          0.5588          0.5752        0
   26             4050          0.5548          0.5752        0
   27             4200          0.5498          0.5736        0
   28             4350          0.5558          0.5714        1
   29             4500          0.5543          0.5706        0
   30             4650          0.5523          0.5715        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.5521          0.5701        0
   32             4950          0.5527          0.5699        1
   33             5100          0.5533          0.5683        2
   34             5250          0.5476          0.5671        0
   35             5400          0.5484          0.5665        1
   36             5550          0.5514          0.5678        2
   37             5700          0.5508          0.5662        0
   38             5850          0.5497          0.5651        0
   39             6000          0.5487          0.5641        0
   40             6150          0.5486          0.5649        0
   41             6300          0.5452          0.5637        0
   42             6450          0.5454           0.564        1
   43             6600          0.5477          0.5631        2
   44             6750           0.546          0.5617        0
   45             6900          0.5447          0.5614        0
   46             7050          0.5417          0.5618        0
   47             7200          0.5458          0.5619        1
   48             7350          0.5436          0.5616        0
   49             7500          0.5499          0.5614        1
   50             7650          0.5482          0.5616        0
   51             7800          0.5486          0.5617        1
   52             7950          0.5445          0.5608        0
   53             8100          0.5453          0.5602        1
   54             8250          0.5478           0.561        2
   55             8400          0.5426          0.5598        0
   56             8550          0.5462          0.5597        1
   57             8700          0.5481          0.5596        2
   58             8850          0.5457          0.5594        0
   59             9000          0.5468          0.5599        1
   60             9150          0.5477          0.5594        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.5448          0.5587        0
   62             9450          0.5474          0.5578        1
   63             9600          0.5452          0.5578        0
   64             9750          0.5454           0.558        1
   65             9900          0.5434          0.5572        0
   66            10050          0.5452          0.5588        1
   67            10200          0.5474          0.5581        2
   68            10350          0.5441           0.557        0
   69            10500          0.5452          0.5572        1
   70            10650          0.5462          0.5576        2
   71            10800          0.5451          0.5567        0
   72            10950          0.5438          0.5565        0
   73            11100          0.5444          0.5575        1
   74            11250           0.544          0.5573        0
   75            11400          0.5437          0.5572        0
   76            11550          0.5426           0.557        0
   77            11700          0.5423          0.5573        0
   78            11850           0.545          0.5567        1
   79            12000          0.5461          0.5579        2
   80            12150          0.5423          0.5575        0
   81            12300           0.543          0.5577        1
   82            12450          0.5436          0.5568        2
   83            12600          0.5447          0.5576        3
   84            12750          0.5432          0.5555        0
   85            12900          0.5425          0.5561        0
   86            13050          0.5456          0.5561        1
   87            13200          0.5417          0.5572        0
   88            13350          0.5447          0.5567        1
   89            13500          0.5431          0.5562        0
   90            13650          0.5414          0.5559        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.5421          0.5555        1
   92            13950          0.5421          0.5564        2
   93            14100          0.5424          0.5553        3
   94            14250          0.5448          0.5557        4
   95            14400          0.5405          0.5557        0
   96            14550          0.5444          0.5556        1
   97            14700          0.5429          0.5557        0
   98            14850          0.5456          0.5555        1
   99            15000          0.5409          0.5557        0
  100            15150           0.542          0.5548        1
  101            15300           0.542          0.5544        2
  102            15450           0.542          0.5547        0
  103            15600          0.5405          0.5557        0
  104            15750          0.5407          0.5546        1
  105            15900          0.5413          0.5542        2
  106            16050          0.5403          0.5549        0
  107            16200           0.541          0.5539        1
  108            16350          0.5411          0.5548        2
  109            16500          0.5439          0.5536        3
  110            16650          0.5421          0.5546        0
  111            16800          0.5421          0.5552        1
  112            16950          0.5418          0.5539        0
  113            17100          0.5383          0.5539        0
  114            17250           0.545          0.5547        1
  115            17400          0.5396          0.5535        0
  116            17550          0.5432          0.5542        1
  117            17700          0.5433          0.5551        2
  118            17850          0.5444          0.5549        3
  119            18000          0.5403          0.5548        0
  120            18150          0.5395          0.5542        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.5428          0.5541        1
  122            18450          0.5447          0.5539        2
  123            18600          0.5395          0.5539        0
  124            18750          0.5416          0.5537        1
  125            18900          0.5427          0.5539        2
  126            19050          0.5431          0.5538        3
  127            19200          0.5435           0.554        4
  128            19350          0.5417          0.5533        0
  129            19500           0.543          0.5538        1
  130            19650          0.5421           0.554        0
