Case,Height_m,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
1,0,5.86439136774401,5.86439136774401,100,0
1,0.6,3.18733191755465,3.18733191755465,100,0
1,1.2,2.15389213164524,2.15389213164524,100,0
