Case,K,Budget,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,1,per_orientation,Inf,NaN,0
1,2,per_orientation,Inf,NaN,0
1,3,per_orientation,Inf,2.23904176581341,85.5371900826446
1,4,per_orientation,Inf,1.92751656016185,91.7355371900827
1,5,per_orientation,Inf,1.88045165832636,96.797520661157
1,6,per_orientation,Inf,1.89293559946264,98.3471074380165
1,7,per_orientation,Inf,1.87451809583809,99.3801652892562
1,8,per_orientation,2.10076637848413,2.10076637848413,100
1,9,per_orientation,Inf,1.90830026960171,99.7933884297521
1,10,per_orientation,2.16143055100899,2.16143055100899,100
1,11,per_orientation,2.15887943139108,2.15887943139108,100
1,12,per_orientation,1.6874315709055,1.6874315709055,100
1,13,per_orientation,2.14097555532007,2.14097555532007,100
1,14,per_orientation,1.63777381739264,1.63777381739264,100
1,15,per_orientation,1.72785649414226,1.72785649414226,100
1,16,per_orientation,1.40588584446824,1.40588584446824,100
1,17,per_orientation,1.68414865831287,1.68414865831287,100
1,18,per_orientation,1.4590285152092,1.4590285152092,100
1,19,per_orientation,1.50003863501967,1.50003863501967,100
1,20,per_orientation,1.30379262591147,1.30379262591147,100
1,21,per_orientation,1.46747388507349,1.46747388507349,100
1,22,per_orientation,1.32824957355575,1.32824957355575,100
1,23,per_orientation,1.26632733546043,1.26632733546043,100
1,24,per_orientation,1.21735698132852,1.21735698132852,100
1,25,per_orientation,1.19994135130922,1.19994135130922,100
1,26,per_orientation,1.22179717596578,1.22179717596578,100
1,27,per_orientation,1.17165789535883,1.17165789535883,100
1,28,per_orientation,1.09092503320891,1.09092503320891,100
1,29,per_orientation,1.12675952623528,1.12675952623528,100
1,30,per_orientation,1.13766617894169,1.13766617894169,100
