sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260721_175013_1,2026-07-22,11:30:15,Y,-90.000000,90.000000,270.000000,1.000000,0.511362,0.511429,0.002177,1000,1000
20260721_175013_2,2026-07-22,11:30:18,Y,-89.000000,89.000000,270.000000,1.000000,0.509121,0.509126,0.002429,1000,1000
20260721_175013_3,2026-07-22,11:30:21,Y,-88.000000,88.000000,270.000000,1.000000,0.371465,0.371264,0.001990,1000,1000
20260721_175013_4,2026-07-22,11:30:25,Y,-87.000000,87.000000,270.000000,1.000000,0.287262,0.287362,0.002084,1000,1000
20260721_175013_5,2026-07-22,11:30:28,Y,-86.000000,86.000000,270.000000,1.000000,0.278627,0.278478,0.002009,1000,1000
20260721_175013_6,2026-07-22,11:30:31,Y,-85.000000,85.000000,270.000000,1.000000,0.269211,0.269265,0.001960,1000,1000
20260721_175013_7,2026-07-22,11:30:35,Y,-84.000000,84.000000,270.000000,1.000000,0.260761,0.260710,0.001866,1000,1000
20260721_175013_8,2026-07-22,11:30:38,Y,-83.000000,83.000000,270.000000,1.000000,0.252808,0.252814,0.002041,1000,1000
20260721_175013_9,2026-07-22,11:30:41,Y,-82.000000,82.000000,270.000000,1.000000,0.245368,0.245246,0.002080,1000,1000
20260721_175013_10,2026-07-22,11:30:44,Y,-81.000000,81.000000,270.000000,1.000000,0.237845,0.237678,0.002004,1000,1000
20260721_175013_11,2026-07-22,11:30:48,Y,-80.000000,80.000000,270.000000,1.000000,0.230386,0.230440,0.001963,1000,1000
20260721_175013_12,2026-07-22,11:30:51,Y,-79.000000,79.000000,270.000000,1.000000,0.223201,0.223201,0.002184,1000,1000
20260721_175013_13,2026-07-22,11:30:54,Y,-78.000000,78.000000,270.000000,1.000000,0.216145,0.216292,0.002096,1000,1000
20260721_175013_14,2026-07-22,11:30:58,Y,-77.000000,77.000000,270.000000,1.000000,0.209271,0.209382,0.002119,1000,1000
20260721_175013_15,2026-07-22,11:31:01,Y,-76.000000,76.000000,270.000000,1.000000,0.202551,0.202473,0.002283,1000,1000
