case_name,perturbation,count,median_m,p95_m,max_m,rmse_m,rmse_x_m,rmse_y_m,rmse_z_m,fraction_error_1cm,fraction_error_10cm,failure_10cm_wilson95_low,failure_10cm_wilson95_high
tile_baseline_core_3d,matched,100,0.00355011405830179,0.0106629548769876,0.012986298500239,0.0053008984793815,0.000503643117031982,0.000655764166471695,0.00523601390920107,0.91,1,0,0.0369934982069837
tile_baseline_core_3d,global_gain_plus2pct,100,0.0242519933684506,0.0352160636608083,0.0400859260792529,0.0255685523415954,0.00214788910147127,0.0020916265320226,0.0253921747730127,0.01,1,0,0.0369934982069837
tile_baseline_core_3d,vcsel_calibration_1pct,100,0.00642362617283495,0.016843804043539,0.0411235797041824,0.00991186758111689,0.000778128708916598,0.00116067269123528,0.00981287284956737,0.7,1,0,0.0369934982069837
tile_baseline_core_3d,residual_background_0p1nW,100,0.0104907537994247,0.0331101618451474,0.0481478695466555,0.0160211657607014,0.00160676030980749,0.00185141482958632,0.0158325088589107,0.47,1,0,0.0369934982069837
tile_baseline_core_3d,pd_tilt_3deg,100,0.00537314166293269,0.0157278119107147,0.0207702337274197,0.00831799968608933,0.000847454787891389,0.000909892612844685,0.00822453856415986,0.75,1,0,0.0369934982069837
tile_baseline_core_3d,curvature_error_0.1pct,100,0.00878544496491433,0.0180979250324021,0.0210042004605286,0.0101066043004441,0.000770330040713831,0.000783497765135516,0.0100466996255565,0.64,1,0,0.0369934982069837
tile_baseline_core_3d,curvature_error_1pct,100,0.0778714168603273,0.120844186614711,0.134229500463312,0.0825619427255976,0.00547129563716399,0.00540662383804009,0.0822028450198018,0.01,0.81,0.125147515097689,0.277788453790641
tile_baseline_core_3d,edge_thickness_plus0p1mm,100,0.010191716896318,0.0223127892757195,0.0258911514333333,0.0122846404027935,0.00115786013772298,0.00134599683369546,0.0121556588571373,0.49,1,0,0.0369934982069837
tile_convex_core_3d,matched,100,0.00338874991610946,0.0153746437671253,0.0423366506489112,0.00818804260057276,0.00121855497903631,0.000975704711529993,0.00803785827865597,0.91,1,0,0.0369934982069837
tile_convex_core_3d,global_gain_plus2pct,100,0.0239220693914069,0.0338544024362129,0.0621914998239779,0.0253267704729275,0.00287056406094188,0.00294997571022249,0.0249900541790025,0.04,1,0,0.0369934982069837
tile_convex_core_3d,vcsel_calibration_1pct,100,0.00676613091244354,0.0244828652874329,0.0495096107733819,0.0123440852503836,0.00150207344620245,0.0015727258152385,0.0121509978825211,0.65,1,0,0.0369934982069837
tile_convex_core_3d,residual_background_0p1nW,100,0.00716602154531959,0.020816175465496,0.0618397114996346,0.0134221795215565,0.00204959165662058,0.00166382532198866,0.0131600061720317,0.67,1,0,0.0369934982069837
tile_convex_core_3d,pd_tilt_3deg,100,0.00745933364089552,0.0176430334966602,0.0502517844545482,0.0115454539174076,0.0015824663473682,0.00135493579957585,0.0113559436154578,0.73,1,0,0.0369934982069837
tile_convex_core_3d,curvature_error_0.1pct,100,0.00721279227767741,0.018995989464309,0.0451331981132786,0.010989460183673,0.00130902573368929,0.00115175281170739,0.0108502604677398,0.65,1,0,0.0369934982069837
tile_convex_core_3d,curvature_error_1pct,100,0.0764982791491614,0.124256614820756,0.168625285537459,0.081317141520983,0.00644568609920414,0.00660350948138405,0.0807918578718387,0.05,0.76,0.166913255569489,0.332323363498142
tile_convex_core_3d,edge_thickness_plus0p1mm,100,0.0104753884322651,0.026865204093247,0.0427501758362348,0.0144766279612182,0.00181538667968489,0.00164281051272211,0.0142680868356636,0.47,1,0,0.0369934982069837
tile_diverging_ninth_3d,matched,100,0.00311587808090478,0.00951563000002316,0.0157722678679504,0.00503529331664284,0.000901753487795515,0.000893360402799852,0.004872671405152,0.95,1,0,0.0369934982069837
tile_diverging_ninth_3d,global_gain_plus2pct,100,0.0245455792279292,0.0356489209100792,0.0416893840914618,0.0257687390638705,0.0040704291032104,0.00402232001964864,0.0251252952523372,0.01,1,0,0.0369934982069837
tile_diverging_ninth_3d,vcsel_calibration_1pct,100,0.00721435895467645,0.0199175082428378,0.0268807212377182,0.00985334865229604,0.00131312201317405,0.00181075010782588,0.00959611245709587,0.7,1,0,0.0369934982069837
tile_diverging_ninth_3d,residual_background_0p1nW,100,0.00831413128972242,0.0269540372426075,0.0517317257287361,0.0129431644643182,0.00263516569832112,0.00243988161424171,0.0124349662565391,0.61,1,0,0.0369934982069837
tile_diverging_ninth_3d,pd_tilt_3deg,100,0.00868327185064257,0.0212989784973654,0.0281676278903477,0.0114909899462861,0.0019215517064528,0.00171164597511907,0.0111991409063792,0.58,1,0,0.0369934982069837
tile_diverging_ninth_3d,curvature_error_0.1pct,100,0.00446729241576764,0.0168616758987148,0.0273176511308439,0.00787648905872244,0.0012099714626638,0.00112837681044561,0.00770076715174288,0.8,1,0,0.0369934982069837
tile_diverging_ninth_3d,curvature_error_1pct,100,0.0498866718275932,0.103889353260832,0.138458261954279,0.0610336599563491,0.00603754253981202,0.00612284573434472,0.0604248830190065,0.01,0.93,0.0343192610672733,0.137495147390733
tile_diverging_ninth_3d,edge_thickness_plus0p1mm,100,0.00373198222979487,0.0143087628640419,0.0246285864395401,0.00680123014705025,0.00136308419526525,0.00129025601837497,0.00653712263896055,0.88,1,0,0.0369934982069837
grid_diverging_full_3d,matched,100,0.00305987909808876,0.015848622388955,0.0364846199301647,0.00800000787806401,0.00371263832575945,0.00350409375426507,0.00615936438867753,0.86,1,0,0.0369934982069837
