variant,region,pitch_mm,radii_mm,K,peb_median_m,peb_p95_m,peb_max_m,fraction_peb_1cm,fraction_peb_10cm,fraction_full_rank,minimum_visible_5sigma
pitch1.5,tile_core,1.5,"11,13",2,0.00481625021787463,1.17611210241696,6296.27243224046,0.640138408304498,0.814532871972318,1,1
pitch1.5,tile_ninth,1.5,"11,13",2,1.27299930631156,Inf,Inf,0.332871972318339,0.404844290657439,0.847750865051903,0
pitch1.5,tile_prism,1.5,"11,13",2,424377.196502309,Inf,Inf,0.233217993079585,0.294117647058824,0.62076124567474,0
pitch1.5,tile_core,1.5,"11,15",2,0.00480001509001111,1.57800235663245,6300.01974605105,0.648442906574395,0.770242214532872,1,1
pitch1.5,tile_ninth,1.5,"11,15",2,3.88243800920512,Inf,Inf,0.324567474048443,0.404844290657439,0.847750865051903,0
pitch1.5,tile_prism,1.5,"11,15",2,3722492.53147784,Inf,Inf,0.233217993079585,0.285813148788927,0.601384083044983,0
pitch1.5,tile_core,1.5,"11,17",2,0.00601841728291554,7.75590461947238,7146.37828893345,0.590311418685121,0.75363321799308,1,1
pitch1.5,tile_ninth,1.5,"11,17",2,23.1020949812968,Inf,Inf,0.296885813148789,0.404844290657439,0.792387543252595,0
pitch1.5,tile_prism,1.5,"11,17",2,132013707.908322,Inf,Inf,0.213840830449827,0.2719723183391,0.562629757785467,0
pitch1.5,tile_core,1.5,"11,20",2,0.0100314856934669,255.839046287332,Inf,0.496193771626298,0.676124567474048,0.994463667820069,1
pitch1.5,tile_ninth,1.5,"11,20",2,187.474092758929,Inf,Inf,0.238754325259516,0.391003460207612,0.775778546712803,0
pitch1.5,tile_prism,1.5,"11,20",2,4565865109.67112,Inf,Inf,0.191695501730104,0.249826989619377,0.546020761245675,0
pitch1.5,tile_core,1.5,"11,25",2,0.0408355604845906,14542.1050618609,Inf,0.371626297577855,0.551557093425606,0.988927335640138,1
pitch1.5,tile_ninth,1.5,"11,25",2,2473.14261672269,Inf,Inf,0.191695501730104,0.263667820069204,0.681660899653979,0
pitch1.5,tile_prism,1.5,"11,25",2,Inf,Inf,Inf,0.13356401384083,0.222145328719723,0.485121107266436,0
pitch1.5,tile_core,1.5,"12,13",2,0.00656480070578671,8.60267418252988,36076.8856818465,0.576470588235294,0.737024221453287,1,1
pitch1.5,tile_ninth,1.5,"12,13",2,4.94497662406743,Inf,Inf,0.280276816608997,0.404844290657439,0.86159169550173,0
pitch1.5,tile_prism,1.5,"12,13",2,2198217.71917436,Inf,Inf,0.202768166089965,0.280276816608997,0.61522491349481,0
pitch1.5,tile_core,1.5,"12,15",2,0.00563285393302489,9.00012725186357,36720.2606199061,0.58477508650519,0.737024221453287,1,1
pitch1.5,tile_ninth,1.5,"12,15",2,8.78403777206282,Inf,Inf,0.285813148788927,0.404844290657439,0.858823529411765,0
pitch1.5,tile_prism,1.5,"12,15",2,10902031.5489674,Inf,Inf,0.219377162629758,0.277508650519031,0.606920415224913,0
pitch1.5,tile_core,1.5,"12,17",2,0.00566003944566104,19.1746265112975,37713.1481827569,0.58477508650519,0.737024221453287,1,1
pitch1.5,tile_ninth,1.5,"12,17",2,42.4822172771844,Inf,Inf,0.280276816608997,0.404844290657439,0.858823529411765,0
pitch1.5,tile_prism,1.5,"12,17",2,17755200.7000218,Inf,Inf,0.213840830449827,0.258131487889273,0.601384083044983,0
pitch1.5,tile_core,1.5,"12,20",2,0.00602008406808732,526.330878628208,Inf,0.573702422145329,0.595847750865052,0.986159169550173,1
pitch1.5,tile_ninth,1.5,"12,20",2,280.052472790434,Inf,Inf,0.277508650519031,0.307958477508651,0.792387543252595,0
pitch1.5,tile_prism,1.5,"12,20",2,1449144084.83874,Inf,Inf,0.205536332179931,0.233217993079585,0.546020761245675,0
pitch1.5,tile_core,1.5,"12,25",2,0.00777263482788786,27718.7672763183,Inf,0.537716262975779,0.58477508650519,0.969550173010381,1
pitch1.5,tile_ninth,1.5,"12,25",2,4101.54136628754,Inf,Inf,0.269204152249135,0.280276816608997,0.720415224913495,0
pitch1.5,tile_prism,1.5,"12,25",2,Inf,Inf,Inf,0.172318339100346,0.213840830449827,0.496193771626298,0
pitch1.5,tile_core,1.5,"13,15",2,0.0112999364809251,80.1090435373115,192950.223030863,0.460207612456747,0.737024221453287,1,0
pitch1.5,tile_ninth,1.5,"13,15",2,26.8490113775463,Inf,Inf,0.277508650519031,0.377162629757785,0.86159169550173,0
pitch1.5,tile_prism,1.5,"13,15",2,21919883.9961927,Inf,Inf,0.177854671280277,0.252595155709343,0.609688581314879,0
pitch1.5,tile_core,1.5,"13,17",2,0.00939128556565488,87.7932609125029,194014.921152124,0.523875432525952,0.678892733564014,1,0
pitch1.5,tile_ninth,1.5,"13,17",2,81.3342582368607,Inf,Inf,0.280276816608997,0.360553633217993,0.86159169550173,0
pitch1.5,tile_prism,1.5,"13,17",2,52961185.5329837,Inf,Inf,0.186159169550173,0.238754325259516,0.609688581314879,0
pitch1.5,tile_core,1.5,"13,20",2,0.0097769925248746,883.495162322763,1073697.22779661,0.504498269896194,0.58477508650519,1,0
pitch1.5,tile_ninth,1.5,"13,20",2,430.945138105311,Inf,Inf,0.280276816608997,0.280276816608997,0.806228373702422,0
pitch1.5,tile_prism,1.5,"13,20",2,506742070.764933,Inf,Inf,0.180622837370242,0.224913494809689,0.554325259515571,0
pitch1.5,tile_core,1.5,"13,25",2,0.0247143535687155,45015.994693331,Inf,0.418685121107266,0.573702422145329,0.958477508650519,0
pitch1.5,tile_ninth,1.5,"13,25",2,5984.90888946805,Inf,Inf,0.280276816608997,0.280276816608997,0.709342560553633,0
pitch1.5,tile_prism,1.5,"13,25",2,Inf,Inf,Inf,0.175086505190311,0.208304498269896,0.496193771626298,0
pitch1.5,tile_core,1.5,"15,17",2,0.0316037251054867,2685.33010659935,3178055.89708842,0.41038062283737,0.582006920415225,1,0
pitch1.5,tile_ninth,1.5,"15,17",2,299.983751792047,Inf,Inf,0.169550173010381,0.285813148788927,0.839446366782007,0
pitch1.5,tile_prism,1.5,"15,17",2,450263383.703704,Inf,Inf,0.136332179930796,0.213840830449827,0.58477508650519,0
pitch1.5,tile_core,1.5,"15,20",2,0.0253524468533028,3426.71291274395,4109209.03242949,0.418685121107266,0.570934256055363,1,0
pitch1.5,tile_ninth,1.5,"15,20",2,972.120145233799,Inf,Inf,0.188927335640138,0.280276816608997,0.833910034602076,0
pitch1.5,tile_prism,1.5,"15,20",2,770791939.082388,Inf,Inf,0.136332179930796,0.208304498269896,0.58477508650519,0
pitch1.5,tile_core,1.5,"15,25",2,0.0736733555450729,91845.9472660576,205140677.033593,0.415916955017301,0.526643598615917,1,0
pitch1.5,tile_ninth,1.5,"15,25",2,10722.7352487915,Inf,Inf,0.183391003460208,0.2719723183391,0.778546712802768,0
pitch1.5,tile_prism,1.5,"15,25",2,5589566236.18145,Inf,Inf,0.136332179930796,0.194463667820069,0.540484429065744,0
pitch1.5,tile_core,1.5,"17,20",2,0.0744355527048653,38152.1881146317,29467007.5185807,0.294117647058824,0.543252595155709,1,0
pitch1.5,tile_ninth,1.5,"17,20",2,2237.93405594387,Inf,Inf,0.169550173010381,0.274740484429066,0.822837370242214,0
pitch1.5,tile_prism,1.5,"17,20",2,2132073315.35721,Inf,Inf,0.116955017301038,0.2,0.573702422145329,0
pitch1.5,tile_core,1.5,"17,25",2,0.147813669939922,163789.767370587,430369861.703512,0.332871972318339,0.457439446366782,1,0
pitch1.5,tile_ninth,1.5,"17,25",2,21249.0679207591,Inf,Inf,0.169550173010381,0.26643598615917,0.806228373702422,0
pitch1.5,tile_prism,1.5,"17,25",2,13490686386.1626,Inf,Inf,0.125259515570934,0.169550173010381,0.562629757785467,0
pitch1.5,tile_core,1.5,"20,25",2,0.379232525286258,778849.834515198,1064877502.41785,0.2719723183391,0.41038062283737,1,0
pitch1.5,tile_ninth,1.5,"20,25",2,50168.7730982621,Inf,Inf,0.155709342560554,0.230449826989619,0.756401384083045,0
pitch1.5,tile_prism,1.5,"20,25",2,34432291018.0473,Inf,Inf,0.0975778546712803,0.147404844290657,0.546020761245675,0
pitch1.5,tile_core,1.5,"10,11,12,13,15,17,20,25",8,0.00292777771528958,0.588793196250672,2746.42980195773,0.703806228373702,0.900346020761246,1,3
pitch1.5,tile_ninth,1.5,"10,11,12,13,15,17,20,25",8,0.253857056332508,Inf,Inf,0.377162629757785,0.465743944636678,0.944636678200692,0
pitch1.5,tile_prism,1.5,"10,11,12,13,15,17,20,25",8,5182.85457129934,Inf,Inf,0.2719723183391,0.327335640138408,0.703806228373702,0
pitch2,tile_core,2,"10",1,Inf,Inf,Inf,0,0,0.454671280276817,0
pitch2,tile_ninth,2,"10",1,Inf,Inf,Inf,0,0,0.305190311418685,0
pitch2,tile_prism,2,"10",1,Inf,Inf,Inf,0,0,0.202768166089965,0
pitch2,tile_core,2,"11",1,125.490422617007,30038.7884943988,Inf,0,0.0027681660899654,0.977854671280277,0
pitch2,tile_ninth,2,"11",1,3312.36916415452,Inf,Inf,0,0,0.612456747404844,0
pitch2,tile_prism,2,"11",1,Inf,Inf,Inf,0,0.0027681660899654,0.451903114186851,0
pitch2,tile_core,2,"12",1,1.98940266819384,101.616703361237,253.857926556914,0.0027681660899654,0.106574394463668,1,0
pitch2,tile_ninth,2,"12",1,47.3906445526348,Inf,Inf,0,0.0816608996539792,0.681660899653979,0
pitch2,tile_prism,2,"12",1,Inf,Inf,Inf,0,0.0373702422145329,0.479584775086505,0
pitch2,tile_core,2,"13",1,0.141241085939427,109.80954141766,345.130537231531,0.0463667820069204,0.44636678200692,1,1
pitch2,tile_ninth,2,"13",1,96.4391952186779,Inf,Inf,0.0242214532871972,0.227681660899654,0.667820069204152,0
pitch2,tile_prism,2,"13",1,14735125.0899918,Inf,Inf,0.0242214532871972,0.147404844290657,0.532179930795848,0
pitch2,tile_core,2,"15",1,0.00792966965181943,239.796747345338,998.906877386326,0.534948096885813,0.609688581314879,1,1
pitch2,tile_ninth,2,"15",1,430.731482481741,Inf,Inf,0.269204152249135,0.313494809688581,0.778546712802768,0
pitch2,tile_prism,2,"15",1,2243908.52626358,Inf,Inf,0.183391003460208,0.233217993079585,0.587543252595156,0
pitch2,tile_core,2,"17",1,0.0179717148505386,798.998918846308,22527.7279795954,0.44083044982699,0.58477508650519,1,1
pitch2,tile_ninth,2,"17",1,975.719775988663,Inf,Inf,0.280276816608997,0.283044982698962,0.778546712802768,0
pitch2,tile_prism,2,"17",1,7090675.63661516,Inf,Inf,0.175086505190311,0.213840830449827,0.568166089965398,0
pitch2,tile_core,2,"20",1,0.127582406313947,10965.1847524723,1879227.95451077,0.418685121107266,0.471280276816609,1,0
pitch2,tile_ninth,2,"20",1,8807.09214211526,Inf,Inf,0.175086505190311,0.280276816608997,0.778546712802768,0
pitch2,tile_prism,2,"20",1,36150753.4749847,Inf,Inf,0.136332179930796,0.183391003460208,0.590311418685121,0
pitch2,tile_core,2,"25",1,0.700485552916917,412153.468265203,304268496.40168,0.277508650519031,0.418685121107266,1,0
pitch2,tile_ninth,2,"25",1,169145.947069755,Inf,Inf,0.161245674740484,0.197231833910035,0.817301038062284,0
pitch2,tile_prism,2,"25",1,4415519923.61354,Inf,Inf,0.114186851211073,0.150173010380623,0.570934256055363,0
pitch2,tile_core,2,"10,11",2,3.14859149016882,614.824596493368,49465.3359348545,0.0110726643598616,0.0858131487889273,1,0
pitch2,tile_ninth,2,"10,11",2,8.40216268324867,54381.4767867933,Inf,0,0.0664359861591696,0.958477508650519,0
pitch2,tile_prism,2,"10,11",2,134.428694466461,Inf,Inf,0.0055363321799308,0.0470588235294118,0.811764705882353,0
pitch2,tile_core,2,"10,12",2,0.193041496495105,8.24694086056294,37.9488824821152,0.0442906574394464,0.37439446366782,1,0
pitch2,tile_ninth,2,"10,12",2,0.468725107252808,6952.4118563593,Inf,0.0166089965397924,0.269204152249135,0.986159169550173,0
pitch2,tile_prism,2,"10,12",2,3.90664140945952,Inf,Inf,0.0332179930795848,0.180622837370242,0.814532871972318,0
pitch2,tile_core,2,"10,13",2,0.0294929660925944,1.23307996013679,58.6136961401429,0.18961937716263,0.784083044982699,1,1
pitch2,tile_ninth,2,"10,13",2,0.0948461263998841,133244.930634723,12074177.2148872,0.114878892733564,0.510034602076125,1,0
pitch2,tile_prism,2,"10,13",2,1.11947419230723,Inf,Inf,0.0955017301038062,0.360553633217993,0.797923875432526,0
pitch2,tile_core,2,"10,15",2,0.00613692046992816,3.30575761721675,472.021176722874,0.604152249134948,0.745328719723183,1,1
pitch2,tile_ninth,2,"10,15",2,0.297558157055474,Inf,Inf,0.324567474048443,0.429757785467128,0.944636678200692,0
pitch2,tile_prism,2,"10,15",2,25.7315634527819,Inf,Inf,0.224913494809689,0.313494809688581,0.720415224913495,0
pitch2,tile_core,2,"10,17",2,0.00658393015856413,9.12962956645816,855.992031190885,0.54878892733564,0.709342560553633,1,1
pitch2,tile_ninth,2,"10,17",2,0.623842033339411,Inf,Inf,0.280276816608997,0.413148788927336,0.944636678200692,0
pitch2,tile_prism,2,"10,17",2,431.187723967808,Inf,Inf,0.202768166089965,0.26643598615917,0.667820069204152,0
pitch2,tile_core,2,"10,20",2,0.0140390283003966,101.200869358374,5620.20062059719,0.426989619377163,0.656747404844291,1,0
pitch2,tile_ninth,2,"10,20",2,8.92899751544395,Inf,Inf,0.191695501730104,0.343944636678201,0.89757785467128,0
pitch2,tile_prism,2,"10,20",2,4789.38805328716,Inf,Inf,0.141868512110727,0.238754325259516,0.601384083044983,0
pitch2,tile_core,2,"10,25",2,0.125252507626034,1829.96411213673,16249.6361280471,0.280276816608997,0.487889273356401,1,0
pitch2,tile_ninth,2,"10,25",2,68.1730697473217,Inf,Inf,0.169550173010381,0.230449826989619,0.756401384083045,0
pitch2,tile_prism,2,"10,25",2,5979033.09310734,Inf,Inf,0.119723183391003,0.166782006920415,0.529411764705882,0
