BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples
93,45,45,15,uniform_cone,per_orientation,Inf,15000
94,60,45,15,uniform_cone,per_orientation,Inf,15000
95,75,45,15,uniform_cone,per_orientation,Inf,15000
96,15,60,15,uniform_cone,per_orientation,Inf,15000
97,30,60,15,uniform_cone,per_orientation,Inf,15000
98,45,60,15,uniform_cone,per_orientation,Inf,15000
99,60,60,15,uniform_cone,per_orientation,Inf,15000
100,75,60,15,uniform_cone,per_orientation,Inf,15000
101,15,65,15,uniform_cone,per_orientation,252387108.953851,15000
102,30,65,15,uniform_cone,per_orientation,728.759351466226,15000
103,45,65,15,uniform_cone,per_orientation,229.679810820582,15000
104,60,65,15,uniform_cone,per_orientation,207.937220963647,15000
105,75,65,15,uniform_cone,per_orientation,244.619504943127,15000
106,15,70,15,uniform_cone,per_orientation,85468299.6674324,15000
107,30,70,15,uniform_cone,per_orientation,685.029355350033,15000
108,45,70,15,uniform_cone,per_orientation,229.679810820582,15000
109,60,70,15,uniform_cone,per_orientation,207.745734219537,15000
110,75,70,15,uniform_cone,per_orientation,241.719751460231,15000
111,15,75,15,uniform_cone,per_orientation,85468299.6674324,15000
112,30,75,15,uniform_cone,per_orientation,685.029355350033,15000
113,45,75,15,uniform_cone,per_orientation,229.679810820582,15000
114,60,75,15,uniform_cone,per_orientation,207.745734219537,15000
115,75,75,15,uniform_cone,per_orientation,241.719751460231,15000
116,15,85,15,uniform_cone,per_orientation,85468299.6674324,15000
117,30,85,15,uniform_cone,per_orientation,685.029355350033,15000
118,45,85,15,uniform_cone,per_orientation,229.679810820582,15000
119,60,85,15,uniform_cone,per_orientation,207.745734219537,15000
120,75,85,15,uniform_cone,per_orientation,241.719751460231,15000
121,15,45,25,uniform_cone,per_orientation,Inf,25000
122,30,45,25,uniform_cone,per_orientation,Inf,25000
123,45,45,25,uniform_cone,per_orientation,Inf,25000
124,60,45,25,uniform_cone,per_orientation,Inf,25000
125,75,45,25,uniform_cone,per_orientation,Inf,25000
126,15,60,25,uniform_cone,per_orientation,Inf,25000
127,30,60,25,uniform_cone,per_orientation,Inf,25000
128,45,60,25,uniform_cone,per_orientation,Inf,25000
129,60,60,25,uniform_cone,per_orientation,Inf,25000
130,75,60,25,uniform_cone,per_orientation,Inf,25000
131,15,65,25,uniform_cone,per_orientation,203473321.909021,25000
132,30,65,25,uniform_cone,per_orientation,580.339546301537,25000
133,45,65,25,uniform_cone,per_orientation,177.909216453636,25000
134,60,65,25,uniform_cone,per_orientation,160.91915377558,25000
135,75,65,25,uniform_cone,per_orientation,189.481453760447,25000
136,15,70,25,uniform_cone,per_orientation,66203460.2481274,25000
137,30,70,25,uniform_cone,per_orientation,530.621456986786,25000
138,45,70,25,uniform_cone,per_orientation,177.909216453636,25000
139,60,70,25,uniform_cone,per_orientation,160.91915377558,25000
140,75,70,25,uniform_cone,per_orientation,187.235314370974,25000
141,15,75,25,uniform_cone,per_orientation,66203460.2481274,25000
142,30,75,25,uniform_cone,per_orientation,530.621456986786,25000
143,45,75,25,uniform_cone,per_orientation,177.909216453636,25000
144,60,75,25,uniform_cone,per_orientation,160.91915377558,25000
145,75,75,25,uniform_cone,per_orientation,187.235314370974,25000
146,15,85,25,uniform_cone,per_orientation,66203460.2481274,25000
147,30,85,25,uniform_cone,per_orientation,530.621456986786,25000
148,45,85,25,uniform_cone,per_orientation,177.909216453636,25000
149,60,85,25,uniform_cone,per_orientation,160.91915377558,25000
150,75,85,25,uniform_cone,per_orientation,187.235314370974,25000
151,15,45,49,uniform_cone,per_orientation,Inf,49000
152,30,45,49,uniform_cone,per_orientation,Inf,49000
153,45,45,49,uniform_cone,per_orientation,Inf,49000
154,60,45,49,uniform_cone,per_orientation,Inf,49000
155,75,45,49,uniform_cone,per_orientation,Inf,49000
156,15,60,49,uniform_cone,per_orientation,Inf,49000
157,30,60,49,uniform_cone,per_orientation,Inf,49000
158,45,60,49,uniform_cone,per_orientation,Inf,49000
159,60,60,49,uniform_cone,per_orientation,Inf,49000
160,75,60,49,uniform_cone,per_orientation,Inf,49000
161,15,65,49,uniform_cone,per_orientation,144619276.101201,49000
162,30,65,49,uniform_cone,per_orientation,413.350634850172,49000
163,45,65,49,uniform_cone,per_orientation,127.078011752598,49000
164,60,65,49,uniform_cone,per_orientation,114.942252696843,49000
165,75,65,49,uniform_cone,per_orientation,135.343895543176,49000
166,15,70,49,uniform_cone,per_orientation,47288185.8915212,49000
167,30,70,49,uniform_cone,per_orientation,379.01532641913,49000
168,45,70,49,uniform_cone,per_orientation,127.078011752598,49000
169,60,70,49,uniform_cone,per_orientation,114.942252696843,49000
170,75,70,49,uniform_cone,per_orientation,133.739510264981,49000
171,15,75,49,uniform_cone,per_orientation,47288185.8915212,49000
172,30,75,49,uniform_cone,per_orientation,379.01532641913,49000
173,45,75,49,uniform_cone,per_orientation,127.078011752598,49000
174,60,75,49,uniform_cone,per_orientation,114.942252696843,49000
175,75,75,49,uniform_cone,per_orientation,133.739510264981,49000
176,15,85,49,uniform_cone,per_orientation,47288185.8915212,49000
177,30,85,49,uniform_cone,per_orientation,379.01532641913,49000
178,45,85,49,uniform_cone,per_orientation,127.078011752598,49000
179,60,85,49,uniform_cone,per_orientation,114.942252696843,49000
180,75,85,49,uniform_cone,per_orientation,133.739510264981,49000
181,15,45,81,uniform_cone,per_orientation,Inf,81000
182,30,45,81,uniform_cone,per_orientation,Inf,81000
183,45,45,81,uniform_cone,per_orientation,Inf,81000
184,60,45,81,uniform_cone,per_orientation,Inf,81000
185,75,45,81,uniform_cone,per_orientation,Inf,81000
186,15,60,81,uniform_cone,per_orientation,Inf,81000
187,30,60,81,uniform_cone,per_orientation,Inf,81000
188,45,60,81,uniform_cone,per_orientation,Inf,81000
189,60,60,81,uniform_cone,per_orientation,Inf,81000
190,75,60,81,uniform_cone,per_orientation,Inf,81000
191,15,65,81,uniform_cone,per_orientation,112883341.402296,81000
192,30,65,81,uniform_cone,per_orientation,322.147583279272,81000
193,45,65,81,uniform_cone,per_orientation,98.8384535853537,81000
194,60,65,81,uniform_cone,per_orientation,89.3995298753222,81000
195,75,65,81,uniform_cone,per_orientation,105.267474311359,81000
196,15,70,81,uniform_cone,per_orientation,36779700.1378485,81000
197,30,70,81,uniform_cone,per_orientation,294.789698325992,81000
198,45,70,81,uniform_cone,per_orientation,98.8384535853537,81000
199,60,70,81,uniform_cone,per_orientation,89.3995298753222,81000
200,75,70,81,uniform_cone,per_orientation,104.019619094986,81000
201,15,75,81,uniform_cone,per_orientation,36779700.1378485,81000
202,30,75,81,uniform_cone,per_orientation,294.789698325992,81000
203,45,75,81,uniform_cone,per_orientation,98.8384535853537,81000
204,60,75,81,uniform_cone,per_orientation,89.3995298753222,81000
205,75,75,81,uniform_cone,per_orientation,104.019619094986,81000
206,15,85,81,uniform_cone,per_orientation,36779700.1378485,81000
207,30,85,81,uniform_cone,per_orientation,294.789698325992,81000
208,45,85,81,uniform_cone,per_orientation,98.8384535853537,81000
209,60,85,81,uniform_cone,per_orientation,89.3995298753222,81000
210,75,85,81,uniform_cone,per_orientation,104.019619094986,81000
211,15,45,3,golden_prefix,per_orientation,Inf,3000
212,30,45,3,golden_prefix,per_orientation,Inf,3000
213,45,45,3,golden_prefix,per_orientation,Inf,3000
214,60,45,3,golden_prefix,per_orientation,Inf,3000
215,75,45,3,golden_prefix,per_orientation,Inf,3000
216,15,60,3,golden_prefix,per_orientation,Inf,3000
217,30,60,3,golden_prefix,per_orientation,Inf,3000
218,45,60,3,golden_prefix,per_orientation,Inf,3000
219,60,60,3,golden_prefix,per_orientation,Inf,3000
220,75,60,3,golden_prefix,per_orientation,Inf,3000
221,15,65,3,golden_prefix,per_orientation,Inf,3000
222,30,65,3,golden_prefix,per_orientation,Inf,3000
223,45,65,3,golden_prefix,per_orientation,Inf,3000
224,60,65,3,golden_prefix,per_orientation,Inf,3000
225,75,65,3,golden_prefix,per_orientation,Inf,3000
226,15,70,3,golden_prefix,per_orientation,208805498.935427,3000
