BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples,Area_mm2,RMS_full_cm,RMS_conditional_cm,Worst_cm,RegularCoverage_percent,TargetCoverage_percent,Feasible
9,60,60,3,uniform_cone,per_orientation,Inf,3000,50,Inf,10.5978078519013,Inf,95.7734573119188,5.57903634826712,0
9,60,60,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,7.02772403972236,Inf,95.7734573119188,11.0735418427726,0
9,60,60,3,uniform_cone,per_orientation,Inf,3000,100,Inf,5.29890392595066,Inf,95.7734573119188,18.2586644125106,0
9,60,60,3,uniform_cone,per_orientation,Inf,3000,150,Inf,3.53260261730044,Inf,95.7734573119188,31.8681318681319,0
10,75,60,3,uniform_cone,per_orientation,Inf,3000,25,Inf,24.1487572603828,Inf,95.7734573119188,0.760777683854607,0
10,75,60,3,uniform_cone,per_orientation,Inf,3000,50,Inf,12.0743786301914,Inf,95.7734573119188,4.22654268808115,0
10,75,60,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,8.00688238076354,Inf,95.7734573119188,9.04480135249366,0
10,75,60,3,uniform_cone,per_orientation,Inf,3000,100,Inf,6.03718931509571,Inf,95.7734573119188,14.4547759932375,0
10,75,60,3,uniform_cone,per_orientation,Inf,3000,150,Inf,4.02479287673047,Inf,95.7734573119188,27.3879966187658,0
11,15,65,3,uniform_cone,per_orientation,Inf,3000,25,Inf,2560389.91704576,Inf,99.1546914623838,3.97295012679628,0
11,15,65,3,uniform_cone,per_orientation,Inf,3000,50,Inf,1280194.95852288,Inf,99.1546914623838,6.67793744716822,0
11,15,65,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,848935.648887851,Inf,99.1546914623838,11.7497886728656,0
11,15,65,3,uniform_cone,per_orientation,Inf,3000,100,Inf,640097.47926144,Inf,99.1546914623838,11.7497886728656,0
11,15,65,3,uniform_cone,per_orientation,Inf,3000,150,Inf,426731.65284096,Inf,99.1546914623838,14.792899408284,0
12,30,65,3,uniform_cone,per_orientation,Inf,3000,25,Inf,56.157079692626,Inf,99.1546914623838,3.63482671174979,0
12,30,65,3,uniform_cone,per_orientation,Inf,3000,50,Inf,28.078539846313,Inf,99.1546914623838,9.5519864750634,0
