sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_144831_1,2026-07-22,14:49:43,X,-90.000000,90.000000,180.000000,1.000000,0.415530,0.415353,0.002356,1000,1000
20260722_144831_2,2026-07-22,14:49:47,X,-88.000000,88.000000,180.000000,1.000000,0.416734,0.416669,0.002060,1000,1000
20260722_144831_3,2026-07-22,14:49:52,X,-86.000000,86.000000,180.000000,1.000000,0.462979,0.463062,0.001926,1000,1000
20260722_144831_4,2026-07-22,14:49:56,X,-84.000000,84.000000,180.000000,1.000000,0.540539,0.540384,0.002246,1000,1000
20260722_144831_5,2026-07-22,14:50:00,X,-82.000000,82.000000,180.000000,1.000000,0.551052,0.550913,0.002157,1000,1000
20260722_144831_6,2026-07-22,14:50:05,X,-80.000000,80.000000,180.000000,1.000000,0.534255,0.534132,0.002205,1000,1000
20260722_144831_7,2026-07-22,14:50:09,X,-78.000000,78.000000,180.000000,1.000000,0.493671,0.493662,0.002428,1000,1000
20260722_144831_8,2026-07-22,14:50:13,X,-76.000000,76.000000,180.000000,1.000000,0.507041,0.507152,0.002100,1000,1000
20260722_144831_9,2026-07-22,14:50:18,X,-74.000000,74.000000,180.000000,1.000000,0.525607,0.525578,0.001940,1000,1000
20260722_144831_10,2026-07-22,14:50:22,X,-72.000000,72.000000,180.000000,1.000000,0.542443,0.542358,0.002038,1000,1000
20260722_144831_11,2026-07-22,14:50:26,X,-70.000000,70.000000,180.000000,1.000000,0.579226,0.579209,0.001979,1000,1000
20260722_144831_12,2026-07-22,14:50:31,X,-68.000000,68.000000,180.000000,1.000000,0.620803,0.620667,0.002194,1000,1000
20260722_144831_13,2026-07-22,14:50:35,X,-66.000000,66.000000,180.000000,1.000000,0.660774,0.660808,0.002239,1000,1000
20260722_144831_14,2026-07-22,14:50:39,X,-64.000000,64.000000,180.000000,1.000000,0.715193,0.715098,0.002153,1000,1000
20260722_144831_15,2026-07-22,14:50:43,X,-62.000000,62.000000,180.000000,1.000000,0.792247,0.792419,0.002104,1000,1000
20260722_144831_16,2026-07-22,14:50:48,X,-60.000000,60.000000,180.000000,1.000000,0.901160,0.900998,0.002166,1000,1000
20260722_144831_17,2026-07-22,14:50:52,X,-58.000000,58.000000,180.000000,1.000000,1.047672,1.047745,0.002062,1000,1000
20260722_144831_18,2026-07-22,14:50:56,X,-56.000000,56.000000,180.000000,1.000000,1.217379,1.217524,0.002066,1000,1000
20260722_144831_19,2026-07-22,14:51:01,X,-54.000000,54.000000,180.000000,1.000000,1.429831,1.429747,0.002138,1000,1000
20260722_144831_20,2026-07-22,14:51:05,X,-52.000000,52.000000,180.000000,1.000000,1.706690,1.706790,0.002025,1000,1000
20260722_144831_21,2026-07-22,14:51:09,X,-50.000000,50.000000,180.000000,1.000000,2.026099,2.025949,0.002098,1000,1000
20260722_144831_22,2026-07-22,14:51:13,X,-48.000000,48.000000,180.000000,1.000000,2.380255,2.380314,0.001949,1000,1000
20260722_144831_23,2026-07-22,14:51:18,X,-46.000000,46.000000,180.000000,1.000000,2.746266,2.746197,0.002169,1000,1000
