sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_144831_92,2026-07-22,14:56:23,Y,-90.000000,90.000000,270.000000,1.000000,0.387545,0.387386,0.002009,1000,1000
20260722_144831_93,2026-07-22,14:56:26,Y,-88.000000,88.000000,270.000000,1.000000,0.525459,0.525578,0.002246,1000,1000
20260722_144831_94,2026-07-22,14:56:30,Y,-86.000000,86.000000,270.000000,1.000000,0.288355,0.288349,0.001943,1000,1000
20260722_144831_95,2026-07-22,14:56:33,Y,-84.000000,84.000000,270.000000,1.000000,0.270345,0.270252,0.001823,1000,1000
20260722_144831_96,2026-07-22,14:56:37,Y,-82.000000,82.000000,270.000000,1.000000,0.253775,0.253801,0.001894,1000,1000
20260722_144831_97,2026-07-22,14:56:40,Y,-80.000000,80.000000,270.000000,1.000000,0.238559,0.238666,0.002055,1000,1000
20260722_144831_98,2026-07-22,14:56:44,Y,-78.000000,78.000000,270.000000,1.000000,0.224005,0.223859,0.001750,1000,1000
20260722_144831_99,2026-07-22,14:56:47,Y,-76.000000,76.000000,270.000000,1.000000,0.210132,0.210040,0.002036,1000,1000
20260722_144831_100,2026-07-22,14:56:51,Y,-74.000000,74.000000,270.000000,1.000000,0.196962,0.196879,0.001729,1000,1000
20260722_144831_101,2026-07-22,14:56:54,Y,-72.000000,72.000000,270.000000,1.000000,0.184609,0.184705,0.001858,1000,1000
20260722_144831_102,2026-07-22,14:56:58,Y,-70.000000,70.000000,270.000000,1.000000,0.173446,0.173518,0.001953,1000,1000
20260722_144831_103,2026-07-22,14:57:01,Y,-68.000000,68.000000,270.000000,1.000000,0.170109,0.170228,0.002071,1000,1000
20260722_144831_104,2026-07-22,14:57:05,Y,-66.000000,66.000000,270.000000,1.000000,0.676384,0.676272,0.001939,1000,1000
20260722_144831_105,2026-07-22,14:57:08,Y,-64.000000,64.000000,270.000000,1.000000,0.729162,0.729246,0.001764,1000,1000
20260722_144831_106,2026-07-22,14:57:12,Y,-62.000000,62.000000,270.000000,1.000000,0.798659,0.798671,0.002120,1000,1000
20260722_144831_107,2026-07-22,14:57:15,Y,-60.000000,60.000000,270.000000,1.000000,0.886463,0.886521,0.001828,1000,1000
20260722_144831_108,2026-07-22,14:57:19,Y,-58.000000,58.000000,270.000000,1.000000,1.026426,1.026358,0.001879,1000,1000
20260722_144831_109,2026-07-22,14:57:23,Y,-56.000000,56.000000,270.000000,1.000000,1.188193,1.188240,0.002078,1000,1000
20260722_144831_110,2026-07-22,14:57:26,Y,-54.000000,54.000000,270.000000,1.000000,1.356681,1.356703,0.001793,1000,1000
20260722_144831_111,2026-07-22,14:57:30,Y,-52.000000,52.000000,270.000000,1.000000,1.611941,1.612029,0.002022,1000,1000
20260722_144831_112,2026-07-22,14:57:33,Y,-50.000000,50.000000,270.000000,1.000000,1.898831,1.898943,0.001968,1000,1000
20260722_144831_113,2026-07-22,14:57:37,Y,-48.000000,48.000000,270.000000,1.000000,2.227865,2.227973,0.001866,1000,1000
20260722_144831_114,2026-07-22,14:57:40,Y,-46.000000,46.000000,270.000000,1.000000,2.559286,2.559307,0.002277,1000,1000
20260722_144831_115,2026-07-22,14:57:44,Y,-44.000000,44.000000,270.000000,1.000000,2.910746,2.910712,0.002618,1000,1000
20260722_144831_116,2026-07-22,14:57:47,Y,-42.000000,42.000000,270.000000,1.000000,3.252810,3.252906,0.002335,1000,1000
20260722_144831_117,2026-07-22,14:57:51,Y,-40.000000,40.000000,270.000000,1.000000,3.585103,3.585229,0.002008,1000,1000
20260722_144831_118,2026-07-22,14:57:54,Y,-38.000000,38.000000,270.000000,1.000000,3.965416,3.965262,0.003200,1000,1000
20260722_144831_119,2026-07-22,14:57:58,Y,-36.000000,36.000000,270.000000,1.000000,4.345827,4.345626,0.002121,1000,1000
20260722_144831_120,2026-07-22,14:58:01,Y,-34.000000,34.000000,270.000000,1.000000,4.673893,4.674004,0.001891,1000,1000
20260722_144831_121,2026-07-22,14:58:05,Y,-32.000000,32.000000,270.000000,1.000000,5.011784,5.011924,0.001905,1000,1000
20260722_144831_122,2026-07-22,14:58:08,Y,-30.000000,30.000000,270.000000,1.000000,5.318311,5.318258,0.001894,1000,1000
20260722_144831_123,2026-07-22,14:58:12,Y,-28.000000,28.000000,270.000000,1.000000,5.614244,5.614392,0.003963,1000,1000
20260722_144831_124,2026-07-22,14:58:15,Y,-26.000000,26.000000,270.000000,1.000000,5.892599,5.892430,0.002394,1000,1000
20260722_144831_125,2026-07-22,14:58:19,Y,-24.000000,24.000000,270.000000,1.000000,6.166533,6.167836,0.003899,1000,1000
