Session folder: output/sub1_radiometric/20260722_182801
Console log:    output/sub1_radiometric/20260722_182801/run.log
=========================================================
 SUB-DATASET 1: Radiometric calibration R(phi)
=========================================================
  Inclination:        0 to 70 deg (step 2)
  Azimuth:            0 to 360 deg (step 2)
  Fixed LED-PD dist:  1 m
  Acquisition:        1 s (1000 samples @ 1000 Hz)
  Total orientations: 6301
  Estimated time:     157.5 min
=========================================================

--- Robot base position (global frame, meters) ---
Robot base X [m]: Robot base Y [m]: Sending robot base to (-0.5, -0.5, 0.6) [calibration offset included]...
Sending PD to (0.0, 0.0, 1.0)...
[Info] Sending command for receiver to face upward (vertical)...
PD in position, pointing to the zenith.

--- Session metadata (press Enter to accept the [default]) ---
Operator [Kevin]: LED serial [SFH4725S]: PD serial [BPX61]: I_LED [mA] (manual) [500]: T_ambient [C] (manual) [26]: T_LED [C] (manual) [31]: Comment / reason [NA]: Moving gimbal to (0,0)...

=== STARTING R(phi) SWEEP ===

[18:32:19] 57/6301  inc=2.000000  az=110.000000  ->  V = 8.680989 V
[18:32:22] 58/6301  inc=2.000000  az=112.000000  ->  V = 8.671142 V
[18:32:26] 59/6301  inc=2.000000  az=114.000000  ->  V = 8.684225 V
[18:32:29] 60/6301  inc=2.000000  az=116.000000  ->  V = 8.684070 V
[18:32:32] 61/6301  inc=2.000000  az=118.000000  ->  V = 8.695893 V
[18:32:35] 62/6301  inc=2.000000  az=120.000000  ->  V = 8.696894 V
[18:32:38] 63/6301  inc=2.000000  az=122.000000  ->  V = 8.692185 V
[18:32:41] 64/6301  inc=2.000000  az=124.000000  ->  V = 8.693807 V
[18:32:45] 65/6301  inc=2.000000  az=126.000000  ->  V = 8.686654 V
[18:32:48] 66/6301  inc=2.000000  az=128.000000  ->  V = 8.686972 V
[18:32:52] 67/6301  inc=2.000000  az=130.000000  ->  V = 8.707785 V
[18:32:54] 68/6301  inc=2.000000  az=132.000000  ->  V = 8.693383 V
[18:32:58] 69/6301  inc=2.000000  az=134.000000  ->  V = 8.691274 V
[18:33:01] 70/6301  inc=2.000000  az=136.000000  ->  V = 8.691909 V
[18:33:05] 71/6301  inc=2.000000  az=138.000000  ->  V = 8.687141 V
[18:33:08] 72/6301  inc=2.000000  az=140.000000  ->  V = 8.690434 V
[18:33:12] 73/6301  inc=2.000000  az=142.000000  ->  V = 8.693164 V
[18:33:14] 74/6301  inc=2.000000  az=144.000000  ->  V = 8.689282 V
[18:33:18] 75/6301  inc=2.000000  az=146.000000  ->  V = 8.689891 V
[18:33:21] 76/6301  inc=2.000000  az=148.000000  ->  V = 8.681661 V
[18:33:25] 77/6301  inc=2.000000  az=150.000000  ->  V = 8.684293 V
[18:33:29] 78/6301  inc=2.000000  az=152.000000  ->  V = 8.668577 V
[18:33:32] 79/6301  inc=2.000000  az=154.000000  ->  V = 8.681210 V
[18:33:36] 80/6301  inc=2.000000  az=156.000000  ->  V = 8.676162 V
[18:33:40] 81/6301  inc=2.000000  az=158.000000  ->  V = 8.678199 V
[18:33:42] 82/6301  inc=2.000000  az=160.000000  ->  V = 8.682801 V
[18:33:46] 83/6301  inc=2.000000  az=162.000000  ->  V = 8.689688 V
[18:33:49] 84/6301  inc=2.000000  az=164.000000  ->  V = 8.690779 V
[18:33:53] 85/6301  inc=2.000000  az=166.000000  ->  V = 8.685174 V
[18:33:57] 86/6301  inc=2.000000  az=168.000000  ->  V = 8.697535 V
[18:34:01] 87/6301  inc=2.000000  az=170.000000  ->  V = 8.700545 V
[18:34:04] 88/6301  inc=2.000000  az=172.000000  ->  V = 8.697495 V
[18:34:07] 89/6301  inc=2.000000  az=174.000000  ->  V = 8.700630 V
[18:34:11] 90/6301  inc=2.000000  az=176.000000  ->  V = 8.703763 V
[18:34:14] 91/6301  inc=2.000000  az=178.000000  ->  V = 8.700300 V
[18:34:18] 92/6301  inc=2.000000  az=180.000000  ->  V = 8.706897 V
[18:34:22] 93/6301  inc=2.000000  az=182.000000  ->  V = 8.710724 V
[18:34:25] 94/6301  inc=2.000000  az=184.000000  ->  V = 8.708978 V
[18:34:28] 95/6301  inc=2.000000  az=186.000000  ->  V = 8.710525 V
[18:34:32] 96/6301  inc=2.000000  az=188.000000  ->  V = 8.714683 V
[18:34:35] 97/6301  inc=2.000000  az=190.000000  ->  V = 8.715609 V
[18:34:39] 98/6301  inc=2.000000  az=192.000000  ->  V = 8.718620 V
[18:34:43] 99/6301  inc=2.000000  az=194.000000  ->  V = 8.720016 V
[18:34:47] 100/6301  inc=2.000000  az=196.000000  ->  V = 8.721101 V
[18:34:50] 101/6301  inc=2.000000  az=198.000000  ->  V = 8.720265 V
[18:34:53] 102/6301  inc=2.000000  az=200.000000  ->  V = 8.722358 V
[18:34:56] 103/6301  inc=2.000000  az=202.000000  ->  V = 8.719761 V
[18:35:00] 104/6301  inc=2.000000  az=204.000000  ->  V = 8.722362 V
[18:35:04] 105/6301  inc=2.000000  az=206.000000  ->  V = 8.733767 V
[18:35:07] 106/6301  inc=2.000000  az=208.000000  ->  V = 8.731900 V
[18:35:11] 107/6301  inc=2.000000  az=210.000000  ->  V = 8.735778 V
[18:35:15] 108/6301  inc=2.000000  az=212.000000  ->  V = 8.732872 V
[18:35:17] 109/6301  inc=2.000000  az=214.000000  ->  V = 8.735799 V
[18:35:21] 110/6301  inc=2.000000  az=216.000000  ->  V = 8.728111 V
[18:35:24] 111/6301  inc=2.000000  az=218.000000  ->  V = 8.717444 V
[18:35:28] 112/6301  inc=2.000000  az=220.000000  ->  V = 8.738333 V
[18:35:31] 113/6301  inc=2.000000  az=222.000000  ->  V = 8.742679 V
[18:35:35] 114/6301  inc=2.000000  az=224.000000  ->  V = 8.709190 V
[18:35:38] 115/6301  inc=2.000000  az=226.000000  ->  V = 8.743525 V
[18:35:41] 116/6301  inc=2.000000  az=228.000000  ->  V = 8.740002 V
[18:35:44] 117/6301  inc=2.000000  az=230.000000  ->  V = 8.739757 V
[18:35:48] 118/6301  inc=2.000000  az=232.000000  ->  V = 8.700006 V
[18:35:51] 119/6301  inc=2.000000  az=234.000000  ->  V = 8.713718 V
[18:35:55] 120/6301  inc=2.000000  az=236.000000  ->  V = 8.699259 V
[18:35:58] 121/6301  inc=2.000000  az=238.000000  ->  V = 8.694257 V
[18:36:02] 122/6301  inc=2.000000  az=240.000000  ->  V = 8.720832 V
[18:36:06] 123/6301  inc=2.000000  az=242.000000  ->  V = 8.727590 V
[18:36:08] 124/6301  inc=2.000000  az=244.000000  ->  V = 8.724825 V
[18:36:12] 125/6301  inc=2.000000  az=246.000000  ->  V = 8.705185 V
[18:36:16] 126/6301  inc=2.000000  az=248.000000  ->  V = 8.732874 V
[18:36:19] 127/6301  inc=2.000000  az=250.000000  ->  V = 8.715667 V
[18:36:23] 128/6301  inc=2.000000  az=252.000000  ->  V = 8.728051 V
[18:36:26] 129/6301  inc=2.000000  az=254.000000  ->  V = 8.731145 V
[18:36:30] 130/6301  inc=2.000000  az=256.000000  ->  V = 8.739219 V
[18:36:34] 131/6301  inc=2.000000  az=258.000000  ->  V = 8.747435 V
[18:36:38] 132/6301  inc=2.000000  az=260.000000  ->  V = 8.733889 V
[18:36:40] 133/6301  inc=2.000000  az=262.000000  ->  V = 8.733242 V
