
============================================================
PEB_B ORIENTATION OPTIMIZATION LOG (Coverage / REAL params)
*** LED 1 PINNED AT NADIR [0,0] (GLS variant) ***
============================================================
Date: 27-Jul-2026 11:55:27
Metric: rms
K = 9 orientations (1 fixed nadir + 8 free)
Testbed: 11789 positions (FOV-filtered=1)
Room: 3x3x2.0 m^3
LED: Pt=0.670 W, Phi_half=36.7 deg, m=3.14
PD: A=7.02e-06 m^2, FOV=60 deg
Noise: sigma2=3.00e-14 W^2, N=1000 samples
Constraint: min pairwise beam separation = 20.0 deg
GA: pop=400, gen=400, parallel=24 workers
============================================================

Starting GA optimization for PEB_B (K=9, LED 1 fixed nadir)...

Single objective optimization:
18 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  123            47160       1.973e-05          0.2128        0
  124            47540       1.973e-05          0.1861        0
  125            47920       1.972e-05          0.2141        0
  126            48300       1.972e-05          0.1338        0
  127            48680       1.972e-05          0.1071        0
  128            49060       1.972e-05          0.1873        0
  129            49440       1.972e-05          0.2141        0
  130            49820       1.972e-05          0.2408        0
  131            50200       1.971e-05          0.1606        0
  132            50580       1.971e-05          0.2141        0
  133            50960       1.971e-05          0.1606        1
  134            51340       1.971e-05          0.2103        0
  135            51720       1.971e-05          0.1301        0
  136            52100       1.971e-05          0.1058        0
  137            52480       1.971e-05         0.05354        1
  138            52860       1.971e-05         0.07779        0
  139            53240       1.971e-05         0.05354        0
  140            53620       1.971e-05         0.08029        0
  141            54000       1.971e-05          0.1071        0
  142            54380       1.971e-05          0.1071        0
  143            54760        1.97e-05         0.08029        0
  144            55140        1.97e-05          0.1071        0
  145            55520        1.97e-05          0.1338        0
  146            55900        1.97e-05          0.1071        0
  147            56280        1.97e-05         0.08029        0
  148            56660        1.97e-05          0.1338        0
  149            57040        1.97e-05          0.1338        0
  150            57420       1.969e-05          0.1606        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            57800       1.969e-05          0.1071        0
  152            58180       1.969e-05         0.02678        0
  153            58560       1.969e-05          0.1071        0
  154            58940       1.969e-05          0.1338        0
  155            59320       1.969e-05         0.05354        0
  156            59700       1.969e-05          0.1338        0
  157            60080       1.969e-05          0.2944        0
  158            60460       1.969e-05          0.1873        0
  159            60840       1.968e-05          0.1606        0
  160            61220       1.968e-05          0.1071        1
  161            61600       1.968e-05          0.2078        0
  162            61980       1.968e-05          0.1326        0
  163            62360       1.968e-05          0.1338        0
  164            62740       1.968e-05          0.1071        0
  165            63120       1.968e-05          0.1606        0
  166            63500       1.968e-05          0.1338        1
  167            63880       1.968e-05          0.1848        2
  168            64260       1.968e-05         0.05229        0
  169            64640       1.968e-05         0.07654        0
  170            65020       1.967e-05         0.02678        0
  171            65400       1.967e-05         0.08029        0
  172            65780       1.967e-05          0.1083        0
  173            66160       1.967e-05          0.1624        0
  174            66540       1.967e-05          0.1351        0
  175            66920       1.967e-05          0.1089        0
  176            67300       1.967e-05          0.1357        0
  177            67680       1.967e-05          0.1089        0
  178            68060       1.967e-05         0.05479        0
  179            68440       1.967e-05          0.2185        0
ga stopped because the average change in the fitness value is less than options.FunctionTolerance.

=== PEB_B Optimization Complete ===
Final best PEB_B: 0.000020 m
Total generations: 179

Optimal LED orientations (PEB_B-optimized):
LED 1: θ = 0.00°, ρ = 0.00°
LED 2: θ = 26.30°, ρ = 90.68°
LED 3: θ = 65.49°, ρ = 239.51°
LED 4: θ = 55.04°, ρ = 359.58°
LED 5: θ = 65.35°, ρ = 300.27°
LED 6: θ = 20.05°, ρ = 270.24°
LED 7: θ = 67.37°, ρ = 57.22°
LED 8: θ = 67.63°, ρ = 122.68°
LED 9: θ = 54.91°, ρ = 180.78°

--------------------------------------------------
PEB_B OPTIMIZATION RESULTS FOR K = 9 (LED 1 fixed nadir)
--------------------------------------------------
Execution time: 1348.58 seconds (22.5 min)
Best objective (lexicographic cov+acc): 0.000020
Exit flag: 1
Coverage (PEB_B<=10.0 cm): 100.0% | among covered: RMS=2.32 cm, median=1.74 cm, mean=1.96 cm, P90=3.63 cm

Optimal LED orientations (PEB_B-optimized, LED 1 = nadir):
  LED 1: theta =   0.00 deg, rho =   0.00 deg -> n_t = [ 0.000,  0.000, -1.000]  (FIXED nadir)
  LED 2: theta =  26.30 deg, rho =  90.68 deg -> n_t = [-0.005,  0.443, -0.896]
  LED 3: theta =  65.49 deg, rho = 239.51 deg -> n_t = [-0.462, -0.784, -0.415]
  LED 4: theta =  55.04 deg, rho = 359.58 deg -> n_t = [ 0.819, -0.006, -0.573]
  LED 5: theta =  65.35 deg, rho = 300.27 deg -> n_t = [ 0.458, -0.785, -0.417]
  LED 6: theta =  20.05 deg, rho = 270.24 deg -> n_t = [ 0.001, -0.343, -0.939]
  LED 7: theta =  67.37 deg, rho =  57.22 deg -> n_t = [ 0.500,  0.776, -0.385]
  LED 8: theta =  67.63 deg, rho = 122.68 deg -> n_t = [-0.499,  0.778, -0.381]
  LED 9: theta =  54.91 deg, rho = 180.78 deg -> n_t = [-0.818, -0.011, -0.575]

Orientation vector (copy-paste ready):
orientations_fixedNadir_K9 = [0.00,0.00,26.30,90.68,65.49,239.51,55.04,359.58,65.35,300.27,20.05,270.24,67.37,57.22,67.63,122.68,54.91,180.78];

Optimization completed at: 27-Jul-2026 12:17:56
