Angular_Displacement_Degrees,Relative_Intensity_Percent
-90.0,1.8072289156626509
-90.0,2.008032128514059
-90.0,1.6064257028112428
-90.0,1.4056224899598346
-89.80044345898004,1.8072289156626509
-89.80044345898004,2.008032128514059
-89.80044345898004,1.2048192771084376
-89.80044345898004,1.4056224899598346
-89.60088691796008,1.6064257028112428
-89.60088691796008,1.8072289156626509
-89.60088691796008,2.008032128514059
-89.60088691796008,1.4056224899598346
-89.40133037694014,1.4056224899598346
-89.40133037694014,1.8072289156626509
-89.40133037694014,2.008032128514059
-89.40133037694014,1.6064257028112428
-89.20177383592018,1.4056224899598346
-89.20177383592018,1.8072289156626509
-89.20177383592018,2.008032128514059
-89.20177383592018,1.6064257028112428
-89.00221729490022,2.008032128514059
-89.00221729490022,1.8072289156626509
-89.00221729490022,1.6064257028112428
-89.00221729490022,1.4056224899598346
-88.80266075388026,1.6064257028112428
-88.80266075388026,1.8072289156626509
-88.80266075388026,2.008032128514059
-88.80266075388026,1.4056224899598346
-88.60310421286032,1.6064257028112428
-88.60310421286032,2.008032128514059
-88.60310421286032,1.8072289156626509
-88.60310421286032,1.4056224899598346
-88.60310421286032,2.208835341365467
-88.40354767184036,1.8072289156626509
-88.40354767184036,1.6064257028112428
-88.40354767184036,2.008032128514059
-88.40354767184036,1.4056224899598346
-88.40354767184036,2.208835341365467
-88.2039911308204,1.6064257028112428
-88.2039911308204,2.208835341365467
-88.2039911308204,1.4056224899598346
-88.2039911308204,1.8072289156626509
-88.2039911308204,2.008032128514059
-88.00443458980044,2.208835341365467
-88.00443458980044,1.4056224899598346
-88.00443458980044,1.8072289156626509
-88.00443458980044,1.6064257028112428
-88.00443458980044,2.008032128514059
-87.8048780487805,1.4056224899598346
-87.8048780487805,1.6064257028112428
-87.8048780487805,2.008032128514059
-87.8048780487805,1.8072289156626509
-87.8048780487805,2.208835341365467
-87.60532150776054,2.208835341365467
-87.60532150776054,1.6064257028112428
-87.60532150776054,2.008032128514059
-87.60532150776054,1.8072289156626509
-87.60532150776054,1.4056224899598346
-87.40576496674058,2.008032128514059
-87.40576496674058,1.8072289156626509
-87.40576496674058,1.4056224899598346
-87.40576496674058,1.6064257028112428
-87.40576496674058,2.208835341365467
-87.20620842572062,2.208835341365467
-87.20620842572062,1.8072289156626509
-87.20620842572062,1.6064257028112428
-87.20620842572062,2.008032128514059
-87.00665188470066,1.8072289156626509
-87.00665188470066,2.208835341365467
-87.00665188470066,1.6064257028112428
-87.00665188470066,2.008032128514059
-86.80709534368071,2.008032128514059
-86.80709534368071,2.208835341365467
-86.80709534368071,1.6064257028112428
-86.80709534368071,1.8072289156626509
-86.60753880266076,2.008032128514059
-86.60753880266076,2.208835341365467
-86.60753880266076,1.6064257028112428
-86.60753880266076,1.8072289156626509
-86.4079822616408,2.208835341365467
-86.4079822616408,1.6064257028112428
-86.4079822616408,1.8072289156626509
-86.4079822616408,2.008032128514059
-86.20842572062084,2.008032128514059
-86.20842572062084,1.6064257028112428
-86.20842572062084,1.8072289156626509
