Angular_Displacement_Degrees,Relative_Intensity_Percent
-90,1.7068273092369468
-89,1.8072289156626509
-88,1.8072289156626509
-87,1.8072289156626509
-86,2.008032128514059
-85,2.008032128514059
-84,2.208835341365467
-83,2.208835341365467
-82,2.208835341365467
-81,2.108433734939763
-80,2.208835341365467
-79,2.208835341365467
-78,2.208835341365467
-77,2.409638554216864
-76,2.610441767068272
-75,2.8112449799196804
-74,3.212851405622485
-73,3.4136546184738936
-72,3.81526104417671
-71,4.016064257028118
-70,4.417670682730924
-69,4.618473895582332
-68,4.81927710843374
-67,5.020080321285136
-66,5.421686746987953
-65,5.823293172690757
-64,6.2248995983935735
-63,6.827309236947787
-62,7.2289156626506035
-61,7.831325301204817
-60,8.232931726907633
-59,8.433734939759042
-58,8.634538152610439
-57,9.43775100401606
-56,11.24497991967871
-55,13.654618473895583
-54,16.867469879518072
-53,20.68273092369478
-52,24.89959839357429
-51,29.11646586345381
-50,32.93172690763052
-49,36.44578313253012
-48,39.75903614457831
-47,43.172690763052216
-46,46.58634538152611
-45,50.20080321285141
-44,53.6144578313253
-43,56.62650602409638
-42,59.43775100401607
-41,62.14859437751004
-40,64.65863453815261
-39,66.86746987951807
-38,68.87550200803213
-37,70.68273092369478
-36,72.28915662650603
-35,73.89558232931726
-34,75.50200803212851
-33,76.90763052208835
-32,78.3132530120482
-31,79.51807228915662
-30,80.72289156626506
-29,81.92771084337349
-28,82.93172690763052
-27,83.93574297188755
-26,84.93975903614458
-25,85.94377510040161
-24,86.94779116465863
-23,87.85140562248996
-22,88.65461847389558
-21,89.5582329317269
-20,90.16064257028113
-19,90.76305220883532
-18,91.46586345381526
-17,92.1686746987952
-16,92.9718875502008
-15,93.574297188755
-14,94.37751004016064
-13,95.18072289156626
-12,95.78313253012048
-11,96.3855421686747
-10,96.98795180722892
-9,97.59036144578312
-8,97.99196787148594
-7,98.49397590361446
-6,98.89558232931725
-5,99.09638554216866
-4,99.3975903614458
-3,99.3975903614458
-2,99.59839357429718
-1,99.59839357429718
0,99.6987951807229
1,99.59839357429718
2,99.49799196787149
3,99.3975903614458
4,99.19678714859438
5,98.99598393574296
6,98.79518072289156
7,98.39357429718876
8,97.89156626506022
9,97.38955823293172
10,96.78714859437753
11,96.3855421686747
12,95.78313253012048
13,94.97991967871486
14,94.17670682730925
15,93.4738955823293
16,92.7710843373494
17,91.96787148594376
18,91.26506024096386
19,90.56224899598394
20,89.95983935742971
21,89.35742971887551
22,88.45381526104418
23,87.55020080321285
24,86.64658634538152
25,85.64257028112449
26,84.73895582329317
27,83.63453815261045
28,82.63052208835342
29,81.52610441767068
30,80.52208835341365
31,79.31726907630522
32,77.91164658634538
33,76.50602409638554
34,75.1004016064257
35,73.49397590361446
36,71.88755020080322
37,70.28112449799198
38,68.47389558232932
39,66.46586345381526
40,64.05622489959839
41,61.44578313253012
42,58.73493975903614
43,55.82329317269077
44,52.71084337349397
45,49.19678714859438
46,45.68273092369478
47,42.36947791164659
48,38.955823293172685
49,35.54216867469879
50,31.92771084337349
51,28.112449799196792
52,23.795180722891565
53,19.477911646586342
54,16.06425702811245
55,13.05220883534136
56,10.642570281124495
57,9.236947791164663
58,8.634538152610439
59,8.433734939759042
60,8.032128514056225
61,7.630522088353409
62,7.2289156626506035
63,6.62650602409639
64,6.2248995983935735
65,5.622489959839361
66,5.2208835341365445
67,5.020080321285136
68,4.81927710843374
69,4.618473895582332
70,4.216867469879515
71,4.016064257028118
72,3.6144578313253017
73,3.4136546184738936
74,3.0120481927710885
75,2.8112449799196804
76,2.610441767068272
77,2.409638554216864
78,2.208835341365467
79,2.208835341365467
80,2.108433734939763
81,2.108433734939763
82,2.208835341365467
83,2.208835341365467
84,2.208835341365467
85,2.008032128514059
86,2.008032128514059
87,1.8072289156626509
88,1.8072289156626509
89,1.7068273092369468
90,1.6064257028112428
