Case,Area_mm2,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,5,39.3491465172972,39.3491465172972,100
1,5.38884577076006,36.5098095132043,36.5098095132043,100
1,5.80793174820771,33.8753520385636,33.8753520385636,100
1,6.25960968763844,31.430990493708,31.430990493708,100
1,6.74641423836782,29.1630080269257,29.1630080269257,100
1,7.27107716724477,27.0586775605683,27.0586775605683,100
1,7.8365426883154,25.1061903714047,25.1061903714047,100
1,8.44598398466182,23.29458982444,23.29458982444,100
1,9.1028210151304,21.6137098883371,21.6137098883371,100
1,9.81073970587425,20.0541180874143,20.0541180874143,100
1,10.5737126344056,18.6070625700852,18.6070625700852,100
1,11.3960213222298,17.2644229967086,17.2644229967086,100
1,12.2822802611579,16.0186649712501,16.0186649712501,100
1,13.2374628081261,14.8627977610415,14.8627977610415,100
1,14.2669290938328,13.7903350673786,13.7903350673786,100
1,15.3764561018069,12.795258626815,12.795258626815,100
1,16.5722700866999,11.8719844388962,11.8719844388962,100
1,17.8610815137213,11.0153314308174,11.0153314308174,100
1,19.2501227152835,10.2204923831619,10.2204923831619,100
1,20.7471884761735,9.48300695356544,9.48300695356544,100
1,22.3606797749979,8.79873664692758,8.79873664692758,100
1,24.0996509273635,8.16384159170933,8.16384159170933,100
1,25.9738603953433,7.57475899199642,7.57475899199642,100
1,26.4,7.45248987070024,7.45248987070024,100
1,27.9938255483516,7.02818313440808,7.02818313440808,100
1,30.1708816827258,6.52104683765778,6.52104683765778,100
1,32.5172456312118,6.05050424066789,6.05050424066789,100
1,35.0460843193044,5.61391483265117,5.61391483265117,100
1,37.7715886531567,5.20882863554227,5.20882863554227,100
1,40.7090531536905,4.83297245562811,4.83297245562811,100
1,43.8749617837822,4.48423712722664,4.48423712722664,100
1,47.2870804501588,4.16066567683025,4.16066567683025,100
1,50.9645566990858,3.86044234129512,3.86044234129512,100
1,54.9280271653059,3.58188237845098,3.58188237845098,100
1,59.1997333771905,3.32342261295204,3.32342261295204,100
1,63.8036465679591,3.08361266431577,3.08361266431577,100
1,68.7656021933632,2.86110680792489,2.86110680792489,100
1,74.1134449106948,2.65465642331916,2.65465642331916,100
1,79.8771848326912,2.46310298739978,2.46310298739978,100
1,86.0891659331735,2.28537157322688,2.28537157322688,100
1,92.7842475494485,2.12046481792755,2.12046481792755,100
1,100,1.96745732586486,1.96745732586486,100
2,5,7.47373633853047,7.47373633853047,100
2,5.38884577076006,6.93445002553521,6.93445002553521,100
2,5.80793174820771,6.43407727788538,6.43407727788538,100
2,6.25960968763844,5.96981018903599,5.96981018903599,100
2,6.74641423836782,5.53904346402736,5.53904346402736,100
2,7.27107716724477,5.1393597995347,5.1393597995347,100
2,7.8365426883154,4.76851631885711,4.76851631885711,100
2,8.44598398466182,4.42443198572423,4.42443198572423,100
2,9.1028210151304,4.10517592629136,4.10517592629136,100
2,9.81073970587425,3.80895659379054,3.80895659379054,100
2,10.5737126344056,3.53411171503366,3.53411171503366,100
2,11.3960213222298,3.27909896235089,3.27909896235089,100
2,12.2822802611579,3.04248729861905,3.04248729861905,100
2,13.2374628081261,2.82294894681123,2.82294894681123,100
2,14.2669290938328,2.61925193900388,2.61925193900388,100
2,15.3764561018069,2.43025320302909,2.43025320302909,100
2,16.5722700866999,2.25489214797691,2.25489214797691,100
2,17.8610815137213,2.09218471255198,2.09218471255198,100
2,19.2501227152835,1.94121784288594,1.94121784288594,100
2,20.7471884761735,1.80114436881736,1.80114436881736,100
2,22.3606797749979,1.67117824988645,1.67117824988645,100
2,24.0996509273635,1.55059016436719,1.55059016436719,100
2,25.9738603953433,1.43870341658385,1.43870341658385,100
2,26.4,1.41548036714592,1.41548036714592,100
2,27.9938255483516,1.33489013954553,1.33489013954553,100
2,30.1708816827258,1.23856777158911,1.23856777158911,100
2,32.5172456312118,1.14919578725893,1.14919578725893,100
2,35.0460843193044,1.06627266407816,1.06627266407816,100
2,37.7715886531567,0.989333068190377,0.989333068190377,100
2,40.7090531536905,0.917945243078314,0.917945243078314,100
2,43.8749617837822,0.85170858670617,0.85170858670617,100
2,47.2870804501588,0.790251403489363,0.790251403489363,100
2,50.9645566990858,0.733228818476561,0.733228818476561,100
2,54.9280271653059,0.680320842039189,0.680320842039189,100
2,59.1997333771905,0.631230574208134,0.631230574208134,100
2,63.8036465679591,0.585682538581081,0.585682538581081,100
2,68.7656021933632,0.543421136450964,0.543421136450964,100
