K_3,K_4,K_5,K_6,K_7,K_8,K_9
0.188275131872594,0.206447844856079,0.299010861170285,0.0693108493128762,0.0936535028690716,0.0444308285792782,0.118100235586611
0.186162109205892,0.197632230468719,0.290336412127876,0.0676068128726136,0.0913992336768965,0.0432959682334054,0.115170829285487
0.184139842324246,0.18921693986504,0.281913206606474,0.0659525786596855,0.0892120047988277,0.042196410120814,0.112278239610796
0.182206738588602,0.181184628820509,0.273734220164747,0.0643469190517415,0.0870901370544932,0.0411312109140843,0.109422399966118
0.180361089686362,0.173518617790716,0.265792622428165,0.0627886337476158,0.0850319900925158,0.0400994505185567,0.106603394163162
0.178601043644703,0.166202874614549,0.258081773858228,0.0612765493975247,0.0830359617565966,0.0391002317734587,0.103821453257781
0.176924572621026,0.159221996937595,0.250595222504812,0.0598095192366265,0.0811004874551381,0.0381326801512936,0.10107695038138
0.175329435983505,0.152561194439905,0.243326700736472,0.0583864227219858,0.0792240395341253,0.0371959434559908,0.0983703935238723
0.173813138189641,0.146206270945218,0.236270121944796,0.057006165172989,0.0774051266529607,0.036289191520308,0.0957024162763336
0.172372880990417,0.140143606482323,0.229419577217483,0.055667677415253,0.0756422931629019,0.0354116159029748,0.0930737665975364
0.171005509540805,0.134360139362686,0.222769331975321,0.0543699154280747,0.0739341184877521,0.0345624295860533,0.0904852937263743
0.169707452099511,0.128843348332531,0.216313822567677,0.0531118599954664,0.0722792165064227,0.0337408666729916,0.0879379334195687
0.168474653167968,0.123581234851542,0.210047652821408,0.0518925163608225,0.0706762349369547,0.0329461820878349,0.0854326917481204
0.167302500173562,0.118562305544935,0.203965590538067,0.0507109138852662,0.0691238547215581,0.0321776512760541,0.0829706277344187
0.166185744169197,0.11377555487041,0.198062563935063,0.0495661057097198,0.0676207894122312,0.0314345699074476,0.0805528351519749
0.165118415530093,0.109210448036528,0.192333658026336,0.0484571684207503,0.0661657845564507,0.0307162535815629,0.0781804238396902
0.164093736310146,0.10485690420446,0.186774110938998,0.0473832017202332,0.0647576170824399,0.0300220375360821,0.0758545009004381
0.163104031802882,0.100705280000843,0.18137931016353,0.0463433280988851,0.0633950946834721,0.0293512763586077,0.0735761521589023
0.162140644960568,0.0967463533653938,0.176144788735422,0.0453366925137107,0.0620770552006615,0.0287033437022838,0.0713464242455382
0.161193858667272,0.0929713077533227,0.17106622134798,0.0443624620694138,0.0608023660036502,0.0280776320056802,0.0691663076527542
0.160252832420707,0.0893717167091705,0.166139420396729,0.0434198257038151,0.0595699233686235,0.0274735522173653,0.0670367210771129
0.159305561696662,0.0859395288255768,0.161360331957569,0.0425079938773306,0.0583786518530213,0.0268905335255901,0.0649584973190399
0.158338870030675,0.0826670530976686,0.156725031702281,0.0416261982665498,0.0572275036663524,0.0263280230935035,0.0629323709615897
0.157338445460626,0.0795469446811464,0.152229720756567,0.0407736914619649,0.056115458036491,0.0257854858003154,0.0609589679945797
0.156288934141667,0.0765721910598026,0.147870721507307,0.0399497466698932,0.0550415205708418,0.0252624039888269,0.0590387974924766
0.155174104285138,0.0737360986261064,0.143644473367918,0.0391536574186399,0.0540047226118023,0.024758277219741,0.0571722453964967
0.15397709261273,0.0710322796765588,0.139547528511541,0.0383847372689438,0.0530041205859381,0.0242726220331737,0.0553595703956599
0.152680742751027,0.0684546398218319,0.13557654758423,0.0376423195287468,0.0520387953463667,0.0238049717177802,0.053600901850259
0.15126803996551,0.0659973658101963,0.131728295411268,0.0369257569723337,0.0511078515078841,0.0233548760879184,0.0518962396558821
0.149722639085715,0.063654913761365,0.127999636711434,0.0362344215638767,0.0502104167744417,0.0229219012692717,0.0502454559080765
0.14802947250442,0.0614219978067501,0.124387531835071,0.0355677041854292,0.0493456412586984,0.0225056294933567,0.0486482981975715
0.146175413372957,0.0592935791310361,0.120889032542886,0.0349250143694029,0.0485126967934612,0.022105658901348,0.0471043943440606
0.144149956838152,0.0572648554091248,0.11750127784322,0.0343057800355659,0.0477107762350181,0.0217216033576562,0.0456132583626231
0.141945871266729,0.0553312506317105,0.114221489905866,0.0337094472325968,0.0469390927585068,0.0213530922737024,0.0441742974505495
0.139559764177328,0.0534884053120786,0.111046970070711,0.033135479884226,0.0461968791457013,0.0209997704423407,0.0427868197827989
0.136992506302278,0.0517321670661994,0.10797509496943,0.0325833595399967,0.045483387065841,0.0206612978833871,0.0414500429106406
0.13424946344795,0.0500585815576979,0.10500331277785,0.0320525851306761,0.0447978863504101,0.0203373497007249,0.0401631025691796
0.131340499990217,0.048463883798929,0.102129139615812,0.0315426727283419,0.0441396642631186,0.0200276159514662,0.0389250617143322
0.128279738682525,0.0469444897990866,0.0993501561103198,0.0310531553111724,0.0435080247667095,0.0197318015276609,0.0377349196273561
0.125085086116313,0.0454969885500579,0.0966640041362214,0.0305835825329645,0.0429022877886337,0.0194496260510572,0.0365916209442647
0.121777557717957,0.0441181343405646,0.094068383747055,0.0301335204974013,0.0423217884881211,0.0191808237814326,0.0354940644874861
0.11838045646,0.042804839389041,0.0915610503066828,0.0297025515370929,0.0417658765276763,0.0189251435390275,0.0344411117971923
0.114918472194885,0.0415541667856344,0.089139811830303,0.0292902739974103,0.0412339153526126,0.0186823486416306,0.0334315952792337
0.111416771977795,0.0403633237337139,0.0868025265410211,0.0288963020251309,0.0407252814828145,0.0184522168568811,0.0324643259050581
0.107900146144466,0.0392296550812984,0.084547100645904,0.0285202653619172,0.0402393638215905,0.018234540370372,0.0315381004160302
0.104392262143699,0.0381506371328807,0.0823714863329145,0.0281618091426457,0.0397755629871083,0.0180291257701549,0.0306517079999582
0.100915061126911,0.0371238717322228,0.0802736799877838,0.0278205936986061,0.0393332906726156,0.0178357940482695,0.0298039364212492
0.0974883142347726,0.0361470806068158,0.0782517206274778,0.0274962943655905,0.0389119690423073,0.0176543806199372,0.0289935775978981
0.0941293390962582,0.0352180999648458,0.0763036885446705,0.0271886012968934,0.0385110301703648,0.0174847353610828,0.0282194326284938
0.0908528640795569,0.0343348753356667,0.0744277041555532,0.0268972192812466,0.0381299155313166,0.0173267226648678,0.027480316280679
0.0876710191160739,0.0334954566449649,0.0726219270413807,0.0266218675657127,0.0377680755504107,0.0171802215179393,0.0267750609591345
0.0845934274028536,0.0326979935159931,0.0708845551725089,0.0263622796835674,0.0374249692231437,0.0170451255971249,0.0261025201763134
0.0816273713292231,0.0319407307884557,0.0692138243022021,0.0261182032872035,0.0371000638134112,0.0169213433873208,0.0254615715529943
0.0787780076339269,0.0312220042468419,0.0676080075163712,0.0258893999860918,0.0367928346398947,0.0168087983213474,0.0248511193783945
0.076048610100949,0.0305402365502273,0.066065414924468,0.0256756451898463,0.036502764960244,0.0167074289425641,0.0242700967612648
0.0734408221893264,0.0298939333557862,0.0645843934761765,0.02547672795644,0.036229345962316,0.0166171890910603,0.0237174674042205
0.0709549062105558,0.029281679628495,0.0631633268882138,0.0252924508456304,0.0359720768711482,0.0165380481142576,0.0231922270336934
0.0685899795800812,0.0287021361297335,0.061800635665442,0.025122629777662,0.0357304651794426,0.0164699911027768,0.0226934045174548
