1.08662192186852e-08,5.953486425907e-09,1.35572223840557e-07,1.11211430083061e-08,-1.5,-1.5
1.38269196778787e-08,5.52711019351823e-09,1.45918732700056e-07,1.15580799537326e-08,-1.5,-1.4
1.75107681913475e-08,5.73835276568594e-09,1.56919284453805e-07,1.32105795704247e-08,-1.5,-1.3
2.32865526587993e-08,5.76829854688474e-09,1.65929654246987e-07,1.31718945985218e-08,-1.5,-1.2
2.88258590949481e-08,5.94302655519072e-09,1.73814971165448e-07,1.40308905260731e-08,-1.5,-1.1
3.52083355736784e-08,5.95679886372642e-09,1.79108737240363e-07,1.46643485993436e-08,-1.5,-1
4.11423581376751e-08,5.67862134525919e-09,1.83588231705172e-07,1.52187362608081e-08,-1.5,-0.9
5.02808602104663e-08,6.51166692958639e-09,1.85377802523267e-07,1.49181061599245e-08,-1.5,-0.8
5.98742132019532e-08,6.40962433350839e-09,1.85631978231025e-07,1.50439042102756e-08,-1.5,-0.7
6.90046150211173e-08,6.42896337129453e-09,1.84380548091779e-07,1.4924127936029e-08,-1.5,-0.6
8.01309250446321e-08,7.22335779358279e-09,1.79921189880467e-07,1.48668893252097e-08,-1.5,-0.5
9.10922489321063e-08,7.93847798728634e-09,1.73952689236806e-07,1.36672051961304e-08,-1.5,-0.4
1.02030657404421e-07,8.79160943424742e-09,1.65845084463276e-07,1.32369906004006e-08,-1.5,-0.3
1.13449756247349e-07,9.39928008762697e-09,1.56692908749771e-07,1.22578960531244e-08,-1.5,-0.2
1.24613362855013e-07,1.0102546327908e-08,1.4671263145337e-07,1.18300504417434e-08,-1.5,-0.0999999999999999
1.35604828133475e-07,1.10974296754971e-08,1.36624441268483e-07,1.09111861916878e-08,-1.5,0
1.46418865513056e-07,1.16441170503478e-08,1.24546404728707e-07,1.03018434152289e-08,-1.5,0.0999999999999999
1.56717286620136e-07,1.29040858058851e-08,1.13543574896231e-07,8.93576341872945e-09,-1.5,0.2
1.65784849960842e-07,1.33121975483256e-08,1.02166022042522e-07,8.24730247243854e-09,-1.5,0.3
1.73290844431846e-07,1.33654456520438e-08,9.09924721940892e-08,7.66037228269026e-09,-1.5,0.4
1.79525717541024e-07,1.44791338599558e-08,8.04789600007256e-08,7.34854994990241e-09,-1.5,0.5
1.83055811773817e-07,1.45579806351628e-08,7.00522382622123e-08,7.12750902754152e-09,-1.5,0.6
1.86293742339577e-07,1.5142571111694e-08,5.97752471096666e-08,6.43269902888794e-09,-1.5,0.7
1.85863127258151e-07,1.50371878127194e-08,5.07112203828795e-08,6.4175678479953e-09,-1.5,0.8
