2.02103086836924e-08,9.31106068598111e-09,1.25390764040186e-07,2.05060237281298e-08,-1.5,-1.5
2.2953374821973e-08,9.37674385754946e-09,1.36213190321472e-07,2.09269847257521e-08,-1.5,-1.4
2.57578278533691e-08,9.88821392645437e-09,1.47921812989775e-07,2.24016969554414e-08,-1.5,-1.3
3.02582990208148e-08,1.04915134248625e-08,1.57752687931376e-07,2.2316789363933e-08,-1.5,-1.2
3.42702409554661e-08,1.10065699843464e-08,1.66450849336869e-07,2.31740102661526e-08,-1.5,-1.1
3.92619335858335e-08,1.15352186376422e-08,1.72444887153712e-07,2.36663589822392e-08,-1.5,-1
4.43997772057914e-08,1.17580798609822e-08,1.77432769134229e-07,2.41534107416183e-08,-1.5,-0.9
5.01414927848723e-08,1.3481107919229e-08,1.79488394718486e-07,2.3852509473272e-08,-1.5,-0.8
5.73529301167299e-08,1.38093643249002e-08,1.79742570426244e-07,2.39301520416655e-08,-1.5,-0.7
6.42944564859991e-08,1.44293783908258e-08,1.78225085520835e-07,2.38751778728252e-08,-1.5,-0.6
7.35068556519204e-08,1.56800057548119e-08,1.73257339793817e-07,2.39079325960636e-08,-1.5,-0.5
8.29041584817806e-08,1.68440934307673e-08,1.66588567408227e-07,2.2847275801602e-08,-1.5,-0.4
9.26875644624662e-08,1.7992613947657e-08,1.57668118147665e-07,2.25512493862404e-08,-1.5,-0.3
1.03394839000633e-07,1.88217457985529e-08,1.47695437285741e-07,2.14416056613212e-08,-1.5,-0.2
1.14291071169431e-07,1.94824276123303e-08,1.37007089074786e-07,2.12503678867212e-08,-1.5,-0.0999999999999999
1.25423368333104e-07,2.0447404158592e-08,1.26442981468112e-07,2.03396358190907e-08,-1.5,0
1.36713323134473e-07,2.08605770976105e-08,1.14224113043125e-07,1.96569968753721e-08,-1.5,0.0999999999999999
1.47719815156106e-07,2.22840960298198e-08,1.03488657649516e-07,1.82383848158234e-08,-1.5,0.2
1.57607883645231e-07,2.25780596708464e-08,9.28229291005678e-08,1.72269877656772e-08,-1.5,0.3
1.65926722603267e-07,2.23621982696967e-08,8.28043817437635e-08,1.63751792447688e-08,-1.5,0.4
1.72861867454373e-07,2.35078915175785e-08,7.38548906080139e-08,1.58400800777875e-08,-1.5,0.5
1.76900349202874e-07,2.34474299205573e-08,6.53420797270941e-08,1.51391029251732e-08,-1.5,0.6
1.80404334534795e-07,2.40851594136932e-08,5.72539640244433e-08,1.39525608833541e-08,-1.5,0.7
1.79973719453369e-07,2.39842683208854e-08,5.05718529572855e-08,1.34102605674148e-08,-1.5,0.8
1.77646530806644e-07,2.42181463055655e-08,4.45439899736314e-08,1.2424674950712e-08,-1.5,0.9
1.72510584521127e-07,2.33780263923681e-08,3.88923384716031e-08,1.15214023888222e-08,-1.5,1
1.65682183417358e-07,2.34123434875707e-08,3.429690034342e-08,1.12467473526021e-08,-1.5,1.1
1.57655507101051e-07,2.30740384148844e-08,2.99326718130598e-08,1.01261072577375e-08,-1.5,1.2
1.48268254753813e-07,2.15675418318429e-08,2.58561337379432e-08,9.99536803507857e-09,-1.5,1.3
1.37289372545486e-07,2.14186181447379e-08,2.35504414532298e-08,9.0994427425683e-09,-1.5,1.4
1.25539268397795e-07,2.0890989889468e-08,2.10187596913195e-08,8.82560271322221e-09,-1.5,1.5
2.14169378309922e-08,9.04076429172927e-09,1.36672006423448e-07,2.26109600176236e-08,-1.4,-1.5
