Tilt_deg,FOV_deg,LightCoverage_percent,RegularCoverage_percent,PotentialCoverage_percent,TargetCoverage_percent,RMS_full_cm,Nonregular_percent
0,30,33.0515638207946,0,0,0,Inf,0
0.5,30,33.7278106508876,33.0515638207946,34.4040574809806,0,Inf,0
1,30,35.7565511411665,32.3753169907016,35.7565511411665,1.0989010989011,Inf,0
2,30,37.447168216399,30.3465765004227,37.447168216399,3.63482671174979,Inf,0
3,30,41.1665257819104,29.3322062552832,42.8571428571429,6.08622147083686,Inf,0
5,30,46.2383770076078,27.6415891800507,46.2383770076078,10.9044801352494,Inf,0
10,30,58.748943364328,22.2316145393068,63.4826711749789,17.8360101437025,Inf,0
20,30,76.3313609467456,9.04480135249366,84.4463229078614,9.04480135249366,Inf,0
30,30,87.8275570583263,0,97.9712595097211,0,Inf,0.591715976331361
40,30,87.9120879120879,0,100,0,Inf,0
0,45,74.9788672865596,0,0,0,Inf,1.69061707523246
0.5,45,76.3313609467456,73.6263736263736,76.3313609467456,0,Inf,0
1,45,77.6838546069315,73.6263736263736,78.3601014370245,1.77514792899408,Inf,0
2,45,79.0363482671175,72.2738799661877,80.3888419273035,7.69230769230769,Inf,0
3,45,81.0650887573965,70.9213863060017,81.0650887573965,12.8486897717667,Inf,0
5,45,83.0938292476754,69.9070160608622,84.4463229078614,22.4006762468301,Inf,0
10,45,90.8706677937447,61.7920540997464,92.5612848689772,40.4902789518174,Inf,0
20,45,97.6331360946746,45.5621301775148,100,43.1952662721894,Inf,0
30,45,99.6618765849535,22.9078613693998,100,22.9078613693998,Inf,0
40,45,100,6.33981403212172,100,6.33981403212172,Inf,0
0,60,97.9712595097211,0,0,0,Inf,0
0.5,60,97.9712595097211,97.9712595097211,97.9712595097211,0,Inf,0
1,60,98.3093829247675,97.6331360946746,98.9856297548605,1.77514792899408,Inf,0
2,60,98.9856297548605,96.9568892645816,98.9856297548605,7.69230769230769,Inf,0
3,60,98.9856297548605,96.9568892645816,99.6618765849535,14.8774302620456,Inf,0
5,60,99.6618765849535,95.6043956043956,100,29.5012679628064,Inf,0
10,60,100,92.5612848689772,100,62.4683009298394,Inf,0
20,60,100,83.0938292476754,100,81.0650887573965,Inf,0
30,60,100,67.5401521555368,100,67.5401521555368,Inf,0
40,60,100,44.8858833474218,100,44.8858833474218,Inf,0
0,65,100,0,0,0,Inf,0
0.5,65,100,99.6618765849535,100,0,Inf,0
1,65,100,99.6618765849535,100,1.77514792899408,Inf,0
2,65,100,99.6618765849535,100,7.69230769230769,Inf,0
3,65,100,99.6618765849535,100,14.8774302620456,Inf,0
5,65,100,98.9856297548605,100,29.5012679628064,Inf,0
10,65,100,97.6331360946746,100,67.2020287404903,Inf,0
20,65,100,89.8562975486052,100,88.5038038884193,Inf,1.01437024513948
30,65,100,78.698224852071,100,78.698224852071,Inf,0
40,65,100,59.7633136094675,100,59.7633136094675,Inf,0
0,70,100,0,0,0,Inf,0
0.5,70,100,100,100,0,36.7347382592621,0
1,70,100,100,100,1.77514792899408,18.3683056557541,0
2,70,100,100,100,7.69230769230769,9.18602650299342,0
3,70,100,100,100,14.8774302620456,6.12610100806346,0
5,70,100,100,100,29.5012679628064,3.67966809038796,0
10,70,100,99.6618765849535,100,68.8926458157227,Inf,0
20,70,100,96.2806424344886,100,94.9281487743026,Inf,0
30,70,100,86.8131868131868,100,86.8131868131868,Inf,0
40,70,100,73.2882502113271,100,73.2882502113271,Inf,0
0,75,100,0,0,0,Inf,0
0.5,75,100,100,100,0,36.7347382592621,0
1,75,100,100,100,1.77514792899408,18.3683056557541,0
2,75,100,100,100,7.69230769230769,9.18602650299342,0
3,75,100,100,100,14.8774302620456,6.12610100806346,0
5,75,100,100,100,29.5012679628064,3.67966809038796,0
10,75,100,100,100,68.8926458157227,1.84930348425148,0
20,75,100,98.647506339814,100,97.2950126796281,Inf,0
30,75,100,93.5756551141167,100,93.5756551141167,Inf,1.01437024513948
40,75,100,84.4463229078614,100,84.4463229078614,Inf,0
0,85,100,0,0,0,Inf,0
0.5,85,100,100,100,0,36.7347382592621,0
1,85,100,100,100,1.77514792899408,18.3683056557541,0
2,85,100,100,100,7.69230769230769,9.18602650299342,0
3,85,100,100,100,14.8774302620456,6.12610100806346,0
5,85,100,100,100,29.5012679628064,3.67966809038796,0
10,85,100,100,100,68.8926458157227,1.84930348425148,0
20,85,100,100,100,98.647506339814,0.944259561962688,0
30,85,100,99.6618765849535,100,99.6618765849535,Inf,0
40,85,100,94.2519019442096,100,94.2519019442096,Inf,1.01437024513948
