Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
LS,0.765108678105021,0.765108678105021,0,0.0355294052938414,0.756814457850814,1.0109593839919,0.759467197822954,0.770750158387089,0.198105159684257,0.155814758950289
GLS,0.765144578974675,0.765144578974675,0,0.035398482008866,0.756814457850814,1.01100682080984,0.759503076371947,0.770786081577402,0.198113550146338,0.155831751429174
WLS,0.993135866197026,0.993135866197026,0,0.175813363901145,0.756814457850814,1.31225805201623,0.985398045406937,1.00087368698712,0.255987045902519,0.226316192993485
NLS,0.765108678105021,0.765108678105021,0,0.0355294052938414,0.756814457850814,1.0109593839919,0.759467197822954,0.770750158387089,0.198105159684257,0.155814758950289
