TrueAsymmetry,CalibratedPattern,Method,RMSE_full_cm,RMSE_success_cm,Failure_percent,RMS_bias_cm,RMS_PEB_cm,RMSE_success_over_PEB,MC_CI95_low_cm,MC_CI95_high_cm,DirectionRMSE_deg,RangeRMSE_cm
0,0,LS,0.796857563421659,0.796857563421659,0,0.0639717734762642,0.781887864060648,1.01914558346419,0.781826791073555,0.811888335769763,0.204885179444915,0.183400103974469
0,0,GLS,0.796824135667161,0.796824135667161,0,0.0628794031341292,0.781887864060648,1.01910283084449,0.781796014382338,0.811852256951984,0.204879247307855,0.183387047482159
0,0,WLS,1.05176952451166,1.05176952451166,0,0.160574962154368,0.781887864060648,1.3451667084963,1.03167746199834,1.07186158702498,0.269522954330974,0.264620651843576
0,0,NLS,0.796857563421659,0.796857563421659,0,0.0639717734762642,0.781887864060648,1.01914558346419,0.781826791073555,0.811888335769763,0.204885179444915,0.183400103974469
0.1,0,LS,0.86835544248126,0.86835544248126,0,0.350828523739034,0.781992115688871,1.11044015030293,0.854483278670655,0.882227606291865,0.204893904236407,0.390684831270493
0.1,0,GLS,0.868324949172992,0.868324949172992,0,0.350631386113705,0.781992115688871,1.11040115590944,0.854455335017915,0.882194563328069,0.204887912758818,0.390679710304628
0.1,0,WLS,1.10985551772266,1.10985551772266,0,0.388987758448626,0.781992115688871,1.41926688959641,1.09072818614789,1.12898284929743,0.269514406615368,0.442368291522654
0.1,0,NLS,0.86835544248126,0.86835544248126,0,0.350828523739034,0.781992115688871,1.11044015030293,0.854483278670655,0.882227606291865,0.204893904236407,0.390684831270493
0.2,0,LS,1.05298214385305,1.05298214385305,0,0.691156289804776,0.782304860711167,1.34599974605273,1.04138601162631,1.06457827607979,0.204907714971918,0.712232386620003
0.2,0,GLS,1.05295482557389,1.05295482557389,0,0.69105290388989,0.782304860711167,1.34596482580548,1.04136094424157,1.06454870690621,0.204901665179857,0.712226693666043
0.2,0,WLS,1.2620571793502,1.2620571793502,0,0.715696871994839,0.782304860711167,1.6132549377271,1.24507856232825,1.27903579637214,0.26951189550854,0.746162199843815
0.2,0,NLS,1.05298214385305,1.05298214385305,0,0.691156289804776,0.782304860711167,1.34599974605273,1.04138601162631,1.06457827607979,0.204907714971918,0.712232386620003
0.3,0,LS,1.30378464318673,1.30378464318673,0,1.03374230917434,0.782826070011074,1.66548444556565,1.29422188632273,1.31334740005073,0.204926619562498,1.04796866200101
0.3,0,GLS,1.30375894470287,1.30375894470287,0,1.03366857670032,0.782826070011074,1.66545161773218,1.29419811886939,1.31331977053635,0.204920512491282,1.04796048931049
0.3,0,WLS,1.47984239187413,1.47984239187413,0,1.0531870612499,0.782826070011074,1.89038465703268,1.46515934567767,1.49452543807059,0.269515433347137,1.07420492591815
0.3,0,NLS,1.30378464318673,1.30378464318673,0,1.03374230917434,0.782826070011074,1.66548444556565,1.29422188632273,1.31334740005073,0.204926619562498,1.04796866200101
0,1,LS,0.796857563421659,0.796857563421659,0,0.0639717734762642,0.781887864060648,1.01914558346419,0.781826791073555,0.811888335769763,0.204885179444915,0.183400103974469
0,1,GLS,0.796824135667161,0.796824135667161,0,0.0628794031341292,0.781887864060648,1.01910283084449,0.781796014382338,0.811852256951984,0.204879247307855,0.183387047482159
0,1,WLS,1.05176952451166,1.05176952451166,0,0.160574962154368,0.781887864060648,1.3451667084963,1.03167746199834,1.07186158702498,0.269522954330974,0.264620651843576
0,1,NLS,0.796857563421659,0.796857563421659,0,0.0639717734762642,0.781887864060648,1.01914558346419,0.781826791073555,0.811888335769763,0.204885179444915,0.183400103974469
0.1,1,LS,0.796954191050359,0.796954191050359,0,0.0640021947872123,0.781992115688871,1.01913328160388,0.78191975044878,0.811988631651938,0.204893904236407,0.18368889543756
0.1,1,GLS,0.796920531652037,0.796920531652037,0,0.0629078234782706,0.781992115688871,1.01909023846106,0.781888761049738,0.811952302254336,0.204887912758818,0.18367591896745
0.1,1,WLS,1.05177803365736,1.05177803365736,0,0.159761649035159,0.781992115688871,1.34499825836585,1.03170995689942,1.0718461104153,0.269514406615368,0.264807809760865
