HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
30,45,0,Inf,NaN,0,1.69061707523246
30,45,1,Inf,25.0995942885855,72.6120033812341,0
30,45,2,Inf,12.1167281146243,71.4285714285714,0
30,45,3,Inf,7.83966118002902,70.0760777683855,0
30,45,4,Inf,5.77278325790967,67.5401521555368,0
30,45,5,Inf,4.41498777593322,65.5959425190194,0
30,45,6,Inf,3.58020091030792,62.4683009298394,0
30,45,7,Inf,2.90487380497516,59.8478444632291,0
30,45,8,Inf,2.43310776368025,57.9036348267117,0
30,45,9,Inf,2.09867040025915,56.043956043956,0
30,45,10,Inf,1.80962704456576,52.4936601859679,0
30,45,11,Inf,1.52436228734675,49.1969568892646,0
30,45,12,Inf,1.35717444999727,47.5063398140321,0
30,45,13,Inf,1.18098444474215,44.7168216398986,0
30,45,14,Inf,1.01880237174885,41.1665257819104,0
30,45,15,Inf,0.894397322361602,38.6306001690617,0.507185122569738
30,45,16,Inf,0.807772122089683,35.8410819949281,0
30,45,17,Inf,0.670337257928623,33.3051563820795,0
30,45,18,Inf,0.627639495438046,31.1073541842773,0
30,45,19,Inf,0.551049249781268,28.4023668639053,0
30,45,20,Inf,0.492392568100133,26.9653423499577,0
30,45,21,Inf,0.457916497555086,24.0912933220626,0
30,45,22,Inf,0.397410141230331,22.4006762468301,0
30,45,23,Inf,0.36088359475098,20.625528317836,0
30,45,24,Inf,0.335161118029697,18.8503803888419,0
30,45,25,Inf,0.307565525255351,17.0752324598478,0
30,45,26,Inf,0.280669392865845,15.2155536770921,0
30,45,27,Inf,0.258106061478589,13.6939983093829,0
30,45,28,Inf,0.234463395766849,12.341504649197,0
30,45,29,Inf,0.219902602112111,11.3271344040575,0
30,45,30,Inf,0.207725959459998,9.63651732882502,0
30,45,31,Inf,0.198422667273095,8.62214708368555,0
30,45,32,Inf,0.178087926799166,7.69230769230769,0
30,45,33,Inf,0.169330776362454,6.2552831783601,0
