point_id,x,y,z,scan_kind,tilt_cmd_deg,tilt_cmd_az,pose_px,pose_py,pose_pz,pose_qx,pose_qy,pose_qz,pose_qw,nr_incl,nr_az,orientation_id,nt_incl,nt_az,repeat_id,date,time,v_mean,v_median,v_std,n_samples,fs
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,1,16,90,1,2026-08-28,11:08:32,3.0264519,3.0265315,0.0024594183,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,2,16,210,1,2026-08-28,11:08:38,2.0917339,2.0917546,0.0023600076,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,3,16,330,1,2026-08-28,11:08:45,2.9947829,2.9949445,0.0024472811,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,4,60,0,1,2026-08-28,11:08:53,1.1812855,1.1813305,0.0025233949,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,5,64,60,1,2026-08-28,11:09:00,0.82642054,0.82663803,0.0025270355,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,6,64,120,1,2026-08-28,11:09:07,0.31833426,0.31829017,0.0022425215,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,7,60,180,1,2026-08-28,11:09:16,0.22397415,0.22385932,0.0023734077,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,8,64,240,1,2026-08-28,11:09:24,0.24105495,0.24096874,0.0024182361,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,9,64,300,1,2026-08-28,11:09:32,0.33638899,0.33638668,0.0024278435,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,10,0,0,1,2026-08-28,11:09:39,3.0468111,3.0466025,0.0027260188,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,11,60,90,1,2026-08-28,11:09:47,0.65376707,0.65356932,0.0023151337,1000,1000
20260828_110759_1,0.4,0.2,0.5,vertical,0,0,0.688,-0.41,-0.183,0,0,-0.38268428,0.92387918,0,0,12,60,270,1,2026-08-28,11:09:57,0.29097695,0.2909809,0.002430094,1000,1000
20260828_110759_1,0.4,0.2,0.5,tilt,8.9924683,63.284139,0.68283411,-0.40740003,-0.18254523,0.066739764,0.041126127,0.52299636,0.84872213,8.99247,63.2841,1,16,90,1,2026-08-28,11:10:15,2.8520404,2.8524738,0.0029592247,1000,1000
20260828_110759_1,0.4,0.2,0.5,tilt,8.9924683,63.284139,0.68283411,-0.40740003,-0.18254523,0.066739764,0.041126127,0.52299636,0.84872213,8.99247,63.2841,2,16,210,1,2026-08-28,11:10:21,1.9627735,1.9627749,0.0024324327,1000,1000
20260828_110759_1,0.4,0.2,0.5,tilt,8.9924683,63.284139,0.68283411,-0.40740003,-0.18254523,0.066739764,0.041126127,0.52299636,0.84872213,8.99247,63.2841,3,16,330,1,2026-08-28,11:10:28,2.8192702,2.8192416,0.0024816982,1000,1000
20260828_110759_1,0.4,0.2,0.5,tilt,8.9924683,63.284139,0.68283411,-0.40740003,-0.18254523,0.066739764,0.041126127,0.52299636,0.84872213,8.99247,63.2841,4,60,0,1,2026-08-28,11:10:36,1.117829,1.117828,0.0019779272,1000,1000
20260828_110759_1,0.4,0.2,0.5,tilt,8.9924683,63.284139,0.68283411,-0.40740003,-0.18254523,0.066739764,0.041126127,0.52299636,0.84872213,8.99247,63.2841,5,64,60,1,2026-08-28,11:10:43,0.79568702,0.79570939,0.0021869242,1000,1000
20260828_110759_1,0.4,0.2,0.5,tilt,8.9924683,63.284139,0.68283411,-0.40740003,-0.18254523,0.066739764,0.041126127,0.52299636,0.84872213,8.99247,63.2841,6,64,120,1,2026-08-28,11:10:50,0.30663833,0.30677422,0.0022092792,1000,1000
