sample_id,x,y,z,inclinacion,azimuth,mean,median
20251029_162859_1,0.32,0.7,0.75,20,0,3.46052681,3.46123
20251029_162859_1,0.32,0.7,0.75,20,120,4.45191407,4.45226
20251029_162859_1,0.32,0.7,0.75,20,240,3.5725076,3.5731
20251029_162859_10,0.32,0.7,0.75,20,0,3.46942139,3.46979
20251029_162859_10,0.32,0.7,0.75,20,120,4.47185077,4.47266
20251029_162859_10,0.32,0.7,0.75,20,240,3.57384611,3.57442
20251029_162859_11,0.33,0.13,0.75,20,0,3.76259642,3.76361
20251029_162859_11,0.33,0.13,0.75,20,120,3.77650755,3.77742
20251029_162859_11,0.33,0.13,0.75,20,240,4.64451082,4.64506
20251029_162859_12,0.33,0.13,0.75,20,0,3.71828469,3.71886
20251029_162859_12,0.33,0.13,0.75,20,120,3.73556415,3.73564
20251029_162859_12,0.33,0.13,0.75,20,240,4.59724854,4.59769
20251029_162859_13,0.33,0.13,0.75,20,0,3.7779777,3.77841
20251029_162859_13,0.33,0.13,0.75,20,120,3.79790049,3.79815
20251029_162859_13,0.33,0.13,0.75,20,240,4.66914961,4.66941
20251029_162859_14,0.33,0.13,0.75,20,0,3.81045368,3.81164
20251029_162859_14,0.33,0.13,0.75,20,120,3.83330783,3.83336
20251029_162859_14,0.33,0.13,0.75,20,240,4.70887324,4.70955
20251029_162859_15,0.33,0.13,0.75,20,0,3.78180656,3.78269
20251029_162859_15,0.33,0.13,0.75,20,120,3.82688854,3.82777
20251029_162859_15,0.33,0.13,0.75,20,240,4.70161149,4.70264
20251029_162859_16,0.33,0.13,0.75,20,0,3.81013122,3.81099
20251029_162859_16,0.33,0.13,0.75,20,120,3.85915148,3.86001
20251029_162859_16,0.33,0.13,0.75,20,240,4.73032757,4.73094
20251029_162859_17,0.33,0.13,0.75,20,0,3.68010154,3.68036
20251029_162859_17,0.33,0.13,0.75,20,120,3.6926716,3.694015
20251029_162859_17,0.33,0.13,0.75,20,240,4.54524167,4.54603
20251029_162859_18,0.33,0.13,0.75,20,0,3.70265561,3.703885
20251029_162859_18,0.33,0.13,0.75,20,120,3.73916787,3.73959
20251029_162859_18,0.33,0.13,0.75,20,240,4.60303851,4.60427
20251029_162859_19,0.33,0.13,0.75,20,0,3.68898542,3.68925
20251029_162859_19,0.33,0.13,0.75,20,120,3.70843657,3.70899
20251029_162859_19,0.33,0.13,0.75,20,240,4.55002697,4.55063
20251029_162859_2,0.32,0.7,0.75,20,0,3.35908604,3.35989
20251029_162859_2,0.32,0.7,0.75,20,120,4.35488409,4.35585
20251029_162859_2,0.32,0.7,0.75,20,240,3.46894298,3.47011
20251029_162859_20,0.33,0.13,0.75,20,0,3.75131971,3.75209
20251029_162859_20,0.33,0.13,0.75,20,120,3.76884831,3.7692
20251029_162859_20,0.33,0.13,0.75,20,240,4.63620661,4.63684
20251029_162859_21,0.39,0.41,0.75,20,0,4.18360577,4.1841
20251029_162859_21,0.39,0.41,0.75,20,120,4.59012694,4.59094
20251029_162859_21,0.39,0.41,0.75,20,240,4.67222446,4.67303
20251029_162859_22,0.39,0.41,0.75,20,0,4.14793446,4.14857
20251029_162859_22,0.39,0.41,0.75,20,120,4.56928372,4.57038
20251029_162859_22,0.39,0.41,0.75,20,240,4.62108095,4.6217
