Tilt_deg,FOV_deg,LightCoverage_percent,RegularCoverage_percent,PotentialCoverage_percent,TargetCoverage_percent,RMS_full_cm,Nonregular_percent
0,30,33.0515638207946,0,0,0,Inf,0
0.5,30,33.8968723584108,33.7278106508876,34.4040574809806,0.760777683854607,Inf,0
1,30,35.5874894336433,34.4040574809806,35.7565511411665,3.55029585798817,Inf,0
2,30,37.447168216399,36.6018596787828,37.447168216399,7.43871513102282,Inf,0
3,30,42.6880811496196,37.7007607776839,42.8571428571429,10.9044801352494,Inf,0
5,30,46.2383770076078,42.0118343195266,46.2383770076078,18.0050718512257,Inf,0
10,30,61.876584953508,49.3660185967878,63.4826711749789,26.2890955198648,Inf,0
20,30,84.1081994928149,60.7776838546069,84.4463229078614,30.4311073541843,Inf,0
30,30,96.9568892645816,62.8064243448859,97.9712595097211,28.1487743026205,Inf,0.591715976331361
40,30,96.7032967032967,31.4454775993238,100,10.2282333051564,Inf,0
0,45,74.9788672865596,0,0,0,Inf,1.69061707523246
0.5,45,76.3313609467456,75.4860524091293,76.3313609467456,0.760777683854607,Inf,0
1,45,78.3601014370245,76.8385460693153,78.3601014370245,4.90278951817413,Inf,0
2,45,80.3888419273035,78.3601014370245,80.3888419273035,12.8486897717667,Inf,0
3,45,81.0650887573965,79.8816568047337,81.0650887573965,20.0338123415046,Inf,0
5,45,84.4463229078614,81.9103972950127,84.4463229078614,34.5731191885038,Inf,0
10,45,92.0540997464074,86.8131868131868,92.5612848689772,61.6229923922232,Inf,0
20,45,99.8309382924768,93.491124260355,100,69.1462383770076,Inf,0
30,45,100,97.2104818258665,100,71.7666948436179,Inf,0
40,45,100,97.8867286559594,100,66.1031276415892,Inf,0
0,60,97.9712595097211,0,0,0,Inf,0
0.5,60,97.9712595097211,97.9712595097211,97.9712595097211,0.760777683854607,Inf,0
1,60,98.647506339814,98.3093829247675,98.9856297548605,4.90278951817413,Inf,0
2,60,98.9856297548605,98.9856297548605,98.9856297548605,14.8774302620456,Inf,0
3,60,99.4928148774303,98.9856297548605,99.6618765849535,26.1200338123415,Inf,0
5,60,100,99.4928148774303,100,48.9433643279797,Inf,0
10,60,100,100,100,85.7988165680473,1.99642325431463,0
20,60,100,100,100,95.2662721893491,1.11561765907916,0
30,60,100,100,100,95.7734573119188,0.983636717631759,0
40,60,100,100,100,95.7734573119188,1.01398344453977,0
0,65,100,0,0,0,Inf,0
0.5,65,100,100,100,0.760777683854607,24.6578361395467,0
1,65,100,100,100,4.90278951817413,12.4700493679657,0
2,65,100,100,100,14.8774302620456,6.23873242643387,0
3,65,100,100,100,26.1200338123415,4.26596051415735,0
5,65,100,100,100,50.5494505494505,2.59158101279171,0
10,65,100,100,100,88.6728655959425,1.37837714612589,0
20,65,100,99.7464074387151,100,97.8867286559594,Inf,0.253592561284869
30,65,100,100,100,98.3093829247675,0.726552877173759,0
40,65,100,100,100,97.8021978021978,0.769098529677839,0
0,70,100,0,0,0,Inf,0
0.5,70,100,100,100,0.760777683854607,24.4898255061747,0
1,70,100,100,100,4.90278951817413,12.2455371038361,0
2,70,100,100,100,14.8774302620456,6.12401766866227,0
3,70,100,100,100,26.1200338123415,4.08406733870897,0
5,70,100,100,100,50.5494505494505,2.45311206025864,0
10,70,100,100,100,90.1944209636517,1.25126545824798,0
20,70,100,100,100,99.1546914623838,0.701225024662859,0
30,70,100,100,100,99.4928148774303,0.59640184038809,0
40,70,100,100,100,99.323753169907,0.622150791447506,0
0,75,100,0,0,0,Inf,0
0.5,75,100,100,100,0.760777683854607,24.4898255061747,0
1,75,100,100,100,4.90278951817413,12.2455371038361,0
2,75,100,100,100,14.8774302620456,6.12401766866227,0
3,75,100,100,100,26.1200338123415,4.08406733870897,0
5,75,100,100,100,50.5494505494505,2.45311206025864,0
10,75,100,100,100,90.8706677937447,1.23286898950098,0
20,75,100,100,100,100,0.652482795990691,0
30,75,100,99.7464074387151,100,99.4082840236686,Inf,0.253592561284869
40,75,100,100,100,99.8309382924768,0.508739085463358,0
0,85,100,0,0,0,Inf,0
0.5,85,100,100,100,0.760777683854607,24.4898255061747,0
1,85,100,100,100,4.90278951817413,12.2455371038361,0
2,85,100,100,100,14.8774302620456,6.12401766866227,0
3,85,100,100,100,26.1200338123415,4.08406733870897,0
5,85,100,100,100,50.5494505494505,2.45311206025864,0
10,85,100,100,100,90.8706677937447,1.23286898950098,0
20,85,100,100,100,100,0.629506374641791,0
30,85,100,100,100,100,0.448023368647214,0
40,85,100,99.7464074387151,100,99.7464074387151,Inf,0.253592561284869
