sample_id,x,y,z,inclinacion,azimuth,mean,median
20251218_134033_17,0.62,0.6,1,57,179,0.1004539465,0.100474
20251218_134033_17,0.62,0.6,1,58,272,0.0460477548,0.0461846
20251218_134033_17,0.62,0.6,1,58,360,1.84026894,1.84038
20251218_134033_18,-0.78,0.4,1,0,0,1.32305043,1.32314
20251218_134033_18,-0.78,0.4,1,34,182,2.45525285,2.455
20251218_134033_18,-0.78,0.4,1,37,267,0.112693426,0.112648
20251218_134033_18,-0.78,0.4,1,37,355,0.0976016852,0.0978419
20251218_134033_18,-0.78,0.4,1,42,78,0.372058748,0.372251
20251218_134033_18,-0.78,0.4,1,53,97,1.14133968,1.14119
20251218_134033_18,-0.78,0.4,1,57,179,2.38501622,2.38492
20251218_134033_18,-0.78,0.4,1,58,272,0.1055096393,0.10541
20251218_134033_18,-0.78,0.4,1,58,360,0.0875364232000001,0.087642
20251218_134033_19,-0.58,0.4,1,0,0,2.43513032,2.43526
20251218_134033_19,-0.58,0.4,1,34,182,3.24697836,3.24698
20251218_134033_19,-0.58,0.4,1,37,267,0.143453511,0.143248
20251218_134033_19,-0.58,0.4,1,37,355,0.1190291639,0.1189
20251218_134033_19,-0.58,0.4,1,42,78,1.57641556,1.57649
20251218_134033_19,-0.58,0.4,1,53,97,1.97886357,1.9789
20251218_134033_19,-0.58,0.4,1,57,179,2.94064562,2.94065
20251218_134033_19,-0.58,0.4,1,58,272,0.127827221,0.127783
20251218_134033_19,-0.58,0.4,1,58,360,0.130843534,0.130745
20251218_134033_2,-0.38,0.2,1.2,0,0,5.77030125,5.77003
20251218_134033_2,-0.38,0.2,1.2,34,182,6.63811463,6.63836
20251218_134033_2,-0.38,0.2,1.2,37,267,0.632558109000001,0.632512
20251218_134033_2,-0.38,0.2,1.2,37,355,0.226118109,0.226163
20251218_134033_2,-0.38,0.2,1.2,42,78,2.69974392,2.6998
20251218_134033_2,-0.38,0.2,1.2,53,97,2.97428239,2.97422
20251218_134033_2,-0.38,0.2,1.2,57,179,5.54781551,5.54793
20251218_134033_2,-0.38,0.2,1.2,58,272,0.187450593,0.187666
20251218_134033_2,-0.38,0.2,1.2,58,360,0.342447224,0.342309
20251218_134033_20,0.62,0.4,1,0,0,2.36566206,2.36551
20251218_134033_20,0.62,0.4,1,34,182,0.1129171611,0.112977
20251218_134033_20,0.62,0.4,1,37,267,0.125769252,0.125809
20251218_134033_20,0.62,0.4,1,37,355,2.98702627,2.98705
20251218_134033_20,0.62,0.4,1,42,78,2.59629874,2.59616
20251218_134033_20,0.62,0.4,1,53,97,0.97946527,0.979307
20251218_134033_20,0.62,0.4,1,57,179,0.1057455439,0.105739
20251218_134033_20,0.62,0.4,1,58,272,0.0516678652999999,0.0517781
20251218_134033_20,0.62,0.4,1,58,360,2.61245503,2.61228
20251218_134033_21,0.82,0.4,1,0,0,1.31641936,1.31689
20251218_134033_21,0.82,0.4,1,34,182,0.0852289636000001,0.0853389
20251218_134033_21,0.82,0.4,1,37,267,0.1016064793,0.101461
20251218_134033_21,0.82,0.4,1,37,355,2.29688917,2.29674
20251218_134033_21,0.82,0.4,1,42,78,1.73836121,1.73805
20251218_134033_21,0.82,0.4,1,53,97,0.292474,0.292626
20251218_134033_21,0.82,0.4,1,57,179,0.03789512463,0.0376299
20251218_134033_21,0.82,0.4,1,58,272,0.0489451654,0.0494749
20251218_134033_21,0.82,0.4,1,58,360,2.16741474,2.16743
20251218_134033_22,0.62,0.2,1,0,0,2.82897923,2.82878
20251218_134033_22,0.62,0.2,1,34,182,0.1237320287,0.123835
20251218_134033_22,0.62,0.2,1,37,267,0.198136494,0.198195
20251218_134033_22,0.62,0.2,1,37,355,3.51013271,3.51021
20251218_134033_22,0.62,0.2,1,42,78,2.2168607,2.21679
20251218_134033_22,0.62,0.2,1,53,97,0.283122584,0.283084
20251218_134033_22,0.62,0.2,1,57,179,0.1240847186,0.124164
20251218_134033_22,0.62,0.2,1,58,272,0.1229361736,0.122519
20251218_134033_22,0.62,0.2,1,58,360,3.11414788,3.11438
20251218_134033_23,-0.38,0.2,1,0,0,4.37221536,4.37228
20251218_134033_23,-0.38,0.2,1,34,182,4.65554296,4.65558
20251218_134033_23,-0.38,0.2,1,37,267,0.707766199,0.707859
20251218_134033_23,-0.38,0.2,1,37,355,0.192861169,0.192931
20251218_134033_23,-0.38,0.2,1,42,78,2.16055293,2.16019
20251218_134033_23,-0.38,0.2,1,53,97,2.03462048,2.03483
20251218_134033_23,-0.38,0.2,1,57,179,3.50804999,3.50823
20251218_134033_23,-0.38,0.2,1,58,272,0.156500711,0.156409
20251218_134033_23,-0.38,0.2,1,58,360,0.207675796,0.207737
20251218_134033_24,-0.58,0.2,1,0,0,2.96240126,2.96237
20251218_134033_24,-0.58,0.2,1,34,182,3.78695549,3.78693
20251218_134033_24,-0.58,0.2,1,37,267,0.408257353,0.408115
20251218_134033_24,-0.58,0.2,1,37,355,0.136312688,0.136338
20251218_134033_24,-0.58,0.2,1,42,78,0.643967594000001,0.643698
20251218_134033_24,-0.58,0.2,1,53,97,1.05560288,1.05564
20251218_134033_24,-0.58,0.2,1,57,179,3.39229266,3.39242
20251218_134033_24,-0.58,0.2,1,58,272,0.130408221,0.130416
20251218_134033_24,-0.58,0.2,1,58,360,0.200334965,0.200498
20251218_134033_25,0.42,-0.2,0.8,0,0,3.1077126,3.1078
20251218_134033_25,0.42,-0.2,0.8,34,182,0.326705804,0.326516
20251218_134033_25,0.42,-0.2,0.8,37,267,2.82668734,2.826975
20251218_134033_25,0.42,-0.2,0.8,37,355,3.16951889,3.16999
20251218_134033_25,0.42,-0.2,0.8,42,78,0.401273139,0.401205
20251218_134033_25,0.42,-0.2,0.8,53,97,0.1259297864,0.126138
20251218_134033_25,0.42,-0.2,0.8,57,179,0.1123239363,0.112648
20251218_134033_25,0.42,-0.2,0.8,58,272,0.515282482,0.515049
20251218_134033_25,0.42,-0.2,0.8,58,360,1.9939306,1.99403
20251218_134033_26,-0.78,0.2,0.8,0,0,1.75396095,1.75384
20251218_134033_26,-0.78,0.2,0.8,34,182,2.41690203,2.41684
20251218_134033_26,-0.78,0.2,0.8,37,267,0.278713547,0.278478
20251218_134033_26,-0.78,0.2,0.8,37,355,0.0964853025999999,0.0965258
20251218_134033_26,-0.78,0.2,0.8,42,78,0.286780725,0.286704
20251218_134033_26,-0.78,0.2,0.8,53,97,0.413558338,0.413379
20251218_134033_26,-0.78,0.2,0.8,57,179,2.2196471,2.21975
20251218_134033_26,-0.78,0.2,0.8,58,272,0.1036131405,0.103435
20251218_134033_26,-0.78,0.2,0.8,58,360,0.1025013835,0.102448
20251218_134033_27,-0.58,0.2,0.8,0,0,2.60982672,2.60965
20251218_134033_27,-0.58,0.2,0.8,34,182,2.98194907,2.98211
20251218_134033_27,-0.58,0.2,0.8,37,267,0.465614117,0.465694
20251218_134033_27,-0.58,0.2,0.8,37,355,0.1245088118,0.124493
20251218_134033_27,-0.58,0.2,0.8,42,78,0.810662944000001,0.810516
20251218_134033_27,-0.58,0.2,0.8,53,97,0.862880688,0.86316
20251218_134033_27,-0.58,0.2,0.8,57,179,2.52876384,2.52871
20251218_134033_27,-0.58,0.2,0.8,58,272,0.12006458,0.119887
20251218_134033_27,-0.58,0.2,0.8,58,360,0.172824171,0.17286
20251218_134033_28,-0.38,0.2,0.8,0,0,3.31720942,3.3174
20251218_134033_28,-0.38,0.2,0.8,34,182,3.39780286,3.39801
20251218_134033_28,-0.38,0.2,0.8,37,267,0.945791470000001,0.945746
20251218_134033_28,-0.38,0.2,0.8,37,355,0.177675011,0.177466
20251218_134033_28,-0.38,0.2,0.8,42,78,1.69709751,1.69725
20251218_134033_28,-0.38,0.2,0.8,53,97,1.38409029,1.38401
20251218_134033_28,-0.38,0.2,0.8,57,179,2.3486801,2.34873
20251218_134033_28,-0.38,0.2,0.8,58,272,0.136987473,0.136996
20251218_134033_28,-0.38,0.2,0.8,58,360,0.162516295,0.162331
20251218_134033_29,0.62,0.2,0.8,0,0,2.53627304,2.53595
20251218_134033_29,0.62,0.2,0.8,34,182,0.118979149,0.1189
20251218_134033_29,0.62,0.2,0.8,37,267,0.354158653,0.354154
20251218_134033_29,0.62,0.2,0.8,37,355,2.81285804,2.81299
20251218_134033_29,0.62,0.2,0.8,42,78,1.84838388,1.8486
20251218_134033_29,0.62,0.2,0.8,53,97,0.28139001,0.281439
20251218_134033_29,0.62,0.2,0.8,57,179,0.1144401416,0.114293
20251218_134033_29,0.62,0.2,0.8,58,272,0.1160687813,0.116267
20251218_134033_29,0.62,0.2,0.8,58,360,2.28861054,2.28851
20251218_134033_3,0.62,0.2,1.2,0,0,2.75443023,2.75442
20251218_134033_3,0.62,0.2,1.2,34,182,0.125601453,0.12548
20251218_134033_3,0.62,0.2,1.2,37,267,0.163859328,0.163647
20251218_134033_3,0.62,0.2,1.2,37,355,4.28071505,4.28081
20251218_134033_3,0.62,0.2,1.2,42,78,2.50588655,2.506
20251218_134033_3,0.62,0.2,1.2,53,97,0.240389545,0.240311
20251218_134033_3,0.62,0.2,1.2,57,179,0.0419145228,0.0419073
20251218_134033_3,0.62,0.2,1.2,58,272,0.0567138305,0.0570425
20251218_134033_3,0.62,0.2,1.2,58,360,3.97448029,3.97448
20251218_134033_30,0.82,0.4,0.8,0,0,1.54638484,1.54622
20251218_134033_30,0.82,0.4,0.8,34,182,0.0864114853000001,0.0863259
20251218_134033_30,0.82,0.4,0.8,37,267,0.1019736492,0.10179
20251218_134033_30,0.82,0.4,0.8,37,355,2.07449195,2.07465
20251218_134033_30,0.82,0.4,0.8,42,78,1.60611957,1.60611
20251218_134033_30,0.82,0.4,0.8,53,97,0.300578492,0.300523
20251218_134033_30,0.82,0.4,0.8,57,179,0.0520426282,0.0517781
20251218_134033_30,0.82,0.4,0.8,58,272,0.0513954314999999,0.0514491
20251218_134033_30,0.82,0.4,0.8,58,360,1.88483424,1.88512
20251218_134033_31,0.62,0.4,0.8,0,0,2.26922656,2.26943
20251218_134033_31,0.62,0.4,0.8,34,182,0.109525408,0.109687
20251218_134033_31,0.62,0.4,0.8,37,267,0.122005056,0.121861
20251218_134033_31,0.62,0.4,0.8,37,355,2.49699873,2.49712
20251218_134033_31,0.62,0.4,0.8,42,78,2.15903101,2.15921
20251218_134033_31,0.62,0.4,0.8,53,97,0.871595207,0.871715
20251218_134033_31,0.62,0.4,0.8,57,179,0.1050550106,0.104751
20251218_134033_31,0.62,0.4,0.8,58,272,0.0541082658999999,0.0537523
20251218_134033_31,0.62,0.4,0.8,58,360,1.99658185,1.99666
20251218_134033_32,-0.58,0.4,0.8,0,0,0.207472145,0.207408
20251218_134033_32,-0.58,0.4,0.8,34,182,0.0374160612,0.0376299
20251218_134033_32,-0.58,0.4,0.8,37,267,0.0533222167999999,0.0534232
20251218_134033_32,-0.58,0.4,0.8,37,355,0.248713169,0.248865
20251218_134033_32,-0.58,0.4,0.8,42,78,0.172391198,0.172202
20251218_134033_32,-0.58,0.4,0.8,53,97,0.0733303586,0.0731649
20251218_134033_32,-0.58,0.4,0.8,57,179,0.02559971207,0.0254559
20251218_134033_32,-0.58,0.4,0.8,58,272,0.0326494392,0.0326945
20251218_134033_32,-0.58,0.4,0.8,58,360,0.195778817,0.195892
20251218_134033_33,-0.78,0.4,0.8,0,0,0.206887495,0.207079
20251218_134033_33,-0.78,0.4,0.8,34,182,0.03756544,0.0376299
20251218_134033_33,-0.78,0.4,0.8,37,267,0.0531530960999999,0.0530942
20251218_134033_33,-0.78,0.4,0.8,37,355,0.247904753,0.247878
20251218_134033_33,-0.78,0.4,0.8,42,78,0.171786136,0.171873
20251218_134033_33,-0.78,0.4,0.8,53,97,0.0733514155,0.0731649
20251218_134033_33,-0.78,0.4,0.8,57,179,0.025702698413,0.0254559
