HalfAngle_deg,Area_mm2,RMS_full_cm,Coverage_percent
30,5,161.863797555831,100
30,5.38884577076006,150.184106617141,100
30,5.80793174820771,139.347193263575,100
30,6.25960968763844,129.292244750884,100
30,6.74641423836782,119.962836431899,100
30,7.27107716724477,111.306615122314,100
30,7.8365426883154,103.275005313999,100
30,8.44598398466182,95.8229365872473,100
30,9.1028210151304,88.9085906922626,100
30,9.81073970587425,82.4931668806349,100
30,10.5737126344056,76.540664169908,100
30,11.3960213222298,71.0176793193995,100
30,12.2822802611579,65.8932193835851,100
30,13.2374628081261,61.1385277911669,100
30,14.2669290938328,56.7269229738446,100
30,15.3764561018069,52.633648639237,100
30,16.5722700866999,48.8357348477366,100
30,17.8610815137213,45.3118691137162,100
30,19.2501227152835,42.0422768077526,100
30,20.7471884761735,39.0086101887296,100
30,22.3606797749979,36.1938454431103,100
30,24.0996509273635,33.5821871536002,100
30,25.9738603953433,31.1589796611155,100
30,26.4,30.656022264362,100
30,27.9938255483516,28.9106248226518,100
30,30.1708816827258,26.8245057035415,100
30,32.5172456312118,24.8889157758899,100
30,35.0460843193044,23.0929932258755,100
30,37.7715886531567,21.4266600012736,100
30,40.7090531536905,19.8805652571604,100
30,43.8749617837822,18.4460328824334,100
30,47.2870804501588,17.1150128126897,100
30,50.9645566990858,15.8800358562458,100
30,54.9280271653059,14.7341717798003,100
30,59.1997333771905,13.6709904185309,100
30,63.8036465679591,12.6845255923911,100
30,68.7656021933632,11.7692416261173,100
30,74.1134449106948,10.9200022850694,100
30,79.8771848326912,10.1320419525843,100
30,86.0891659331735,9.40093888709976,100
30,92.7842475494485,8.72259040897903,100
30,100,8.09318987779156,100
45,5,17.0785034251275,100
45,5.38884577076006,15.8461608957114,100
45,5.80793174820771,14.7027411525608,100
45,6.25960968763844,13.6418277475466,100
45,6.74641423836782,12.657467227553,100
45,7.27107716724477,11.7441357259031,100
45,7.8365426883154,10.8967079644652,100
45,8.44598398466182,10.1104284924898,100
45,9.1028210151304,9.38088500078175,100
45,9.81073970587425,8.70398356145443,100
45,10.5737126344056,8.07592565432319,100
45,11.3960213222298,7.49318685101665,100
45,12.2822802611579,6.95249703719001,100
45,13.2374628081261,6.45082206185446,100
45,14.2669290938328,5.98534671084548,100
45,15.3764561018069,5.55345890888365,100
45,16.5722700866999,5.15273506157551,100
45,17.8610815137213,4.78092645509945,100
45,19.2501227152835,4.43594663725654,100
45,20.7471884761735,4.11585970907355,100
45,22.3606797749979,3.81886946125482,100
45,24.0996509273635,3.54330929452096,100
45,25.9738603953433,3.28763286727095,100
45,26.4,3.23456504263779,100
45,27.9938255483516,3.05040541808571,100
45,30.1708816827258,2.83029571437844,100
45,32.5172456312118,2.62606858201032,100
45,35.0460843193044,2.43657797395075,100
45,37.7715886531567,2.2607605390858,100
45,40.7090531536905,2.09762965508562,100
45,43.8749617837822,1.94626989184528,100
45,47.2870804501588,1.80583187443011,100
45,50.9645566990858,1.67552751669808,100
45,54.9280271653059,1.55462559885228,100
45,59.1997333771905,1.44244766410619,100
45,63.8036465679591,1.33836421143553,100
45,68.7656021933632,1.24179116305156,100
45,74.1134449106948,1.15218658677294,100
45,79.8771848326912,1.06904765490295,100
45,86.0891659331735,0.991907822546724,100
45,92.7842475494485,0.920334209534097,100
45,100,0.853925171256377,100
60,5,11.5802350390154,100
60,5.38884577076006,10.744633945408,100
60,5.80793174820771,9.96932775818946,100
60,6.25960968763844,9.2499657461744,100
60,6.74641423836782,8.58251111616965,100
60,7.27107716724477,7.96321835998578,100
60,7.8365426883154,7.38861223603235,100
60,8.44598398466182,6.85546826754909,100
60,9.1028210151304,6.36079464803665,100
60,9.81073970587425,5.9018154523464,100
60,10.5737126344056,5.47595505921668,100
60,11.3960213222298,5.08082369784016,100
60,12.2822802611579,4.71420403735506,100
60,13.2374628081261,4.37403874400562,100
60,14.2669290938328,4.05841893614696,100
60,15.3764561018069,3.76557347230829,100
60,16.5722700866999,3.49385901220289,100
60,17.8610815137213,3.24175079491105,100
60,19.2501227152835,3.00783408248648,100
60,20.7471884761735,2.79079622097094,100
60,22.3606797749979,2.58941927426633,100
60,24.0996509273635,2.40257318952841,100
60,25.9738603953433,2.22920945572872,100
60,26.4,2.19322633314685,100
60,27.9938255483516,2.06835521979905,100
60,30.1708816827258,1.91910782734029,100
60,32.5172456312118,1.78062975726026,100
60,35.0460843193044,1.6521439219155,100
60,37.7715886531567,1.53292930638325,100
60,40.7090531536905,1.42231692239268,100
60,43.8749617837822,1.31968605421052,100
60,47.2870804501588,1.22446077541424,100
60,50.9645566990858,1.13610671700624,100
60,54.9280271653059,1.05412806873299,100
60,59.1997333771905,0.978064796781436,100
60,63.8036465679591,0.907490062239699,100
60,68.7656021933632,0.842007825835126,100
60,74.1134449106948,0.781250625508593,100
60,79.8771848326912,0.724877514353508,100
60,86.0891659331735,0.672572147348048,100
60,92.7842475494485,0.624041006144056,100
60,100,0.57901175195077,100
75,5,11.3496486367154,100
75,5.38884577076006,10.5306860870826,100
75,5.80793174820771,9.77081784769409,100
75,6.25960968763844,9.06577981941017,100
75,6.74641423836782,8.41161558992949,100
75,7.27107716724477,7.80465423186818,100
75,7.8365426883154,7.24148970287509,100
75,8.44598398466182,6.71896173218345,100
75,9.1028210151304,6.23413808634181,100
75,9.81073970587425,5.78429811460583,100
75,10.5737126344056,5.36691748165396,100
75,11.3960213222298,4.97965400195244,100
75,12.2822802611579,4.62033449627757,100
75,13.2374628081261,4.28694259663875,100
75,14.2669290938328,3.97760743116806,100
75,15.3764561018069,3.69059312548023,100
75,16.5722700866999,3.42428906158851,100
75,17.8610815137213,3.17720083971297,100
75,19.2501227152835,2.94794189226244,100
75,20.7471884761735,2.73522570293068,100
75,22.3606797749979,2.53785858724335,100
75,24.0996509273635,2.3547329940428,100
75,25.9738603953433,2.18482129032121,100
75,26.4,2.14955466604458,100
75,27.9938255483516,2.02716999452469,100
75,30.1708816827258,1.88089442596793,100
75,32.5172456312118,1.74517374033387,100
75,35.0460843193044,1.61924632339934,100
75,37.7715886531567,1.50240551713819,100
75,40.7090531536905,1.39399565421807,100
75,43.8749617837822,1.29340837863825,100
75,47.2870804501588,1.20007923186102,100
75,50.9645566990858,1.11348448527945,100
75,54.9280271653059,1.03313820124639,100
75,59.1997333771905,0.95858950617237,100
75,63.8036465679591,0.889420060390009,100
75,68.7656021933632,0.825241710586721,100
75,74.1134449106948,0.765694311632087,100
75,79.8771848326912,0.710443705576761,100
75,86.0891659331735,0.659179846481817,100
75,92.7842475494485,0.611615060555764,100
75,100,0.56748243183577,100
