HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
30,45,25,Inf,117.562846493209,88.5044642857143,0
30,45,26,Inf,127.433679136611,89.1741071428571,0
30,45,27,Inf,145.992264830746,89.9553571428571,0
30,45,28,Inf,149.65069407983,90.5133928571429,0
30,45,29,Inf,154.894256825712,91.40625,0
30,45,30,Inf,161.637252572815,92.1875,0
30,45,31,Inf,168.824018947099,92.6339285714286,0
30,45,32,Inf,168.55756591377,93.1919642857143,0
30,45,33,Inf,174.11312851605,93.9732142857143,0
30,45,34,Inf,187.371865151488,94.0848214285714,0
30,45,35,Inf,220.294313823891,94.3080357142857,0
30,45,36,Inf,234.522668506473,94.53125,0
30,45,37,Inf,242.865262949068,95.0892857142857,0
30,45,38,Inf,241.86810287134,95.0892857142857,0
30,45,39,Inf,241.841852754407,95.0892857142857,0
30,45,40,Inf,251.372791476233,95.2008928571429,0
30,45,41,Inf,254.843432872338,95.3125,0
30,45,42,Inf,261.074748093917,95.5357142857143,0
30,45,43,Inf,323.220558891508,95.5357142857143,0
30,45,44,Inf,325.934389051957,95.5357142857143,0
30,45,45,Inf,327.023376320801,95.5357142857143,0
30,45,46,Inf,328.628278148383,95.4241071428571,0
30,45,47,Inf,330.420126155508,95.4241071428571,0
30,45,48,Inf,333.178513045986,94.9776785714286,0
30,45,49,Inf,336.855386030581,94.1964285714286,0
30,45,50,Inf,340.577806285654,93.4151785714286,0
30,45,51,Inf,366.406236416547,92.1875,0
30,45,52,Inf,375.83543704595,90.7366071428571,0
30,45,53,Inf,383.511256001176,88.9508928571429,0
30,45,54,Inf,394.089384021196,86.1607142857143,0
30,45,55,Inf,406.194355596371,82.9241071428571,0
30,45,56,Inf,424.091785956296,77.9017857142857,0
30,45,57,Inf,438.919695831239,73.6607142857143,0
30,45,58,Inf,462.062058052848,68.5267857142857,0
30,45,59,Inf,492.04280286082,62.2767857142857,0
30,45,60,Inf,535.244774090807,54.2410714285714,0
30,45,61,Inf,562.264256125924,51.1160714285714,0
30,45,62,Inf,592.74813776283,47.7678571428571,0
30,45,63,Inf,624.535214740754,44.3080357142857,0
30,45,63.434948822922,Inf,642.494682928933,42.7455357142857,0
30,45,64,Inf,665.793154535037,40.4017857142857,0
