Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,18,14,0.299837868988665,0.0747579770516991,0.951056516295154
2,21,1,0.35831336837079,0.00625438310956049,0.933580426497202
3,61,42.6923076923077,0.642850413751066,0.593045510611694,0.484809620246337
4,59,51.3846153846154,0.534949045245626,0.66975017759142,0.515038074910054
5,19,81.0769230769231,0.0504983205773134,0.32162795714227,0.945518575599317
6,53,127.769230769231,-0.489150379828475,0.631308628027654,0.601815023152048
7,61,137.461538461538,-0.64444049390561,0.591317243052573,0.484809620246337
8,19,174.153846153846,-0.323874868466117,0.0331616159542106,0.945518575599317
9,21,180.846153846154,-0.358328870434457,-0.00529224663717751,0.933580426497202
10,61,226.538461538462,-0.601622463512477,-0.634830720360775,0.484809620246337
11,40,237.230769230769,-0.347913118050159,-0.540492713600425,0.766044443118978
12,19,278.923076923077,0.0504983205773133,-0.32162795714227,0.945518575599317
13,59,308.615384615385,0.534949045245627,-0.669750177591419,0.515038074910054
14,61,319.307692307692,0.663155796490272,-0.570249087415276,0.484809620246337
