sample_id,x,y,z,inclinacion,azimuth,mode,medida_daq
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97352
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.99261
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97451
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98734
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.988
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97451
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98734
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97451
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.988
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98471
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98636
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97813
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98833
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97681
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98405
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98767
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97879
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.99359
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97714
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97583
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.9903
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97484
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98307
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98833
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97385
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98603
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.9903
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97681
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98668
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98208
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98965
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98241
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98965
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.99129
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97484
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.98965
20251027_211112_1,0.8,0.2,0.75,20,0,r_vertical,-3.97846
