sample_id,x,y,z,inclinacion,azimuth,mode,medida_daq
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26974
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26118
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26382
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26382
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26579
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26941
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26217
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26085
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26415
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.24967
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27467
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26776
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.275
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.29672
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.24013
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26579
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26283
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25691
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27138
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26053
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.2727
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26085
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26875
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.2602
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26349
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26612
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26513
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26678
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25658
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27796
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26776
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27336
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26316
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.28553
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27138
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26546
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27204
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26612
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26415
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26447
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26184
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26711
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26415
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26842
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25855
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27105
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25625
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25921
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.30429
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27073
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27369
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25427
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.24605
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.28751
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26415
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26316
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26382
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26744
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25724
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25691
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.27204
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26184
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26678
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.25756
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.26151
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.2704
20251029_151741_1,0.2,0.2,0.75,20,0,r_vertical,-3.2648
