label,x,y,z,d_true,ang_GLS_deg,pos_GLS_m,d_GLS_m,ang_WLS_deg,pos_WLS_m,d_WLS_m,ang_NLS_deg,pos_NLS_m,d_NLS_m
P1,-0.2,-1.2,1.1,1.51327459504216,2.71631849586018,0.0928765460078836,1.57059072984809,2.65694936226592,0.0922423427599049,1.57154554833937,2.67618065591788,0.0835995696599623,1.55630678700712
P2,-0.4,-1.2,1.1,1.552417469626,3.98639855998178,0.139586998132093,1.63718858406061,3.97113285243976,0.138565539941572,1.63610768590396,3.46935158433249,0.115588965540586,1.61691733982453
P3,0,-1,1.1,1.34536240470737,1.40341193915503,0.0383165298716169,1.36451489033866,1.36105202078241,0.0386795732129182,1.36677577477282,1.63117040697519,0.0410461184877627,1.35958794182067
P4,0.2,-0.8,1.1,1.22065556157337,0.592402912829637,0.0351069894855563,1.25335037142933,0.563839063484014,0.0345524886400149,1.25299374211748,1.01037142179058,0.0334021874449861,1.24600810342891
P5,0.2,-0.6,1.1,1.1,1.27070189892388,0.0329279620017092,1.12184728252982,1.29985411660894,0.0351773892276416,1.12451175551766,0.911895712224979,0.0219015714939726,1.11302141160283
P6,0.2,-0.4,1.1,1.00498756211209,1.47119545276648,0.0315586977659455,1.02282728980579,1.46540388342322,0.0326431927447351,1.02478455111747,0.86057513890833,0.0171764926259464,1.01307155566651
P7,0.2,-0.2,1.1,0.94339811320566,1.48194440871942,0.025321330744479,0.949857738385338,1.69654888983171,0.029124887580773,0.951240389305574,0.797974309425353,0.0132154076769299,0.944729876867065
P8,0,0,1.1,0.9,0.453352009654076,0.00725072637547803,0.898607246678383,0.502874815806372,0.00801653267947841,0.898597856381045,0.478158929951095,0.00763401418892227,0.898602709111449
P9,-0.4,0.2,1.1,1.00498756211209,0.577259413302415,0.0217223068017135,0.985718339841453,0.746463136505067,0.0230128739830455,0.985976900824214,1.0575983215463,0.0363843332167227,0.973515675999617
P10,-0.2,0.2,1.1,0.94339811320566,0.736237427281093,0.0130655844354452,0.938445407456536,0.874077598812572,0.0149148878421547,0.93937181625906,0.264419034925878,0.00921151437357264,0.935270379285029
P11,-0.2,0.2,1,1.03923048454133,1.05644164557108,0.0191622271300791,1.03880768588728,1.23169382835193,0.0223595701103476,1.03995542084995,0.345118067572052,0.00803091269814499,1.03418057132527
P12,-0.4,0.2,1,1.09544511501033,0.565157468255388,0.01973286158384,1.07888016896849,0.601753144308535,0.0199686797841731,1.07906329718568,1.06998521789969,0.0350832077862125,1.06675175504327
P13,-0.4,0,1,1.0770329614269,1.04669387831352,0.0256170047574337,1.0604475104902,1.04004208343048,0.0237393801985549,1.06338781710799,0.901877614445679,0.0297816608514425,1.05241368156952
