radii_mm,separation_m,gain_on_second_position,calibrated_distance_sigma,free_gain_distance_sigma
15.0,0.6024325688406962,0.6131479308850394,174.64840074132377,1.8926231841606802
"12.0,15.0",0.6024325688406962,0.605665591315027,222.30108770444187,6.635968215092659
"-10.0,-11.0",0.6024325688406962,0.6197096744750281,261.24773085613634,1.011624203725235
