case,perturbation,count,median_m,p95_m,max_m,rmse_m,rmse_x_m,rmse_y_m,rmse_z_m,fraction_error_1cm,fraction_error_10cm,failure_10cm_wilson95_low,failure_10cm_wilson95_high
tile_baseline_core_3d,matched,100,0.003158240251594963,0.009712337262232088,0.019087369321142203,0.005337872389251361,0.0006004486150005545,0.0006675776552674577,0.005261813677703111,0.96,1.0,0.0,0.036993498206983715
tile_baseline_core_3d,global_gain_plus2pct,100,0.024586511032025575,0.034532842092923045,0.03788332083594726,0.02499985499581141,0.0020689081585058265,0.002218368376832737,0.024815140752934152,0.03,1.0,0.0,0.036993498206983715
tile_baseline_core_3d,vcsel_calibration_1pct,100,0.008869645010460399,0.02224059774663662,0.03053623007815353,0.012042871249978725,0.0011182990848492824,0.0010622542385639055,0.01194369168360614,0.61,1.0,0.0,0.036993498206983715
tile_baseline_core_3d,residual_background_0p1nW,100,0.009708557415934977,0.025137111780788726,0.03634240483826896,0.01398937880206638,0.0018148465653207895,0.0014972278548526137,0.013790118199736398,0.51,1.0,0.0,0.036993498206983715
tile_baseline_core_3d,pd_tilt_3deg,100,0.0049866563659449,0.015447889947463241,0.031982510165699314,0.007938648595204854,0.0008784782845301434,0.0009002720059257193,0.007838362567341694,0.85,1.0,0.0,0.036993498206983715
tile_baseline_core_3d,curvature_error_0.1pct,100,0.007974072846440125,0.016568717829995378,0.02371492441086182,0.010176740511741576,0.0008087422973179618,0.0008731812032490136,0.010106905457465388,0.57,1.0,0.0,0.036993498206983715
tile_baseline_core_3d,curvature_error_1pct,100,0.07602225814819846,0.12434560363015118,0.15623419608194594,0.08400162554565772,0.0058876682601263,0.006195199712850091,0.08356571041575306,0.03,0.66,0.2546152079734838,0.43722271145275104
tile_baseline_core_3d,edge_thickness_plus0p1mm,100,0.01048528594835963,0.02284698206855051,0.0365770455083831,0.012704855479463179,0.00136281118999246,0.0014138935931696196,0.012552171259255139,0.47,1.0,0.0,0.036993498206983715
tile_convex_core_3d,matched,100,0.003645925970856747,0.010993423354920637,0.0665596664022959,0.00952757307124197,0.001207033583325631,0.001284396319307951,0.009363121522843087,0.87,1.0,0.0,0.036993498206983715
tile_convex_core_3d,global_gain_plus2pct,100,0.02437289624146858,0.036465432330099856,0.06098353390317067,0.02552656179969566,0.002941236210684776,0.003080739593724488,0.02516870140516384,0.05,1.0,0.0,0.036993498206983715
tile_convex_core_3d,vcsel_calibration_1pct,100,0.010547430070312114,0.02545262530540089,0.05266378687938543,0.01404626961310797,0.0019621140575186344,0.0017352715337812475,0.013799877940527465,0.45,1.0,0.0,0.036993498206983715
tile_convex_core_3d,residual_background_0p1nW,100,0.0062891067932707885,0.028768580971671415,0.06719240488476469,0.015628426197891333,0.001928142473916713,0.0021102896737761044,0.015364786022459553,0.72,1.0,0.0,0.036993498206983715
tile_convex_core_3d,pd_tilt_3deg,100,0.005203695608317988,0.016539870303432447,0.05436356459359723,0.010754676022799189,0.0014203344136396684,0.0014023099906153075,0.010567839571029794,0.75,1.0,0.0,0.036993498206983715
tile_convex_core_3d,curvature_error_0.1pct,100,0.007777092425431295,0.01905537610001339,0.04970075082941529,0.01153298004962607,0.001233438984603647,0.0013711853462405692,0.011384555671724214,0.65,1.0,0.0,0.036993498206983715
tile_convex_core_3d,curvature_error_1pct,100,0.07211661866186134,0.12726656087754137,0.17655602260277303,0.0788287864499327,0.005528241429519692,0.006476057527337597,0.07836757491953321,0.04,0.79,0.14165654061915461,0.299799688340896
tile_convex_core_3d,edge_thickness_plus0p1mm,100,0.010032273163734588,0.025108983937563948,0.08148144703057907,0.015141157871586325,0.0017053765955633475,0.001808784594069449,0.014935683802620564,0.5,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,matched,100,0.0033255722004611266,0.011824288863184929,0.020389005485667435,0.00566637460605414,0.0010477529170677719,0.001268212880658333,0.005422328936005586,0.9,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,global_gain_plus2pct,100,0.024637270475373174,0.03513377578967972,0.046896610359030776,0.026149083625812395,0.0038756952411290076,0.0042863060704538885,0.025502571265227553,0.02,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,vcsel_calibration_1pct,100,0.011949100435952584,0.022531971877839476,0.033601649062289136,0.013614465451281626,0.0023624448336930885,0.0024413093695584034,0.013183798105781358,0.42,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,residual_background_0p1nW,100,0.009253307122819902,0.029153707005077186,0.06349564649209972,0.01570917277441751,0.002557178374230248,0.0035855275711809773,0.015079222130308,0.58,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,pd_tilt_3deg,100,0.007738320343567149,0.025157447716220145,0.0313073605121696,0.011441396193503834,0.0022222612746992747,0.0019347304421362265,0.011055492743427013,0.59,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,curvature_error_0.1pct,100,0.0055091161959209475,0.01620169934912483,0.028775922560558415,0.008942013567390616,0.001212736279675223,0.0015320638890330722,0.008725918724998429,0.79,1.0,0.0,0.036993498206983715
tile_diverging_ninth_3d,curvature_error_1pct,100,0.05531381851997566,0.11122654419999682,0.13860776785542686,0.06469649521618649,0.006986176576465743,0.006898242647931143,0.06394719758105703,0.03,0.9,0.055229137060675976,0.174365661504911
tile_diverging_ninth_3d,edge_thickness_plus0p1mm,100,0.004633381938793227,0.013775829959500012,0.024257512843778226,0.007791959323166621,0.0013269244068470052,0.001657830966836898,0.0074970326261657415,0.83,1.0,0.0,0.036993498206983715
grid_diverging_full_3d,matched,100,0.0028520099357375057,0.017815202539199222,0.050308081215757285,0.00875058878917572,0.004347190015939319,0.004326738959547516,0.0062413198202382605,0.9,1.0,0.0,0.036993498206983715
grid_diverging_full_3d,global_gain_plus2pct,100,0.029432269724840032,0.042120677994843765,0.04943152060727784,0.03049128516152748,0.011533635454569193,0.012278717734980819,0.025415090296659542,0.03,1.0,0.0,0.036993498206983715
grid_diverging_full_3d,vcsel_calibration_1pct,100,0.007701618277893311,0.02379410644285338,0.0652470862999188,0.013684717705468625,0.006727944943263403,0.0060044075278291136,0.010293364161367844,0.68,1.0,0.0,0.036993498206983715
grid_diverging_full_3d,residual_background_0p1nW,100,0.011181674960593635,0.04007028800331858,0.07917340491277823,0.020135521688768712,0.009133912904287436,0.008907488783259239,0.015577789070079152,0.41,1.0,0.0,0.036993498206983715
grid_diverging_full_3d,pd_tilt_3deg,100,0.029444643498895612,0.07036195256944647,0.14425710594884059,0.040993717771961966,0.020482653823452525,0.01534312119190837,0.03202396635656315,0.17,0.98,0.005501967550162523,0.07001179072854186
grid_diverging_full_3d,curvature_error_0.1pct,100,0.0051796595799738394,0.021630635566960897,0.043721064187483345,0.010724332249811687,0.004283742560448749,0.005104802635339607,0.008402490222212747,0.74,1.0,0.0,0.036993498206983715
grid_diverging_full_3d,curvature_error_1pct,100,0.03950895778695808,0.13053002427068325,0.27115628693022803,0.06766096582132099,0.02207113761953376,0.02834926338553315,0.057334025199276197,0.13,0.88,0.06999406437019591,0.19812099426711172
grid_diverging_full_3d,edge_thickness_plus0p1mm,100,0.0043421557950060865,0.01793516434672904,0.04771466068592297,0.009901024987608748,0.0045869302476369035,0.004766884280970769,0.007366626158588493,0.85,1.0,0.0,0.036993498206983715
