======================================================================
GLS DF OPTIMIZATION — ORIENTATION VALUES LOG
======================================================================
Log started: 29-Apr-2026 13:21:25
Format: Generation | RMS_Ang_Error(deg) | K_vector=[theta1,rho1,...]
        59 |     0.650721 | [1.512,138.420,42.401,128.276,30.974,217.300,34.271,306.123,31.078,41.995]
        60 |     0.652016 | [0.371,139.354,42.713,130.354,31.032,217.175,34.533,306.141,30.348,42.120]
        61 |     0.660466 | [1.355,138.420,41.170,128.276,32.247,215.140,34.271,305.982,30.324,42.018]
        62 |     0.644815 | [2.058,138.420,41.170,128.424,32.247,216.308,34.271,305.982,30.352,40.409]
        63 |     0.652012 | [0.406,340.825,42.725,128.530,31.612,217.230,34.470,306.176,30.285,42.120]
        64 |     0.641335 | [1.183,138.580,41.170,130.498,32.267,215.140,35.119,305.982,30.324,42.058]
        65 |     0.656542 | [1.586,153.353,42.791,128.401,31.032,215.003,35.119,305.521,31.288,42.018]
        66 |     0.627994 | [1.577,153.353,41.341,128.276,32.317,218.042,34.271,306.970,31.062,41.956]
        67 |     0.649482 | [1.183,138.951,41.080,128.487,32.007,216.628,34.818,305.552,31.117,40.409]
        68 |     0.644645 | [2.113,139.385,42.823,129.741,32.290,216.347,34.425,306.283,30.613,42.775]
        69 |     0.651362 | [1.585,153.338,42.671,128.401,30.065,217.300,34.576,306.978,30.363,41.831]
        70 |     0.659442 | [1.585,153.353,42.791,128.401,32.185,216.628,34.568,306.997,31.288,40.409]
        71 |     0.646764 | [1.086,139.244,42.741,128.288,30.778,215.089,34.462,305.810,30.599,42.120]
        72 |     0.653396 | [0.430,138.955,41.614,130.215,31.134,216.273,34.235,305.766,30.320,42.044]
        73 |     0.639549 | [1.070,139.432,41.206,128.401,32.317,217.494,34.186,307.076,30.906,41.985]
        74 |     0.640118 | [1.535,153.318,41.311,128.276,32.296,216.628,34.425,305.468,31.288,42.120]
        75 |     0.646167 | [1.644,153.318,41.166,128.276,32.296,216.628,34.425,306.176,31.288,42.120]
        76 |     0.648100 | [1.653,138.666,42.793,128.288,31.909,217.533,34.470,306.176,30.577,42.120]
        77 |     0.657677 | [1.261,139.403,41.062,130.407,30.842,215.202,33.907,306.176,30.336,40.409]
        78 |     0.633203 | [1.567,138.666,41.198,130.045,31.909,218.048,34.583,305.842,30.320,42.415]
        79 |     0.659836 | [1.195,153.353,41.560,129.503,31.940,217.534,33.893,306.176,30.746,42.356]
        80 |     0.659679 | [0.402,153.669,41.560,129.503,31.940,217.534,33.893,306.176,30.746,41.892]
        81 |     0.655735 | [1.195,153.355,41.560,128.401,31.940,217.530,34.494,305.754,30.906,42.356]
        82 |     0.657288 | [1.217,139.252,41.346,129.503,32.169,217.347,34.271,306.176,31.117,42.509]
        83 |     0.643488 | [1.616,153.318,41.144,128.305,32.296,217.560,34.818,306.951,30.906,41.880]
        84 |     0.633703 | [1.541,138.994,41.709,128.444,31.033,215.756,34.470,305.647,30.386,42.510]
        85 |     0.639640 | [2.115,138.525,41.363,128.291,32.187,217.328,34.210,305.561,31.316,40.532]
        86 |     0.651671 | [1.567,138.666,41.560,129.497,31.940,215.154,34.468,305.701,30.610,40.569]
        87 |     0.641653 | [1.577,138.666,41.566,129.831,31.914,216.625,34.132,306.988,31.323,41.889]
        88 |     0.664464 | [1.499,139.267,41.703,129.498,31.641,216.628,34.544,306.332,30.320,40.481]
        89 |     0.642853 | [1.086,153.318,41.708,128.554,31.033,217.071,34.498,305.756,31.320,41.889]
        90 |     0.647101 | [1.233,153.318,41.706,129.741,31.910,217.341,34.213,305.824,30.330,40.431]
        91 |     0.644095 | [1.455,153.318,41.561,130.258,31.943,215.154,33.911,305.650,30.330,41.890]
        92 |     0.656400 | [1.569,138.530,41.363,130.260,32.175,215.209,34.471,306.180,31.292,40.446]
        93 |     0.636597 | [0.453,153.321,41.712,129.741,31.940,217.347,34.213,305.700,30.330,42.052]
        94 |     0.644398 | [1.591,153.357,42.681,130.053,32.283,216.709,34.503,306.179,30.407,42.358]
        95 |     0.650316 | [1.618,139.426,41.206,129.803,31.973,217.560,34.213,305.809,30.331,40.603]
        96 |     0.648033 | [1.618,139.426,41.206,129.509,32.190,217.071,34.213,305.809,30.331,40.603]
        97 |     0.632573 | [1.265,153.316,41.380,129.745,32.283,217.071,33.919,305.821,30.407,41.890]
        98 |     0.657850 | [1.578,138.902,41.563,129.744,31.039,217.569,34.137,305.851,31.125,40.437]
        99 |     0.647033 | [1.266,138.528,41.704,128.295,32.175,217.329,34.502,305.821,30.913,42.516]
       100 |     0.659892 | [1.578,139.428,41.207,129.741,31.039,217.569,34.217,305.851,31.125,40.412]
       101 |     0.648046 | [1.268,153.361,41.707,129.737,31.203,217.330,34.487,306.087,30.913,40.580]
       102 |     0.632192 | [0.454,138.528,41.179,129.748,31.957,217.345,34.502,305.821,30.893,42.516]
       103 |     0.655266 | [1.240,139.428,41.179,129.748,32.287,217.073,34.133,305.821,30.893,41.872]
       104 |     0.649903 | [1.588,153.679,41.210,129.744,32.175,217.574,34.151,305.843,30.345,40.445]
       105 |     0.649816 | [1.576,153.321,41.374,129.515,31.954,217.357,34.210,306.973,30.333,42.523]

======================================================================
OPTIMIZATION COMPLETED
======================================================================
Completion time: 29-Apr-2026 13:30:58
Total generations: 105
Final best RMS angular error: 0.649816°

FINAL OPTIMAL K_VECTOR: [1.576,153.321,41.374,129.515,31.954,217.357,34.210,306.973,30.333,42.523]
======================================================================
