Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,4.99999999999999,357,0.0870362988312832,-0.00456137913876271,0.996194698091746
2,40,0,0.642787609686539,0,0.766044443118978
3,44,25.7142857142857,0.625865565611382,0.30140097118406,0.719339800338651
4,45,51.4285714285714,0.440873866894967,0.552838342998275,0.707106781186547
5,36,78.1428571428571,0.120773531719719,0.575243649985354,0.809016994374947
6,36,101.857142857143,-0.120773531719719,0.575243649985354,0.809016994374947
7,45,128.571428571429,-0.440873866894968,0.552838342998275,0.707106781186547
8,44,155.285714285714,-0.631030415503988,0.29043220613013,0.719339800338651
9,40,180,-0.642787609686539,0,0.766044443118978
10,37,209.714285714286,-0.522681134063293,-0.298304800809191,0.798635510047293
11,45,231.428571428571,-0.440873866894968,-0.552838342998275,0.707106781186547
12,36,258.142857142857,-0.120773531719719,-0.575243649985354,0.809016994374947
13,36,281.857142857143,0.120773531719719,-0.575243649985354,0.809016994374947
14,45,308.571428571429,0.440873866894967,-0.552838342998275,0.707106781186547
15,44,334.285714285714,0.625865565611382,-0.30140097118406,0.719339800338651
