HalfAngle_deg,Area_mm2,RMS_full_cm,Coverage_percent
30,5,309.640471785818,100
30,5.38884577076006,287.297581855034,100
30,5.80793174820771,266.566899551954,100
30,6.25960968763844,247.332091965175,100
30,6.74641423836782,229.485220478197,100
30,7.27107716724477,212.926135057889,100
30,7.8365426883154,197.561912249584,100
30,8.44598398466182,183.306333725079,100
30,9.1028210151304,170.079402457296,100
30,9.81073970587425,157.8068938066,100
30,10.5737126344056,146.419938999611,100
30,11.3960213222298,135.854638663151,100
30,12.2822802611579,126.051704244626,100
30,13.2374628081261,116.956125306633,100
30,14.2669290938328,108.51686082875,100
30,15.3764561018069,100.686552784238,100
30,16.5722700866999,93.4212603843331,100
30,17.8610815137213,86.6802134988145,100
30,19.2501227152835,80.4255838691305,100
30,20.7471884761735,74.6222728302235,100
30,22.3606797749979,69.2377143498194,100
30,24.0996509273635,64.2416922799165,100
30,25.9738603953433,59.6061707949527,100
30,26.4,58.644028747314,100
30,27.9938255483516,55.305137065136,100
30,30.1708816827258,51.3144552820777,100
30,32.5172456312118,47.6117312175739,100
30,35.0460843193044,44.1761865554919,100
30,37.7715886531567,40.9885422915538,100
30,40.7090531536905,38.0309105467057,100
30,43.8749617837822,35.2866941869647,100
30,47.2870804501588,32.7404936864503,100
30,50.9645566990858,30.3780207109476,100
30,54.9280271653059,28.1860179370683,100
30,59.1997333771905,26.1521846570615,100
30,63.8036465679591,24.2651077517968,100
30,68.7656021933632,22.5141976445676,100
30,74.1134449106948,20.8896288763077,100
30,79.8771848326912,19.3822849687544,100
30,86.0891659331735,17.9837072661487,100
30,92.7842475494485,16.6860474683915,100
30,100,15.4820235892909,100
45,5,26.0740518259759,100
45,5.38884577076006,24.192612792385,100
45,5.80793174820771,22.446933741966,100
45,6.25960968763844,20.8272185704064,100
45,6.74641423836782,19.3243780360306,100
45,7.27107716724477,17.9299787543419,100
45,7.8365426883154,16.6361958729922,100
45,8.44598398466182,15.4357691616082,100
45,9.1028210151304,14.321962270068,100
45,9.81073970587425,13.2885249265985,100
45,10.5737126344056,12.3296578635653,100
45,11.3960213222298,11.4399802741305,100
45,12.2822802611579,10.6144996171573,100
45,13.2374628081261,9.84858360091851,100
45,14.2669290938328,9.13793418839062,100
45,15.3764561018069,8.47856347826205,100
45,16.5722700866999,7.86677132630779,100
45,17.8610815137213,7.29912458155046,100
45,19.2501227152835,6.77243782068842,100
45,20.7471884761735,6.28375547268003,100
45,22.3606797749979,5.83033523317346,100
45,24.0996509273635,5.40963267571038,100
45,25.9738603953433,5.01928697334697,100
45,26.4,4.93826739128331,100
45,27.9938255483516,4.65710765056748,100
45,30.1708816827258,4.32106229114684,100
45,32.5172456312118,4.00926513298356,100
45,35.0460843193044,3.71996648590119,100
45,37.7715886531567,3.45154291303508,100
45,40.7090531536905,3.20248812070592,100
45,43.8749617837822,2.97140450565746,100
45,47.2870804501588,2.75699531222469,100
45,50.9645566990858,2.55805735542125,100
45,54.9280271653059,2.37347426911092,100
45,59.1997333771905,2.20221024137434,100
45,63.8036465679591,2.04330420191608,100
45,68.7656021933632,1.8958644288941,100
45,74.1134449106948,1.75906354490704,100
45,79.8771848326912,1.63213387405865,100
45,86.0891659331735,1.51436313404499,100
45,92.7842475494485,1.40509043908989,100
45,100,1.30370259129879,100
60,5,15.016831429856,100
60,5.38884577076006,13.933254047961,100
60,5.80793174820771,12.9278649275537,100
60,6.25960968763844,11.9950221972398,100
60,6.74641423836782,11.1294910890982,100
60,7.27107716724477,10.3264145631027,100
60,7.8365426883154,9.58128605121155,100
60,8.44598398466182,8.8899241681769,100
60,9.1028210151304,8.24844924715951,100
