HalfAngle_deg,FOV_deg,ConeTilt_deg,K_minPEB,K_recommended,K_fixedBudget,ConeRMS_cm,RefinedRMS_cm,ValidationCoverage_percent,ValidationRMS_cm,Area_minPEB_mm2,Area_target_mm2,Area_minRMS_cm
30,85,15,15,14,3,63.1018219054292,58.644028747314,100,27.5256962977763,100,NaN,15.4820235892909
45,85,25,15,14,14,5.5602419133059,4.93826739128331,100,3.31952223005376,100,68.7656021933632,1.30370259129879
60,85,30,15,15,15,3.02255393362825,2.84409686171516,100,2.1983488820297,100,37.7715886531567,0.750841571492802
75,85,40,15,15,13,2.5999455497017,2.51304811662511,99.8719282798367,Inf,100,35.0460843193044,0.663444702789029
