HalfAngle_deg,FOV_deg,Tilt_deg,RMS_full_cm,RMS_conditional_cm,Coverage_percent,Nonregular_percent
45,85,50,9.86054179467794,9.86054179467794,100,0
45,85,55,10.7811710661513,10.7811710661513,100,0
45,85,60,11.8190907030553,11.8190907030553,100,0
45,85,63.434948822922,16.2612765984256,16.2612765984256,100,0
45,85,65,16.8753227201482,16.8753227201482,100,0
45,85,70,20.9453820172069,20.9453820172069,100,0
45,85,75,27.3789683532243,27.3789683532243,100,0
45,85,80,39.7235277185396,39.7235277185396,100,0
45,85,85,Inf,76.4428506273392,98.7654320987654,1.23456790123457
60,30,0,Inf,NaN,0,0
60,30,5,Inf,34.5071380454991,23.4567901234568,0
60,30,10,Inf,34.3185228073236,32.0987654320988,0
60,30,15,Inf,30.7020831940964,36.4197530864198,0
60,30,20,Inf,27.8509870549712,39.8148148148148,0
60,30,25,Inf,25.3407533028779,42.2839506172839,0
60,30,30,Inf,22.9466351166662,41.0493827160494,1.23456790123457
60,30,35,Inf,22.6992749446332,38.5802469135802,0
60,30,40,Inf,22.8736647383285,24.3827160493827,0
60,30,45,Inf,25.4252492224622,8.33333333333333,0
60,30,50,Inf,20.9828389106175,1.23456790123457,0
60,30,55,Inf,NaN,0,0
60,30,60,Inf,NaN,0,0
60,30,63.434948822922,Inf,NaN,0,0
60,30,65,Inf,NaN,0,0
60,30,70,Inf,NaN,0,0
60,30,75,Inf,NaN,0,0
60,30,80,Inf,NaN,0,0
60,30,85,Inf,NaN,0,0
60,45,0,Inf,NaN,0,0
60,45,5,Inf,54.424713540952,64.8148148148148,0
60,45,10,Inf,32.2784350900059,69.4444444444444,0
60,45,15,Inf,26.2104488370695,74.6913580246914,0
60,45,20,Inf,23.8542960789079,81.1728395061728,0
60,45,25,Inf,22.3210004472308,84.5679012345679,0
60,45,30,Inf,22.0021321818552,86.4197530864197,0
60,45,35,Inf,21.5503819313999,90.4320987654321,0
60,45,40,Inf,22.494861569863,91.9753086419753,0
60,45,45,Inf,24.9572507553748,90.7407407407407,1.23456790123457
60,45,50,Inf,26.5808159950691,90.1234567901235,0
60,45,55,Inf,28.9104046111981,80.8641975308642,0
60,45,60,Inf,31.8838375644501,54.9382716049383,0
60,45,63.434948822922,Inf,34.91843968263,41.9753086419753,0
60,45,65,Inf,38.3510199837633,35.8024691358025,0
60,45,70,Inf,49.0729236639908,22.2222222222222,0
60,45,75,Inf,70.6431229534772,9.5679012345679,0
60,45,80,Inf,114.076056526056,3.7037037037037,0
60,45,85,Inf,99.1063008188542,0.308641975308642,0
60,60,0,Inf,NaN,0,0
60,60,5,Inf,34.8176902918104,93.2098765432099,0
60,60,10,Inf,23.9836297007637,96.9135802469136,0
60,60,15,Inf,22.975602718038,99.3827160493827,0
60,60,20,19.908416679605,19.908416679605,100,0
60,60,25,16.9164935614955,16.9164935614955,100,0
60,60,30,14.0919692396974,14.0919692396974,100,0
60,60,35,13.5757105290112,13.5757105290112,100,0
60,60,40,13.7919100555958,13.7919100555958,100,0
60,60,45,14.2099212258364,14.2099212258364,100,0
60,60,50,15.7915984949911,15.7915984949911,100,0
60,60,55,16.7918194189501,16.7918194189501,100,0
60,60,60,Inf,20.2957047106245,98.7654320987654,1.23456790123457
60,60,63.434948822922,Inf,24.1396343003008,98.7654320987654,0
60,60,65,Inf,25.8150694750332,98.4567901234568,0
60,60,70,Inf,32.7571856312564,94.4444444444444,0
60,60,75,Inf,47.7726639602666,83.641975308642,0
60,60,80,Inf,72.4234954247672,67.2839506172839,0
60,60,85,Inf,146.204207168316,46.9135802469136,0
60,75,0,Inf,NaN,0,0
60,75,5,18.5304556033072,18.5304556033072,100,0
60,75,10,9.94304602589708,9.94304602589708,100,0
60,75,15,7.36407600268303,7.36407600268303,100,0
60,75,20,6.31687689977506,6.31687689977506,100,0
60,75,25,5.64963514597062,5.64963514597062,100,0
60,75,30,5.37637895232074,5.37637895232074,100,0
60,75,35,5.96119322090879,5.96119322090879,100,0
60,75,40,6.06345598661802,6.06345598661802,100,0
60,75,45,6.36258710850712,6.36258710850712,100,0
60,75,50,7.05588044063698,7.05588044063698,100,0
60,75,55,7.66218308649192,7.66218308649192,100,0
60,75,60,9.1725633423896,9.1725633423896,100,0
60,75,63.434948822922,10.2421516579101,10.2421516579101,100,0
60,75,65,10.765927769004,10.765927769004,100,0
60,75,70,13.3350857726043,13.3350857726043,100,0
60,75,75,Inf,17.7729923989164,98.7654320987654,1.23456790123457
60,75,80,Inf,26.0509442179201,98.7654320987654,0
60,75,85,Inf,72.0954205285189,95.3703703703704,0
60,85,0,Inf,NaN,0,0
60,85,5,18.5304556033072,18.5304556033072,100,0
60,85,10,9.32026930139503,9.32026930139503,100,0
60,85,15,6.2760335986673,6.2760335986673,100,0
60,85,20,4.93322372499739,4.93322372499739,100,0
60,85,25,4.26411281729279,4.26411281729279,100,0
60,85,30,3.93706455881567,3.93706455881567,100,0
60,85,35,3.9927108333447,3.9927108333447,100,0
60,85,40,3.99104530127917,3.99104530127917,100,0
60,85,45,4.25221700635074,4.25221700635074,100,0
60,85,50,4.61759474235566,4.61759474235566,100,0
60,85,55,5.0987637654437,5.0987637654437,100,0
60,85,60,5.70114374670463,5.70114374670463,100,0
60,85,63.434948822922,7.08616210982588,7.08616210982588,100,0
60,85,65,7.35726160661663,7.35726160661663,100,0
60,85,70,9.11251385267262,9.11251385267262,100,0
60,85,75,12.1466513098121,12.1466513098121,100,0
60,85,80,18.8927454916284,18.8927454916284,100,0
60,85,85,Inf,36.5056455572098,98.7654320987654,1.23456790123457
75,30,0,Inf,NaN,0,0
75,30,5,Inf,40.5097178150531,23.4567901234568,0
75,30,10,Inf,39.1563285902877,32.0987654320988,0
75,30,15,Inf,34.5693915410825,36.4197530864198,0
75,30,20,Inf,31.1303129766797,39.8148148148148,0
75,30,25,Inf,28.2974888151861,42.2839506172839,0
75,30,30,Inf,25.843354015727,41.0493827160494,1.23456790123457
75,30,35,Inf,25.567775805137,38.5802469135802,0
75,30,40,Inf,25.5616833654472,24.3827160493827,0
75,30,45,Inf,28.2045881710991,8.33333333333333,0
75,30,50,Inf,23.28548397011,1.23456790123457,0
75,30,55,Inf,NaN,0,0
75,30,60,Inf,NaN,0,0
75,30,63.434948822922,Inf,NaN,0,0
75,30,65,Inf,NaN,0,0
75,30,70,Inf,NaN,0,0
75,30,75,Inf,NaN,0,0
75,30,80,Inf,NaN,0,0
75,30,85,Inf,NaN,0,0
75,45,0,Inf,NaN,0,0
75,45,5,Inf,54.1222502557893,64.8148148148148,0
75,45,10,Inf,31.4846460216932,69.4444444444444,0
75,45,15,Inf,24.9945952630156,74.6913580246914,0
75,45,20,Inf,22.4096122185357,81.1728395061728,0
75,45,25,Inf,20.9741646027487,84.5679012345679,0
