Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,20,0,0.342020143325669,0,0.939692620785908
2,16,30.7142857142857,0.236972311893102,0.140783789257944,0.961261695938319
3,15,56.4285714285714,0.143120754285136,0.215647276358025,0.965925826289068
4,16,82.1428571428571,0.0376806211252314,0.273049670780618,0.961261695938319
5,16,99.8571428571429,-0.0471869631939653,0.271568301586025,0.961261695938319
6,15,127.571428571429,-0.157814912892182,0.20513837129268,0.965925826289068
7,16,153.285714285714,-0.246215639950488,0.123910494170424,0.961261695938319
8,20,181,-0.341968052001228,-0.00596907455105753,0.939692620785908
9,16,210.714285714286,-0.236972311893102,-0.140783789257944,0.961261695938319
10,15,236.428571428571,-0.143120754285136,-0.215647276358025,0.965925826289068
11,16,262.142857142857,-0.0376806211252312,-0.273049670780618,0.961261695938319
12,16,279.857142857143,0.0471869631939652,-0.271568301586025,0.961261695938319
13,15,305.571428571429,0.150559550398779,-0.210521067571628,0.965925826289068
14,16,329.285714285714,0.236972311893102,-0.140783789257944,0.961261695938319
