Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,21,1,0.35831336837079,0.00625438310956049,0.933580426497202
2,30,20.7142857142857,0.467677934449517,0.176854034811291,0.866025403784439
3,30,56.4285714285714,0.27648806568397,0.416598547206225,0.866025403784439
4,25,78.1428571428571,0.08683630601585,0.413600835485438,0.90630778703665
5,25,101.857142857143,-0.08683630601585,0.413600835485438,0.90630778703665
6,30,133.571428571429,-0.344629169241974,0.362257830429636,0.866025403784439
7,30,159.285714285714,-0.467677934449517,0.176854034811291,0.866025403784439
8,21,179,-0.35831336837079,0.00625438310956049,0.933580426497202
9,30,200.714285714286,-0.467677934449517,-0.176854034811291,0.866025403784439
10,30,236.428571428571,-0.27648806568397,-0.416598547206224,0.866025403784439
11,25,258.142857142857,-0.0868363060158498,-0.413600835485438,0.90630778703665
12,25,281.857142857143,0.0868363060158498,-0.413600835485438,0.90630778703665
13,30,303.571428571429,0.27648806568397,-0.416598547206225,0.866025403784439
14,30,339.285714285714,0.467677934449517,-0.176854034811291,0.866025403784439
