Case,K,Budget,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,1,per_orientation,Inf,NaN,0
1,2,per_orientation,Inf,NaN,0
1,3,per_orientation,24.121858231978,24.121858231978,100
1,4,per_orientation,20.8901420153798,20.8901420153798,100
1,5,per_orientation,18.6847110424054,18.6847110424054,100
1,6,per_orientation,17.0567295306522,17.0567295306522,100
1,7,per_orientation,15.7914630358618,15.7914630358618,100
1,8,per_orientation,14.771561079025,14.771561079025,100
1,9,per_orientation,13.9267613435865,13.9267613435865,100
1,10,per_orientation,13.2120858825961,13.2120858825961,100
1,11,per_orientation,12.5972296149552,12.5972296149552,100
1,12,per_orientation,12.060929115989,12.060929115989,100
1,13,per_orientation,11.5877658751041,11.5877658751041,100
1,14,per_orientation,11.1662505975146,11.1662505975146,100
1,15,per_orientation,10.7876229500631,10.7876229500631,100
1,16,per_orientation,10.4450710076898,10.4450710076898,100
1,17,per_orientation,10.1332073015957,10.1332073015957,100
1,18,per_orientation,9.84770738601671,9.84770738601671,100
1,19,per_orientation,9.58505452223718,9.58505452223718,100
1,20,per_orientation,9.34235552120274,9.34235552120274,100
1,21,per_orientation,9.11720543465286,9.11720543465286,100
1,22,per_orientation,8.90758648489881,8.90758648489881,100
1,23,per_orientation,8.71179144381197,8.71179144381197,100
1,24,per_orientation,8.52836476532606,8.52836476532606,100
1,25,per_orientation,8.3560568061519,8.3560568061519,100
1,26,per_orientation,8.19378782908814,8.19378782908814,100
1,27,per_orientation,8.04061941065936,8.04061941065936,100
1,28,per_orientation,7.89573151793093,7.89573151793093,100
1,29,per_orientation,7.75840397222517,7.75840397222517,100
1,30,per_orientation,7.62800134087327,7.62800134087327,100
2,1,per_orientation,Inf,NaN,0
2,2,per_orientation,Inf,NaN,0
2,3,per_orientation,7.17212118971961,7.17212118971961,100
2,4,per_orientation,6.21123914931786,6.21123914931786,100
2,5,per_orientation,5.55550118495308,5.55550118495308,100
2,6,per_orientation,5.07145552874247,5.07145552874247,100
2,7,per_orientation,4.69525546361241,4.69525546361241,100
2,8,per_orientation,4.39200932205402,4.39200932205402,100
2,9,per_orientation,4.14082609954524,4.14082609954524,100
2,10,per_orientation,3.92833256077022,3.92833256077022,100
2,11,per_orientation,3.74551813480974,3.74551813480974,100
2,12,per_orientation,3.58606059485981,3.58606059485981,100
2,13,per_orientation,3.44537557492844,3.44537557492844,100
2,14,per_orientation,3.32004697772352,3.32004697772352,100
2,15,per_orientation,3.20747010461595,3.20747010461595,100
2,16,per_orientation,3.10561957465893,3.10561957465893,100
2,17,per_orientation,3.01289353865989,3.01289353865989,100
2,18,per_orientation,2.92800621470268,2.92800621470268,100
2,19,per_orientation,2.84991197537264,2.84991197537264,100
2,20,per_orientation,2.77775059247654,2.77775059247654,100
2,21,per_orientation,2.71080700583069,2.71080700583069,100
2,22,per_orientation,2.64848127218116,2.64848127218116,100
2,23,per_orientation,2.59026578357675,2.59026578357675,100
2,24,per_orientation,2.53572776437123,2.53572776437123,100
2,25,per_orientation,2.48449565972714,2.48449565972714,100
2,26,per_orientation,2.4362484327664,2.4362484327664,100
2,27,per_orientation,2.39070706323987,2.39070706323987,100
2,28,per_orientation,2.34762773180621,2.34762773180621,100
2,29,per_orientation,2.30679630866225,2.30679630866225,100
2,30,per_orientation,2.26802386142706,2.26802386142706,100
3,1,per_orientation,Inf,NaN,0
3,2,per_orientation,Inf,NaN,0
3,3,per_orientation,7.07381213217655,7.07381213217655,100
3,4,per_orientation,6.12610100806346,6.12610100806346,100
3,5,per_orientation,5.47935131642395,5.47935131642395,100
3,6,per_orientation,5.00194052750171,5.00194052750171,100
3,7,per_orientation,4.630897078228,4.630897078228,100
3,8,per_orientation,4.33180756503541,4.33180756503541,100
3,9,per_orientation,4.08406733870897,4.08406733870897,100
3,10,per_orientation,3.87448647234681,3.87448647234681,100
3,11,per_orientation,3.69417790392081,3.69417790392081,100
3,12,per_orientation,3.53690606608827,3.53690606608827,100
3,13,per_orientation,3.39814943126837,3.39814943126837,100
3,14,per_orientation,3.27453872699199,3.27453872699199,100
3,15,per_orientation,3.1635049575219,3.1635049575219,100
3,16,per_orientation,3.06305050403173,3.06305050403173,100
3,17,per_orientation,2.97159547405276,2.97159547405276,100
3,18,per_orientation,2.88787171002361,2.88787171002361,100
3,19,per_orientation,2.81084791706013,2.81084791706013,100
3,20,per_orientation,2.73967565821198,2.73967565821198,100
3,21,per_orientation,2.67364967470439,2.67364967470439,100
3,22,per_orientation,2.61217824677191,2.61217824677191,100
3,23,per_orientation,2.55476072430161,2.55476072430161,100
3,24,per_orientation,2.50097026375085,2.50097026375085,100
3,25,per_orientation,2.45044040322538,2.45044040322538,100
3,26,per_orientation,2.40285450633508,2.40285450633508,100
3,27,per_orientation,2.35793737739218,2.35793737739218,100
3,28,per_orientation,2.315448539114,2.315448539114,100
3,29,per_orientation,2.27517679679824,2.27517679679824,100
3,30,per_orientation,2.236935807781,2.236935807781,100
