Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,20,4,0.3411869994464,0.023858119147859,0.939692620785908
2,36,0,0.587785252292473,0,0.809016994374947
3,70,46.6923076923077,0.644550255057329,0.683796161341244,0.342020143325669
4,61,47.3846153846154,0.5921819105271,0.643646033904565,0.484809620246337
5,30,69.0769230769231,0.178557119155825,0.46703035789847,0.866025403784439
6,67,130.769230769231,-0.601102542549709,0.697140530000784,0.390731128489274
7,70,136.461538461538,-0.681194577985023,0.647299133695771,0.342020143325669
8,32,146.153846153846,-0.440117070153914,0.295146389380924,0.848048096156426
9,32,193.846153846154,-0.514520773503664,-0.126817980738743,0.848048096156426
10,70,226.538461538462,-0.646384005353324,-0.682063002356002,0.342020143325669
11,44,229.230769230769,-0.453621630695633,-0.526096633532076,0.719339800338651
12,35,280.923076923077,0.108687532047371,-0.563184648862713,0.819152044288992
13,69,312.615384615385,0.632102656824431,-0.687036130035527,0.3583679495453
14,69,316.307692307692,0.675034564754913,-0.644903674299381,0.3583679495453
