HalfAngle_deg,FOV_deg,ConeTilt_deg,K_minPEB,K_recommended,K_fixedBudget,ConeRMS_cm,RefinedRMS_cm,ValidationCoverage_percent,ValidationRMS_cm,Area_minPEB_mm2,Area_target_mm2,Area_minRMS_cm
30,85,17,15,14,4,39.3520290948638,30.656022264362,100,22.398806870461,100,NaN,8.09318987779156
45,85,31,15,14,14,4.17984460396925,3.23456504263779,100,2.83423541565841,100,43.8749617837822,0.853925171256377
60,85,35,15,14,12,2.52450226417326,2.19322633314685,100,2.01172693080495,100,30.1708816827258,0.57901175195077
75,85,40,15,14,12,2.34190155532358,2.14955466604458,100,2.00237868434559,100,30.1708816827258,0.56748243183577
