Orientation,Tilt_deg,Azimuth_deg,nx,ny,nz
1,19,351,0.321559870226411,-0.0509300800766406,0.945518575599317
2,57,40.7142857142857,0.635688575536969,0.547054253680272,0.544639035015027
3,65,48.4285714285714,0.601383458565268,0.678035206023512,0.422618261740699
4,32,66.1428571428571,0.214329880771659,0.484641237219727,0.848048096156426
5,65,130.857142857143,-0.592884126363664,0.685479552976793,0.422618261740699
6,65,137.571428571429,-0.668962995182463,0.611459169462506,0.422618261740699
7,31,158.285714285714,-0.478491154757294,0.190552967507951,0.857167300702112
8,19,174,-0.323784658042282,0.0340311388742926,0.945518575599317
9,65,223.714285714286,-0.65507461351686,-0.626315460106971,0.422618261740699
10,65,228.428571428571,-0.601383458565268,-0.678035206023512,0.422618261740699
11,29,243.142857142857,-0.219021239720077,-0.432515970150095,0.874619707139396
12,65,310.857142857143,0.592884126363664,-0.685479552976794,0.422618261740699
13,65,317.571428571429,0.668962995182462,-0.611459169462507,0.422618261740699
14,31,338.285714285714,0.478491154757294,-0.190552967507951,0.857167300702112
