sample_id,date,time,axis,axis_angle,phi_cmd,azimuth_cmd,d_fixed,v_mean,v_median,v_std,n_samples,fs
20260722_162340_41,2026-07-22,16:26:53,Y,-10.000000,10.000000,270.000000,1.000000,8.263971,8.262529,0.005379,1000,1000
20260722_162340_42,2026-07-22,16:26:56,Y,-8.000000,8.000000,270.000000,1.000000,8.445018,8.445479,0.002093,1000,1000
20260722_162340_43,2026-07-22,16:27:00,Y,-6.000000,6.000000,270.000000,1.000000,8.583664,8.582034,0.014745,1000,1000
20260722_162340_44,2026-07-22,16:27:04,Y,-4.000000,4.000000,270.000000,1.000000,8.687811,8.687001,0.003912,1000,1000
20260722_162340_45,2026-07-22,16:27:07,Y,-2.000000,2.000000,270.000000,1.000000,8.718399,8.717274,0.003803,1000,1000
20260722_162340_46,2026-07-22,16:27:11,Y,0.000000,0.000000,90.000000,1.000000,8.687545,8.688317,0.003158,1000,1000
20260722_162340_47,2026-07-22,16:27:14,Y,2.000000,2.000000,90.000000,1.000000,8.646524,8.646857,0.003388,1000,1000
20260722_162340_48,2026-07-22,16:27:18,Y,4.000000,4.000000,90.000000,1.000000,8.570899,8.571505,0.004110,1000,1000
20260722_162340_49,2026-07-22,16:27:21,Y,6.000000,6.000000,90.000000,1.000000,8.460183,8.460286,0.002560,1000,1000
20260722_162340_50,2026-07-22,16:27:25,Y,8.000000,8.000000,90.000000,1.000000,8.295507,8.296914,0.006197,1000,1000
20260722_162340_51,2026-07-22,16:27:28,Y,10.000000,10.000000,90.000000,1.000000,8.121199,8.123341,0.005906,1000,1000
20260722_162340_52,2026-07-22,16:27:32,Y,12.000000,12.000000,90.000000,1.000000,7.916836,7.916371,0.003037,1000,1000
20260722_162340_53,2026-07-22,16:27:35,Y,14.000000,14.000000,90.000000,1.000000,7.692599,7.692291,0.003654,1000,1000
20260722_162340_54,2026-07-22,16:27:39,Y,16.000000,16.000000,90.000000,1.000000,7.471811,7.472818,0.003658,1000,1000
20260722_162340_55,2026-07-22,16:27:42,Y,18.000000,18.000000,90.000000,1.000000,7.240552,7.240513,0.004641,1000,1000
20260722_162340_56,2026-07-22,16:27:46,Y,20.000000,20.000000,90.000000,1.000000,6.995467,6.995704,0.002979,1000,1000
20260722_162340_57,2026-07-22,16:27:49,Y,22.000000,22.000000,90.000000,1.000000,6.724208,6.723915,0.002772,1000,1000
20260722_162340_58,2026-07-22,16:27:53,Y,24.000000,24.000000,90.000000,1.000000,6.413230,6.413300,0.003482,1000,1000
20260722_162340_59,2026-07-22,16:27:56,Y,26.000000,26.000000,90.000000,1.000000,6.110375,6.109267,0.005147,1000,1000
20260722_162340_60,2026-07-22,16:28:00,Y,28.000000,28.000000,90.000000,1.000000,5.765003,5.765091,0.003212,1000,1000
20260722_162340_61,2026-07-22,16:28:03,Y,30.000000,30.000000,90.000000,1.000000,5.409816,5.409730,0.002108,1000,1000
20260722_162340_62,2026-07-22,16:28:07,Y,32.000000,32.000000,90.000000,1.000000,5.029630,5.029363,0.002737,1000,1000
20260722_162340_63,2026-07-22,16:28:10,Y,34.000000,34.000000,90.000000,1.000000,4.666863,4.666436,0.002967,1000,1000
