
==================================
Iniciando optimización para 5 orientaciones
==================================


Single objective optimization:
10 Variables

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              300           0.574           1.275        0
    2              450          0.5597           1.155        0
    3              600          0.5653           0.997        1
    4              750          0.5581           0.921        0
    5              900          0.5492          0.8167        0
    6             1050            0.55          0.7049        1
    7             1200          0.5462          0.6548        0
    8             1350          0.5419          0.6132        0
    9             1500          0.5437          0.5898        1
   10             1650          0.5404          0.5745        0
   11             1800           0.533           0.562        0
   12             1950          0.5385          0.5606        1
   13             2100          0.5366          0.5569        0
   14             2250          0.5404          0.5551        1
   15             2400          0.5351          0.5539        0
   16             2550          0.5353          0.5527        1
   17             2700          0.5369          0.5529        2
   18             2850          0.5336          0.5508        0
   19             3000           0.535          0.5514        1
   20             3150           0.532          0.5506        0
   21             3300          0.5296          0.5499        0
   22             3450          0.5272          0.5495        0
   23             3600          0.5281          0.5491        1
   24             3750          0.5289          0.5493        2
   25             3900          0.5298          0.5473        3
   26             4050          0.5329          0.5481        4
   27             4200          0.5303           0.546        0
   28             4350          0.5278          0.5455        0
   29             4500           0.529          0.5447        1
   30             4650          0.5286          0.5448        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             4800          0.5257          0.5436        0
   32             4950           0.527          0.5435        1
   33             5100          0.5189          0.5433        0
   34             5250          0.5292          0.5441        1
   35             5400          0.5263          0.5436        0
   36             5550          0.5243          0.5441        0
   37             5700          0.5275           0.545        1
   38             5850          0.5288          0.5452        2
   39             6000          0.5279          0.5433        0
   40             6150          0.5301          0.5443        1
   41             6300           0.526          0.5436        0
   42             6450          0.5257          0.5435        0
   43             6600          0.5213          0.5435        0
   44             6750          0.5286           0.544        1
   45             6900          0.5286          0.5438        0
   46             7050          0.5276           0.545        0
   47             7200          0.5301          0.5445        1
   48             7350          0.5265          0.5441        0
   49             7500          0.5257          0.5439        0
   50             7650          0.5245          0.5444        0
   51             7800          0.5259          0.5438        1
   52             7950          0.5276          0.5442        2
   53             8100          0.5269          0.5434        0
   54             8250          0.5292          0.5433        1
   55             8400          0.5235          0.5436        0
   56             8550          0.5261          0.5427        1
   57             8700          0.5294          0.5429        2
   58             8850          0.5307          0.5431        3
   59             9000          0.5274          0.5432        0
   60             9150          0.5242          0.5429        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             9300          0.5282          0.5425        1
   62             9450          0.5212           0.543        0
   63             9600          0.5288          0.5425        1
   64             9750           0.528          0.5419        0
   65             9900          0.5263          0.5429        0
   66            10050          0.5291          0.5423        1
   67            10200          0.5153          0.5427        0
   68            10350          0.5277          0.5426        1
   69            10500          0.5208          0.5415        0
   70            10650          0.5286          0.5426        1
   71            10800           0.526           0.542        0
   72            10950           0.522           0.542        0
   73            11100           0.526          0.5435        1
   74            11250          0.5249          0.5432        0
   75            11400          0.5233          0.5433        0
   76            11550          0.5251          0.5437        1
   77            11700          0.5273          0.5433        2
   78            11850          0.5246          0.5443        0
   79            12000          0.5273          0.5435        1
   80            12150          0.5271          0.5433        0
   81            12300          0.5277          0.5416        1
   82            12450          0.5269          0.5412        0
   83            12600          0.5233          0.5409        0
   84            12750          0.5271          0.5428        1
   85            12900          0.5201          0.5418        0
   86            13050          0.5242          0.5424        1
   87            13200          0.5239          0.5431        0
   88            13350           0.525          0.5425        1
   89            13500          0.5246          0.5426        0
   90            13650          0.5258          0.5422        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            13800          0.5272          0.5429        2
   92            13950          0.5234          0.5417        0
   93            14100          0.5278          0.5419        1
   94            14250          0.5246          0.5427        0
   95            14400          0.5267          0.5434        1
   96            14550           0.524          0.5418        0
   97            14700          0.5253          0.5421        1
   98            14850           0.526          0.5412        2
   99            15000          0.5209           0.541        0
  100            15150          0.5206           0.541        0
  101            15300           0.527          0.5412        1
  102            15450          0.5214          0.5408        0
  103            15600          0.5179          0.5404        0
  104            15750          0.5246          0.5408        1
  105            15900          0.5206          0.5409        0
  106            16050           0.521          0.5416        1
  107            16200          0.5183           0.542        0
  108            16350          0.5226          0.5406        1
  109            16500          0.5226          0.5403        2
  110            16650          0.5209          0.5389        0
  111            16800          0.5154          0.5403        0
  112            16950          0.5218          0.5406        1
  113            17100          0.5237          0.5397        2
  114            17250          0.5207          0.5402        0
  115            17400          0.5205          0.5396        0
  116            17550          0.5192          0.5411        0
  117            17700          0.5191          0.5392        0
  118            17850          0.5179          0.5403        0
  119            18000          0.5254            0.54        1
  120            18150          0.5208          0.5385        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            18300          0.5182          0.5402        0
  122            18450          0.5225          0.5403        1
  123            18600           0.518          0.5394        0
  124            18750           0.525          0.5396        1
  125            18900          0.5181            0.54        0
  126            19050          0.5148          0.5397        0
  127            19200          0.5227          0.5397        1
  128            19350           0.516          0.5401        0
  129            19500          0.5243          0.5397        1
  130            19650          0.5173          0.5393        0
  131            19800          0.5133          0.5404        0
  132            19950           0.521          0.5396        1
  133            20100          0.5186           0.539        0
  134            20250           0.521          0.5389        1
  135            20400          0.5203          0.5387        0
  136            20550          0.5222          0.5386        1
  137            20700          0.5155          0.5386        0
  138            20850          0.5153          0.5379        0
  139            21000          0.5195          0.5393        1
  140            21150          0.5191          0.5388        0
  141            21300          0.5232          0.5389        1
  142            21450          0.5179          0.5385        0
  143            21600          0.5143          0.5377        0
  144            21750          0.5194          0.5383        1
  145            21900          0.5179          0.5374        0
  146            22050          0.5188          0.5375        1
  147            22200          0.5198          0.5378        2
  148            22350          0.5167          0.5378        0
  149            22500          0.5172          0.5367        1
  150            22650          0.5198          0.5371        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            22800          0.5186          0.5365        0
  152            22950          0.5159          0.5372        0
  153            23100          0.5204          0.5371        1
  154            23250          0.5173          0.5368        0
  155            23400          0.5171          0.5367        0
  156            23550           0.515          0.5365        0
  157            23700          0.5202          0.5375        1
  158            23850          0.5163          0.5362        0
  159            24000          0.5203          0.5374        1
  160            24150          0.5188          0.5366        0
  161            24300          0.5177          0.5356        0
  162            24450          0.5205          0.5365        1
  163            24600          0.5154          0.5364        0
  164            24750           0.514          0.5367        0
  165            24900          0.5147          0.5342        1
  166            25050          0.5149          0.5349        2
  167            25200          0.5142          0.5339        0
  168            25350          0.5193          0.5354        1
  169            25500          0.5152          0.5343        0
  170            25650           0.516          0.5336        1
  171            25800          0.5159          0.5348        0
  172            25950          0.5186          0.5358        1
  173            26100          0.5154          0.5347        0
  174            26250          0.5093          0.5345        0
  175            26400          0.5074          0.5344        0
  176            26550          0.5169          0.5346        1
  177            26700          0.5116          0.5354        0
  178            26850          0.5072          0.5344        0
  179            27000          0.5158           0.535        1
  180            27150          0.5144          0.5365        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            27300          0.5115          0.5356        0
  182            27450          0.5208          0.5361        1
  183            27600          0.5114          0.5356        0
  184            27750          0.5172          0.5348        1
  185            27900          0.5161          0.5352        0
  186            28050          0.5163          0.5359        1
  187            28200           0.516          0.5341        0
  188            28350          0.5149          0.5343        0
  189            28500          0.5144          0.5342        0
  190            28650          0.5151          0.5356        1
  191            28800          0.5171          0.5344        2
  192            28950          0.5172          0.5336        3
  193            29100          0.5125          0.5351        0
  194            29250          0.5162          0.5339        1
  195            29400          0.5184          0.5348        2
  196            29550          0.5147          0.5336        0
  197            29700          0.5167           0.534        1
  198            29850           0.514          0.5338        0
  199            30000          0.5093          0.5328        0
  200            30150          0.5188          0.5337        1
ga stopped because it exceeded options.MaxGenerations.

Optimización completada para 5 orientaciones
Tiempo de ejecución: 7965.25 segundos
Mejor RMSE encontrado: 0.5188 metros

Orientaciones óptimas:
Orientación 1: theta = 8.04°, rho = 173.55°
Orientación 2: theta = 8.92°, rho = 249.02°
Orientación 3: theta = 3.77°, rho = 6.38°
Orientación 4: theta = 14.30°, rho = 140.09°
Orientación 5: theta = 13.78°, rho = 157.82°
Figura "Evolución de Ángulos" guardada
Figura "Orientación 3D" guardada
Figura "Genetic Algorithm" guardada
