K,Pattern,FOV_deg,Budget,RMS_full_cm,RMS_conditional_cm,LightCoverage_percent,RegularCoverage_percent,TargetCoverage_percent,AxisPEB_cm
23,uniform_cone,60,per_orientation,0.519743461617178,0.519743461617178,100,100,99.4928148774303,0.0811864215072675
24,uniform_cone,60,per_orientation,Inf,0.513220525146547,100,98.9856297548605,98.647506339814,0.0794770422445431
25,uniform_cone,60,per_orientation,0.499302407716622,0.499302407716622,100,100,99.6618765849535,0.0778712799059014
26,uniform_cone,60,per_orientation,0.483466106878884,0.483466106878884,100,100,99.6618765849535,0.0763590722670456
27,uniform_cone,60,per_orientation,0.4816118281255,0.4816118281255,100,100,99.6618765849535,0.0749316740263548
28,uniform_cone,60,per_orientation,0.466826922110598,0.466826922110598,100,100,99.6618765849535,0.0735814431804701
29,uniform_cone,60,per_orientation,0.460757863922463,0.460757863922463,100,100,99.6618765849535,0.0723016682820311
30,uniform_cone,60,per_orientation,0.453630199822618,0.453630199822618,100,100,99.6618765849535,0.0710864276437683
1,golden_prefix,60,per_orientation,Inf,NaN,76.5849535080304,0,0,Inf
2,golden_prefix,60,per_orientation,Inf,NaN,97.8867286559594,0,0,Inf
3,golden_prefix,60,per_orientation,Inf,0.743916942778315,100,43.956043956044,43.956043956044,0.245361474931662
4,golden_prefix,60,per_orientation,Inf,1.15158116993982,100,72.0202874049028,65.2578191039729,0.204372273060149
5,golden_prefix,60,per_orientation,Inf,1.17345874356405,100,90.5325443786982,82.1639898562975,0.176767793779935
6,golden_prefix,60,per_orientation,Inf,1.40268557602034,100,96.8723584108199,87.4894336432798,0.164649806193653
7,golden_prefix,60,per_orientation,Inf,1.34828996882098,100,99.1546914623838,90.4480135249366,0.15174670957543
8,golden_prefix,60,per_orientation,1.20071732283718,1.20071732283718,100,100,93.8292476754015,0.13796474009983
9,golden_prefix,60,per_orientation,1.12605288689232,1.12605288689232,100,100,95.1817413355875,0.130857357290039
10,golden_prefix,60,per_orientation,0.967097191885404,0.967097191885404,100,100,95.519864750634,0.124500197746065
11,golden_prefix,60,per_orientation,0.898366924721285,0.898366924721285,100,100,96.8723584108199,0.118512661417476
12,golden_prefix,60,per_orientation,0.788592688407318,0.788592688407318,100,100,97.3795435333897,0.11309917634925
13,golden_prefix,60,per_orientation,0.725698493299251,0.725698493299251,100,100,98.5629754860524,0.108024266964323
14,golden_prefix,60,per_orientation,0.70191989210219,0.70191989210219,100,100,98.5629754860524,0.104653002395014
15,golden_prefix,60,per_orientation,0.669406699893052,0.669406699893052,100,100,98.9856297548605,0.101187908132557
16,golden_prefix,60,per_orientation,0.652896332418504,0.652896332418504,100,100,98.9856297548605,0.0975325081708862
17,golden_prefix,60,per_orientation,0.625315832952381,0.625315832952381,100,100,99.1546914623838,0.0946252105593277
18,golden_prefix,60,per_orientation,0.613972276274206,0.613972276274206,100,100,99.2392223161454,0.0919510638663105
19,golden_prefix,60,per_orientation,0.587636234164423,0.587636234164423,100,100,99.2392223161454,0.0896563682500736
20,golden_prefix,60,per_orientation,0.577640133667579,0.577640133667579,100,100,99.2392223161454,0.0873187509920738
21,golden_prefix,60,per_orientation,0.554710861894109,0.554710861894109,100,100,99.2392223161454,0.0849687058002294
22,golden_prefix,60,per_orientation,0.54752507607238,0.54752507607238,100,100,99.2392223161454,0.0831566134411271
23,golden_prefix,60,per_orientation,0.532569724326916,0.532569724326916,100,100,99.323753169907,0.0813836301413915
24,golden_prefix,60,per_orientation,0.524697939754122,0.524697939754122,100,100,99.323753169907,0.079607171585977
25,golden_prefix,60,per_orientation,0.510483841947736,0.510483841947736,100,100,99.4928148774303,0.0779578991218353
26,golden_prefix,60,per_orientation,0.498263770561793,0.498263770561793,100,100,99.4928148774303,0.0763836183259732
27,golden_prefix,60,per_orientation,0.485757235689828,0.485757235689828,100,100,99.4928148774303,0.0750637516666708
28,golden_prefix,60,per_orientation,0.475785696091517,0.475785696091517,100,100,99.4928148774303,0.0737116122259351
29,golden_prefix,60,per_orientation,0.46580930671518,0.46580930671518,100,100,99.6618765849535,0.0723244187359446
30,golden_prefix,60,per_orientation,0.455204303596685,0.455204303596685,100,100,99.7464074387151,0.0711365501708282
1,repeat_triplet,60,per_orientation,Inf,NaN,76.5849535080304,0,0,Inf
2,repeat_triplet,60,per_orientation,Inf,NaN,95.3508030431107,0,0,Inf
3,repeat_triplet,60,per_orientation,Inf,0.670845722288274,100,43.0262045646661,43.0262045646661,0.224795022079064
4,repeat_triplet,60,per_orientation,Inf,0.611646243479425,100,43.0262045646661,43.0262045646661,0.205208840679292
5,repeat_triplet,60,per_orientation,Inf,0.547324455290795,100,43.0262045646661,43.0262045646661,0.183544366937129
6,repeat_triplet,60,per_orientation,Inf,0.474359559360026,100,43.0262045646661,43.0262045646661,0.158954084489086
7,repeat_triplet,60,per_orientation,Inf,0.446888546403064,100,43.0262045646661,43.0262045646661,0.14986334805271
8,repeat_triplet,60,per_orientation,Inf,0.418163066644104,100,43.0262045646661,43.0262045646661,0.140184325812024
9,repeat_triplet,60,per_orientation,Inf,0.387312958347844,100,43.0262045646661,43.0262045646661,0.129785466509836
10,repeat_triplet,60,per_orientation,Inf,0.370617752379944,100,43.0262045646661,43.0262045646661,0.124260123829319
11,repeat_triplet,60,per_orientation,Inf,0.353458635597775,100,43.0262045646661,43.0262045646661,0.118477379406281
12,repeat_triplet,60,per_orientation,Inf,0.335422861144137,100,43.0262045646661,43.0262045646661,0.112397511039532
13,repeat_triplet,60,per_orientation,Inf,0.323907718622327,100,43.0262045646661,43.0262045646661,0.108586311853857
14,repeat_triplet,60,per_orientation,Inf,0.312188249943536,100,43.0262045646661,43.0262045646661,0.104636388298546
15,repeat_triplet,60,per_orientation,Inf,0.300011327490305,100,43.0262045646661,43.0262045646661,0.100531390074471
16,repeat_triplet,60,per_orientation,Inf,0.29145372341505,100,43.0262045646661,43.0262045646661,0.0976989499076946
17,repeat_triplet,60,per_orientation,Inf,0.282799342948826,100,43.0262045646661,43.0262045646661,0.0947819035250244
18,repeat_triplet,60,per_orientation,Inf,0.273871619289183,100,43.0262045646661,43.0262045646661,0.0917721834685644
19,repeat_triplet,60,per_orientation,Inf,0.267189613868547,100,43.0262045646661,43.0262045646661,0.0895604805416182
20,repeat_triplet,60,per_orientation,Inf,0.260461953819834,100,43.0262045646661,43.0262045646661,0.0872927585261417
21,repeat_triplet,60,per_orientation,Inf,0.253555849895182,100,43.0262045646661,43.0262045646661,0.0849645320552112
22,repeat_triplet,60,per_orientation,Inf,0.248151241073717,100,43.0262045646661,43.0262045646661,0.0831756047140885
23,repeat_triplet,60,per_orientation,Inf,0.242727508057374,100,43.0262045646661,43.0262045646661,0.0813473461874915
24,repeat_triplet,60,per_orientation,Inf,0.237179779680013,100,43.0262045646661,43.0262045646661,0.0794770422445431
25,repeat_triplet,60,per_orientation,Inf,0.232691382883481,100,43.0262045646661,43.0262045646661,0.0779913590518712
26,repeat_triplet,60,per_orientation,Inf,0.228198439488105,100,43.0262045646661,43.0262045646661,0.076476819557137
27,repeat_triplet,60,per_orientation,Inf,0.223615240762758,100,43.0262045646661,43.0262045646661,0.0749316740263548
28,repeat_triplet,60,per_orientation,Inf,0.219810375834991,100,43.0262045646661,43.0262045646661,0.0736722284625998
29,repeat_triplet,60,per_orientation,Inf,0.216009258639494,100,43.0262045646661,43.0262045646661,0.0723908745692377
30,repeat_triplet,60,per_orientation,Inf,0.212140044101173,100,43.0262045646661,43.0262045646661,0.0710864276437683
1,uniform_cone,85,per_orientation,Inf,NaN,98.9010989010989,0,0,Inf
2,uniform_cone,85,per_orientation,Inf,NaN,100,0,0,Inf
3,uniform_cone,85,per_orientation,Inf,0.750798142035697,100,96.0270498732037,96.0270498732037,0.224795022079064
4,uniform_cone,85,per_orientation,Inf,0.664963632731208,100,99.6618765849535,99.6618765849535,0.194678199764754
5,uniform_cone,85,per_orientation,0.612803978155728,0.612803978155728,100,100,99.6618765849535,0.174125475364509
6,uniform_cone,85,per_orientation,0.554438485485228,0.554438485485228,100,100,100,0.158954084489086
7,uniform_cone,85,per_orientation,0.508937209479552,0.508937209479552,100,100,100,0.14716288636094
8,uniform_cone,85,per_orientation,0.47843367776792,0.47843367776792,100,100,100,0.137658275202847
9,uniform_cone,85,per_orientation,0.448023368647214,0.448023368647214,100,100,100,0.129785466509836
10,uniform_cone,85,per_orientation,0.425208518137967,0.425208518137967,100,100,100,0.123125304407575
11,uniform_cone,85,per_orientation,0.403970626411241,0.403970626411241,100,100,100,0.117395371542099
12,uniform_cone,85,per_orientation,0.388892077836153,0.388892077836153,100,100,100,0.112397511039532
13,uniform_cone,85,per_orientation,0.371493042318917,0.371493042318917,100,100,100,0.107988035610283
14,uniform_cone,85,per_orientation,0.358304693723264,0.358304693723264,100,100,100,0.104059874884806
15,uniform_cone,85,per_orientation,0.346777421029835,0.346777421029835,100,100,100,0.100531390074471
16,uniform_cone,85,per_orientation,0.335346057574513,0.335346057574513,100,100,100,0.0973390998823768
17,uniform_cone,85,per_orientation,0.325513107446783,0.325513107446783,100,100,100,0.0944327977217852
18,uniform_cone,85,per_orientation,0.315909861544044,0.315909861544044,100,100,100,0.0917721834685644
19,uniform_cone,85,per_orientation,0.307541044315105,0.307541044315105,100,100,100,0.0893244841352615
20,uniform_cone,85,per_orientation,0.300008330602834,0.300008330602834,100,100,100,0.0870627376822545
21,uniform_cone,85,per_orientation,0.292474852143078,0.292474852143078,100,100,100,0.0849645320552112
22,uniform_cone,85,per_orientation,0.285261972253066,0.285261972253066,100,100,100,0.0830110632973322
23,uniform_cone,85,per_orientation,0.279216516167048,0.279216516167048,100,100,100,0.0811864215072675
24,uniform_cone,85,per_orientation,0.273679911746999,0.273679911746999,100,100,100,0.0794770422445431
25,uniform_cone,85,per_orientation,0.267854316039923,0.267854316039923,100,100,100,0.0778712799059014
26,uniform_cone,85,per_orientation,0.262345422188824,0.262345422188824,100,100,100,0.0763590722670456
27,uniform_cone,85,per_orientation,0.257779748060318,0.257779748060318,100,100,100,0.0749316740263548
28,uniform_cone,85,per_orientation,0.253167035520295,0.253167035520295,100,100,100,0.0735814431804701
29,uniform_cone,85,per_orientation,0.248890705638101,0.248890705638101,100,100,100,0.0723016682820311
30,uniform_cone,85,per_orientation,0.244991959852964,0.244991959852964,100,100,100,0.0710864276437683
1,golden_prefix,85,per_orientation,Inf,NaN,98.9010989010989,0,0,Inf
2,golden_prefix,85,per_orientation,Inf,NaN,100,0,0,Inf
3,golden_prefix,85,per_orientation,Inf,0.819757638106667,100,96.6187658495351,96.2806424344886,0.245361474931662
4,golden_prefix,85,per_orientation,Inf,0.734936218223444,100,99.4928148774303,98.7320371935756,0.204372273060149
5,golden_prefix,85,per_orientation,0.634662466477022,0.634662466477022,100,100,99.4928148774303,0.176767793779935
6,golden_prefix,85,per_orientation,0.579082352763997,0.579082352763997,100,100,99.8309382924768,0.164649806193653
7,golden_prefix,85,per_orientation,0.530912331899068,0.530912331899068,100,100,99.8309382924768,0.15174670957543
8,golden_prefix,85,per_orientation,0.479507136913919,0.479507136913919,100,100,100,0.13796474009983
9,golden_prefix,85,per_orientation,0.454114051147972,0.454114051147972,100,100,100,0.130857357290039
10,golden_prefix,85,per_orientation,0.430846375233947,0.430846375233947,100,100,100,0.124500197746065
11,golden_prefix,85,per_orientation,0.409113953912061,0.409113953912061,100,100,100,0.118512661417476
12,golden_prefix,85,per_orientation,0.390081875343597,0.390081875343597,100,100,100,0.11309917634925
13,golden_prefix,85,per_orientation,0.372682968789962,0.372682968789962,100,100,100,0.108024266964323
14,golden_prefix,85,per_orientation,0.360618282502781,0.360618282502781,100,100,100,0.104653002395014
15,golden_prefix,85,per_orientation,0.348917089329165,0.348917089329165,100,100,100,0.101187908132557
16,golden_prefix,85,per_orientation,0.335894787659464,0.335894787659464,100,100,100,0.0975325081708862
17,golden_prefix,85,per_orientation,0.326040908662697,0.326040908662697,100,100,100,0.0946252105593277
18,golden_prefix,85,per_orientation,0.316572827205871,0.316572827205871,100,100,100,0.0919510638663105
19,golden_prefix,85,per_orientation,0.308703948823226,0.308703948823226,100,100,100,0.0896563682500736
20,golden_prefix,85,per_orientation,0.300526705822987,0.300526705822987,100,100,100,0.0873187509920738
21,golden_prefix,85,per_orientation,0.292646527445881,0.292646527445881,100,100,100,0.0849687058002294
22,golden_prefix,85,per_orientation,0.286210869340728,0.286210869340728,100,100,100,0.0831566134411271
23,golden_prefix,85,per_orientation,0.28018241595052,0.28018241595052,100,100,100,0.0813836301413915
24,golden_prefix,85,per_orientation,0.273818131448953,0.273818131448953,100,100,100,0.079607171585977
25,golden_prefix,85,per_orientation,0.268239220220239,0.268239220220239,100,100,100,0.0779578991218353
26,golden_prefix,85,per_orientation,0.262787944656202,0.262787944656202,100,100,100,0.0763836183259732
27,golden_prefix,85,per_orientation,0.258255766087443,0.258255766087443,100,100,100,0.0750637516666708
28,golden_prefix,85,per_orientation,0.253590553481306,0.253590553481306,100,100,100,0.0737116122259351
29,golden_prefix,85,per_orientation,0.248839963055525,0.248839963055525,100,100,100,0.0723244187359446
30,golden_prefix,85,per_orientation,0.244815865616517,0.244815865616517,100,100,100,0.0711365501708282
1,repeat_triplet,85,per_orientation,Inf,NaN,98.9010989010989,0,0,Inf
2,repeat_triplet,85,per_orientation,Inf,NaN,100,0,0,Inf
3,repeat_triplet,85,per_orientation,Inf,0.750798142035697,100,96.0270498732037,96.0270498732037,0.224795022079064
4,repeat_triplet,85,per_orientation,Inf,0.684949910634714,100,96.0270498732037,96.0270498732037,0.205208840679292
5,repeat_triplet,85,per_orientation,Inf,0.612782712354318,100,96.0270498732037,96.0270498732037,0.183544366937129
6,repeat_triplet,85,per_orientation,Inf,0.530894457535702,100,96.0270498732037,96.0270498732037,0.158954084489086
